Studio.App.LoginManager.TwoSVClosed,,,Login requires Two Step Verification. Please try again.,Login requires Two Step Verification. Please try again.,يتطلب تسجيل الدخول التحقق المكون من خطوتين. يرجى المحاولة مرة أخرى.,Für die Anmeldung ist eine zweistufige Verifizierung erforderlich. Bitte versuche es erneut.,El inicio de sesión requiere la verificación en dos pasos. Inténtalo de nuevo.,La connexion nécessite une vérification en 2 étapes. Réessayez.,लॉग इन करने के लिए टू स्टेप वेरिफ़िकेशन की ज़रूरत है. कृपया फिर से कोशिश करें.,Log in memerlukan Verifikasi 2 Langkah. Coba lagi.,Verifica in 2 passaggi richiesta per accedere. Riprova.,ログインするには2段階認証が必要です。もう一度お試しください。,로그인하려면 2단계 인증을 해야 합니다. 다시 시도하세요.,Do logowania wymagana jest weryfikacja dwuetapowa. Spróbuj ponownie.,Entrar na conta requer a verificação em duas etapas. Tente novamente.,,ต้องการการตรวจสอบยืนยันสองขั้นตอนในการลงชื่อเข้าใช้ โปรดลองอีกครั้ง,Giriş için iki aşamalı doğrulama gerekiyor. Lütfen tekrar dene.,Quá trình Đăng Nhập yêu cầu thực hiện Xác Minh Hai Bước. Vui lòng thử lại.,登录需要两步验证。请重试。,登录需要两步验证。请重试。,必須通過雙步驟驗證才可登入，請重新嘗試。
Studio.App.GameGridViewWithHeader.Refresh,,,Refresh,Refresh,تحديث,Aktualisieren,Actualizar,Actualiser,रीफ़्रेश करें,Refresh,Aggiorna,リフレッシュ,새로 고침,Odśwież,Atualizar,,รีเฟรช,Yenile,Làm Mới,刷新,刷新,重新整理
Studio.App.CmdService.NoCommandError1,,,"Cannot execute unregistered command (%1)
","Cannot execute unregistered command (%1)
","لا يمكن تنفيذ أمر غير مسجل (%1)
",Nicht registrierter Befehl kann nicht ausgeführt werden (%1),"No se puede ejecutar un comando sin registrar (%1)
","Impossible d'exécuter la commande non enregistrée (%1)
","अनरजिस्टर्ड कमांड एक्ज़ीक्यूट नहीं कर सकता (%1)
","Tidak dapat mengeksekusi perintah tidak terdaftar (%1)
","Impossibile eseguire il comando non registrato (%1)
",未登録のコマンド (%1) を実行できません,"등록되지 않은 명령(%1)을 실행할 수 없습니다
","Nie można wykonać niezarejestrowanego polecenia (%1)
","Não é possível executar o comando não registrado (%1)
",,"ไม่สามารถดำเนินการคำสั่งที่ยังไม่ได้ลงทะเบียน (%1)
","Kaydedilmemiş komut yürütülemez (%1)
","Không thể thực hiện lệnh chưa đăng ký (%1)
","无法执行未注册的命令（%1）
","无法执行未注册的命令（%1）
",無法執行未登記的指令（%1）
Studio.App.CmdService.ReentrancyError1,,,"Cannot execute command (%1) while another instance of it is still running
","Cannot execute command (%1) while another instance of it is still running
","لا يمكن تنفيذ الأمر (%1) بينما لا يزال مثيل آخر منه قيد التشغيل
","Befehl (%1) kann nicht ausgeführt werden, während eine andere Instanz davon noch läuft","No se puede ejecutar el comando (%1) mientras hay una instancia en ejecución
","Impossible d'exécuter la commande (%1) alors qu'une autre instance est encore active
","जब इसका दूसरा इंस्टैंस अभी भी चल रहा हो, तब कमांड नहीं चलाया जा सकता
","Tidak dapat mengeksekusi perintah (%1) saat instance lain darinya masih berjalan
","Impossibile eseguire il comando (%1) mentre un'altra sua istanza è ancora in esecuzione
",その他のインスタンス実行中は、コマンド (%1) を実行できません,"다른 인스턴스가 실행 중인 동안에는 명령(%1)을 실행할 수 없습니다
","Nie można wykonać polecenia (%1), gdy nadal trwa wykonywanie jego innej instancji
","Não é possível executar o comando (%1) enquanto outra instância ainda está sendo executada
",,"ไม่สามารถดำเนินการคำสั่ง (%1) ได้ในขณะที่อินสแตนซ์อื่นของคำสั่งดังกล่าวยังทำงานอยู่
","Başka bir örneğinin yürütmesi süren komut yürütülemez (%1)
","Không thể thực hiện lệnh (%1) trong khi một ví dụ khác của nó vẫn đang chạy
","无法执行命令（%1），其另一个实例仍在运行
","无法执行命令（%1），其另一个实例仍在运行
",無法再另一個個體運行時執行指令（%1）
Studio.App.CmdService.UnexpectedArgsError1,,,"Cannot execute command (%1) due to unexpected arguments
","Cannot execute command (%1) due to unexpected arguments
","لا يمكن تنفيذ الأمر (%1) بسبب وجود وسائط غير متوقعة
","Befehl (%1) kann aufgrund unerwarteter Argumente nicht ausgeführt werden
","No se puede ejecutar el comando (%1) debido a argumentos inesperados
","Impossible d'exécuter la commande (%1) à cause d'arguments inattendus
","अनएक्सपेक्टेड आर्गुमेंट्स के कारण कमांड (%1) चलाया नहीं जा सका
","Tidak dapat mengeksekusi perintah (%1) karena adanya argumen tidak terduga
","Impossibile eseguire il comando (%1) a causa di argomenti imprevisti
",予期しない引数のため、コマンド (%1) を実行できません,"예기치 않은 인수로 인해 명령(%1)을 실행할 수 없습니다
","Nie można wykonać polecenia (%1) ze względu na nieoczekiwane argumenty
","Não é possível executar o comando (%1) devido a argumentos inesperados
",,"ไม่สามารถดำเนินการคำสั่ง (%1) เนื่องจากอาร์กิวเมนต์ที่ไม่คาดคิด
","Beklenmedik bağımsız değişkenler nedeniyle komut yürütülemiyor (%1)
","Không thể thực hiện lệnh (%1) do các đối số bất ngờ
","无法执行命令（%1），参数未知
","无法执行命令（%1），参数未知
",因意外引數無法執行指令（%1）
Studio.App.Property.EnableScrollbarMarkers,,,Enable Scrollbar Markers,Enable Scrollbar Markers,تمكين علامات شريط التمرير,Bildlaufleistenmarkierungen aktivieren,Activar marcadores de la barra de desplazamiento,Activer les marqueurs de barre de défilement,स्क्रोलबार मार्कर चालू करें,Aktifkan Penanda Bilah Gulir,Abilita indicatori barra di scorrimento,スクロールバーマーカーを有効化,스크롤 막대 마커 활성화,Włącz markery paska przewijania,Permitir marcadores de barra de rolagem,,เปิดใช้งานเครื่องหมายแถบเลื่อน,Kaydırma çubuğu işaretlerini etkinleştir,Bật Đánh Dấu Thanh Cuộn,启用滚动条标记,启用滚动条标记,啟用捲軸標記
Studio.App.PropertyTooltip.EnableScrollbarMarkers,,,Show markers over the vertical scrollbar in Script Editor.,Show markers over the vertical scrollbar in Script Editor.,إظهار العلامات فوق شريط التمرير الرأسي في محرر البرنامج النصي.,Markierungen über der vertikalen Bildlaufleiste im Skript-Editor anzeigen.,Mostrar marcadores arriba de la barra vertical de desplazamiento en el Editor de script,Afficher des marqueurs sur la barre de défilement verticale de l'éditeur de scripts.,स्क्रिप्ट एडिटर में वर्टिकल स्क्रोलबार पर मार्कर दिखाएँ.,Tampilkan penanda di atas bilah gulir vertikal di Editor Skrip.,Mostra gli indicatori sopra la barra di scorrimento verticale nell'editor di script.,スクリプト編集で縦スクロールバー上にマーカーを表示。,스크립트 편집기에서 세로 스크롤 막대 위에 마커를 표시합니다.,Pokazuj markery na pionowym pasku przewijania w edytorze skryptów.,Mostrar marcadores sobre as barras de rolagem verticais no Editor de script.,,แสดงเครื่องหมายเหนือแถบเลื่อนแนวตั้งในเครื่องมือแก้ไขสคริปต์,Betik Düzenleyici'nin dikey kaydırma çubuğundaki işaretleri etkinleştir.,Hiển thị các dấu hiệu trên thanh cuộn thẳng đứng trong Trình Chỉnh Sửa Kịch Bản.,在脚本编辑器的垂直滚动条上显示标记。,在脚本编辑器的垂直滚动条上显示标记。,在指令把編輯器中的縱向捲軸上顯示標記。
Studio.App.AssetManagerService.IdFromMeshPartAssetTypeInvalid,,,Id from mesh part is invalid for asset type,Id from mesh part is invalid for asset type,المعرّف من جزء mesh غير صالح لنوع الأصل,Id von Mesh-Teil ist ungültig für den Objekttyp,El ID de la parte de la malla no es válida para el tipo de recurso,L'ID de partie de maillage ne correspond pas au type d'élément,ऐसेट टाइप के लिए मेश पार्ट से ID अमान्य है,Id dari komponen mesh tidak valid untuk tipe aset,Id della parte mesh non valido per il tipo di risorsa,メッシュパーツのIDがこのアセットタイプには無効です,메시 파트의 ID가 애셋 유형에 대해 유효하지 않습니다,Identyfikator części siatki jest nieprawidłowy w odniesieniu do typu zasobu,A ID da parte da malha é inválida para o tipo de ativo,,ID จากส่วนประกอบเมชไม่ถูกต้องสำหรับประเภททรัพยากร,Mesh parçanın kimliği varlık türü için geçersiz,Id từ bộ phận mesh không hợp lệ đối với loại tài sản,网格部件的 Id 对资源类型无效,网格部件的 Id 对资源类型无效,網格零件的 ID 與素材類型不符
Studio.App.AssetManagerService.IdFromMeshPartNotFound,,,Id from mesh part not found for content id: %1,Id from mesh part not found for content id: %1,لم يتم العثور على المعرّف من جزء mesh لمعرّف المحتوى: %1,Id von Mesh-Teil für die Inhalts-ID nicht gefunden: %1,No se encontró el ID de la parte de la malla para el ID del contenido: %1,ID de partie de maillage introuvable pour l'ID de contenu : %1,कॉन्टेंट ID के लिए मेश पार्ट से ID नहीं मिली : %1,Id dari komponen mesh tidak ditemukan untuk id konten: %1,Id della parte mesh non trovato per l'id del contenuto: %1,以下のコンテンツIDのメッシュパーツのIDが見つかりません: %1,다음 콘텐츠 ID에 대한 메시 파트의 ID를 찾을 수 없음: %1,Nie znaleziono identyfikatora części siatki dla identyfikatora zasobu: %1,A ID da parte da malha não foi encontrada para a ID de conteúdo: %1,,ไม่พบ ID จากส่วนประกอบเมชของ ID เนื้อหา: %1,İçerik kimliği için mesh parça kimliği bulunamadı: %1,Không tìm thấy Id từ bộ phận mesh cho id nội dung: %1,网格部件的 Id 未找到内容 Id：%1,网格部件的 Id 未找到内容 Id：%1,找不到此內容 ID 的網格零件 ID：
Studio.App.RobloxRibbonMainWindow.CreatePlaneConstraint,,,Create plane constraint,Create plane constraint,إنشاء قيد المستوى,Ebenenbeschränkung erstellen,Crear restricción de plano,Créer contrainte de plan,प्लेन कंस्ट्रेंट क्रिएट करें,Buat constraint plane,Crea vincolo piano,平面拘束を作成,평면 제약 만들기,Utwórz ograniczenie płaszczyzny,Criar restrição de plano,,สร้าง Constraint ระนาบ,Düzlem kısıtlaması oluştur,Tạo ràng buộc máy bay,创建平面约束,创建平面约束,建立平面限制式
Studio.App.RobloxRibbonMainWindow.Plane,,,Plane,Plane,مستوى,Ebene,Plano,Plan,प्लेन,Plane,Piano,平面,평면,Płaszczyzna,Plano,,ระนาบ,Düzlem,Máy Bay,平面,平面,平面
Studio.App.BetaFeatures.LayeredClothingBetaTitle2,,,3D Layered Clothing,3D Layered Clothing,ملابس ثلاثية الأبعاد ذات طبقات,Mehrschichtige Kleidung in 3D,Ropa en capas 3D,Vêtements superposés en 3D,3D लेयर्ड क्लोदिंग,Pakaian Berlapis 3D,Abbigliamento a strati 3D,3D の重ね着,3D 레이어드 복장,Ubranie warstwowe 3D,Roupas em camadas 3D,,เสื้อผ้าซ้อนชั้น 3D,3B Üst Üste Giyilen Kıyafet,Trang Phục Nhiều Lớp 3D,3D 层叠服装,3D 层叠服装,3D 層疊服飾
Studio.App.BetaFeatures.LayeredClothingBetaDescription2,,,Enable 3D Layered Clothing in your experiences.,Enable 3D Layered Clothing in your experiences.,تمكين الملابس ذات الطبقات ثلاثية الأبعاد في تجاربك.,Aktiviere mehrschichtige Kleidung in 3D in deinen Experiences.,Activa Ropa en capas 3D en tus experiencias.,Activer les vêtements superposés en 3D dans toutes vos expériences.,अपने एक्सपीरिएंस में 3D लेयर्ड क्लोदिंग चालू करें.,Mengaktifkan Pakaian Berlapis 3D di pengalaman virtualmu.,Abilita l'abbigliamento a strati 3D nelle tue esperienze.,お持ちのバーチャル空間上で 3D の重ね着を有効化。,내 체험에서 3D 레이어드 복장을 활성화합니다.,Włącz w projekcie ubrania warstwowe 3D,Permitir roupas em camadas 3D em suas experiências.,,เปิดใช้งานเสื้อผ้าซ้อนชั้น 3D ในประสบการณ์ของคุณ,Deneyimlerinde 3B Üst Üste Giyilen Kıyafet özelliğini etkinleştir.,Bật Trang Phục Nhiều Lớp 3D trong trải nghiệm của bạn.,在你的作品中启用 3D 层叠服装。,在你的作品中启用 3D 层叠服装。,在體驗中啟用 3D 層疊服飾。
Studio.App.RobloxRibbonMainWindow.RigidConstraint,,,Rigid Constraint,Rigid Constraint,قيد صلب,Starre Beschränkung,Restricción rígida,Contrainte rigide,रिजिड कंस्ट्रेंट,Constraint Kaku,Vincolo rigido,剛性拘束,강성 제약,Ograniczenie sztywne,Restrição rígida,RigidConstraint,Constraint แบบแข็ง,Rijit Kısıtlama,Ràng Buộc Cứng,刚性约束,刚性约束,固定限制式
Studio.App.MainWindow.FatalErrorDialog1,,,Studio encountered an unrecoverable error and must shut down: %1,Studio encountered an unrecoverable error and must shut down: %1,واجه Studio خطأً لا يمكن إصلاحه ويجب إيقاف تشغيله: %1,Studio ist auf einen nicht behebbaren Fehler gestoßen und muss heruntergefahren werden: %1,Studio encontró un error irrecuperable y debe cerrarse: %1,"Une erreur irrécupérable s'est produite, et Studio doit être fermé : %1","Studio में ऐसी गड़बड़ी आ गई है, जिसे रिकवर नहीं किया जा सकता. इसे बंद करना ज़रूरी है : %1",Studio mengalami eror yang tidak dapat diatasi dan harus ditutup: %1,Studio ha riscontrato un errore irreversibile e deve essere arrestato: %1,Studio に復元できないエラーが発生したため、シャットダウンする必要があります: %1,복구할 수 없는 오류가 발생해 Studio를 종료해야 합니다. 해당 오류: %1,W aplikacji Studio wystąpił nieodwracalny błąd i aplikacja musi zostać zamknięta: %1,O Studio encontrou um erro irrecuperável e precisa encerrar: %1,,Studio เกิดข้อผิดพลาดที่ไม่สามารถกู้คืนได้ และจำเป็นต้องปิดการทำงาน: %1,"Studio, kurtarmanın mümkün olmadığı bir hatayla karşılaştı ve kapatılacak: %1",Studio đã gặp phải một lỗi không thể phục hồi và phải đóng lại: %1,Studio 遭遇了无法恢复的错误，必须关闭：%1,Studio 遭遇了无法恢复的错误，必须关闭：%1,Studio 遇到無法復原的錯誤，必須終止：%1
Studio.App.BetaFeatures.NineSliceEditorTitle,,,9-Slice Editor,9-Slice Editor,محرر تقسيم 9 شرائح,9-Slice-Editor,Editor 9 Slice,Éditeur 9-Slice,9-स्लाइस एडिटर,Editor 9-Slice,Editor 9-Slice,9分割編集,9 슬라이스 편집기,Edytor 9-Slice,Editor 9-Slice,,เครื่องมือแก้ไข 9 ส่วน,9 Dilim Düzenleyici,Trình Chỉnh Sửa 9-Slice,九宫格编辑器,九宫格编辑器,9 格縮放編輯器
Studio.App.BetaFeatures.NineSliceEditorDescription,,,A visual editor for the SliceCenter property of ImageLabels and ImageButtons.,A visual editor for the SliceCenter property of ImageLabels and ImageButtons.,محرر مرئي لخاصية SliceCenter الخاصة بـ ImageLabels و ImageButtons.,Ein visueller Editor für die Eigenschaft SliceCenter von ImageLabels und ImageButtons.,Un editor visual para la propiedad SliceCenter de ImageLabels y ImageButtons.,Un éditeur visuel pour la propriété SliceCenter de ImageLabels et ImageButtons.,ImageLabels और ImageButtons की SliceCenter प्रॉपर्टी के लिए एक विज़ुअल एडिटर.,Editor visual untuk properti SliceCenter dari ImageLabels dan ImageButtons.,Un editor visuale per la proprietà SliceCenter di ImageLabels e ImageButtons.,ImageLabels と ImageButtons の SliceCenter プロパティのビジュアル編集。,ImageLabels 및 ImageButtons의 SliceCenter 속성에 대한 비주얼 편집기입니다.,Edytor wizualny właściwości SliceCenter elementów ImageLabel oraz ImageButton.,Um editor visual para a propriedade SliceCenter de ImageLabels e ImageButtons.,,เครื่องมือแก้ไขภาพสำหรับคุณสมบัติ SliceCenter ของ ImageLabels และ ImageButtons,ImageLabel'lar ve ImageButton'lar için görsel SliceCenter özelliği düzenleyicisi.,Một trình chỉnh sửa trực quan cho thuộc tính SliceCenter của ImageLabels và ImageButtons.,ImageLabels 和 ImageButtons 的 SliceCenter 属性的可视化编辑器。,ImageLabels 和 ImageButtons 的 SliceCenter 属性的可视化编辑器。,編輯 ImageLabels 和 ImageButtons 兩個 SliceCenter 屬性的視覺化編輯器。
Studio.App.DataModelLifeCycle.CannotOpenFileForRead,,,Cannot open place file for reading.,Cannot open place file for reading.,لا يمكن فتح ملف المكان للقراءة.,Die Ortsdatei kann nicht zum Lesen geöffnet werden.,No se puede abrir el archivo para lectura.,Impossible d'ouvrir le fichier d'emplacement à lire.,पढ़ने के लिए प्लेस फ़ाइल नहीं खोली जा सकती.,Tidak dapat membuka file tempat untuk membaca.,Impossibile aprire il file di località per la lettura.,読み取り用のプレースファイルを開けません。,플레이스 파일을 읽기용으로 열 수 없습니다.,Nie można otworzyć pliku miejsca do odczytania.,Não é possível abrir o arquivo para leitura.,,ไม่สามารถเปิดไฟล์สถานที่เพื่อการอ่านได้,Mekân dosyası okumaya açılamadı.,Không thể mở tệp địa điểm để đọc.,无法开启供读取的场景文件。,无法开启供读取的场景文件。,無法開啟並讀取地點檔案。
Studio.App.DataModelLifeCycle.GameIsGoneWhileLoadingDM,,,Game has disappeared while loading dm (client).,Game has disappeared while loading dm (client).,اختفت اللعبة أثناء رفع dm (العميل).,Spiel ist beim Laden von dm (Client) verschwunden.,El juego ha desaparecido al cargar dm (cliente),Le jeu a disparu lors du chargement de dm (client).,DM (क्लाइंट) लोड करते समय गेम गायब हो गया है.,Game telah menghilang saat me-load dm (klien).,Il gioco è scomparso durante il caricamento del DMClient.,DM (client) の読み込み中にゲームが消えました。,DM(클라이언트)을 불러오는 동안 게임이 사라졌습니다.,Gra zniknęła podczas wczytywania dm (klienta).,O jogo desapareceu enquanto carregava dm (cliente).,,เกมหายไปในขณะที่กำลังโหลด DM (ไคลเอนต์),Veri modeli yüklenirken oyun ortadan kayboldu (istemci).,Trò chơi đã biến mất trong khi tải dm (máy khách).,游戏在加载 dm（客户端）时已消失。,游戏在加载 dm（客户端）时已消失。,遊戲在載入資料模型（用戶端）時消失。
Studio.App.MainWindow.ClosePlace,,,Close Place,Close Place,إغلاق المكان,Ort schließen,Cerrar lugar,Fermer emplacement,प्लेस बंद करें,Tutup Tempat,Chiudi località,プレースを閉じる,플레이스 닫기,Zamknij miejsce,Fechar local,,ปิดสถานที่,Mekânı kapat,Đóng Địa Điểm,关闭场景,关闭场景,關閉地點
Studio.App.MainWindow.ClosePlaceStatusTip,,,Close the open place,Close the open place,إغلاق المكان المفتوح,Den offenen Ort schließen,Cierra el lugar abierto,Fermer l'emplacement ouvert,ओपन प्लेस बंद करें,Tutup tempat yang terbuka,Chiudi la località aperta,開いているプレースを閉じる,열려 있는 플레이스 닫기,Zamknij otwarte miejsce,Fechar o local aberto,,ปิดสถานที่ที่เปิดอยู่,Açık mekânı kapat,Đóng địa điểm đang mở,关闭打开的场景,关闭打开的场景,關閉已開啟的地點
Studio.App.RobloxRibbonMainWindow.CreateRigidConstraint,,,Create rigid constraint,Create rigid constraint,إنشاء قيد صارم,Starre Beschränkung erstellen,Crear restricción rígida,Créer contrainte rigide,रिजिड कंस्ट्रेंट क्रिएट करें,Buat constraint kaku,Crea vincolo rigido,剛性拘束を作成,강성 제약 만들기,Utwórz ograniczenie sztywne,Criar restrição rígida,,สร้าง Constraint แบบแข็ง,Rijit kısıtlama oluştur,Tạo ràng buộc cứng,创建刚性约束,创建刚性约束,建立固定限制式
Studio.App.Property.EnableAutocompleteDocView,,,Enable Autocomplete Documentation,Enable Autocomplete Documentation,تمكين توثيق الإكمال التلقائي,Dokumentation der Auto-Vervollständigung aktivieren,Activar documentación de autocompletado,Activer la documentation de remplissage automatique,ऑटो-कंप्लीट डॉक्यूमेंटेशन चालू करें,Aktifkan Dokumentasi Lengkapi Otomatis,Abilita documentazione autocompletamento,ドキュメンテーションの自動補完を有効化,문서 자동 완성 활성화,Włącz dokumentację autouzupełniania,Habilitar documentação de autopreenchimento,,เปิดใช้งานเอกสารอ้างอิงการเติมอัตโนมัติ,Otomatik tamamlama belgelemeyi etkinleştir,Bật Tài Liệu Tự Động Hoàn Thành,启用自动完成文档,启用自动完成文档,啟用自動完成說明
Studio.App.Property.EnableSignatureHelpDocView,,,Enable Signature Help Documentation,Enable Signature Help Documentation,تمكين توثيق مساعدة التوقيع,Dokumentation der Signaturhilfe aktivieren,Activar documentación de ayuda de firma,Activer la documentation d'aide à la signature,सिग्नेचर हेल्प डॉक्यूमेंटेशन चालू करें,Aktifkan Dokumentasi Bantuan Signature,Abilita documentazione Guida firma,シグネチャヘルプ文書化を有効化,서명 도움말 문서 활성화,Włącz dokumentację pomocy dotyczącej sygnatur,Habilitar documentação de ajuda de assinatura,,เปิดใช้งานเอกสารอ้างอิงความช่วยเหลือเฉพาะ,İmza Yardımı belgelemesini etkinleştir,Bật Tài Liệu Hỗ Trợ Chữ Ký,启用签名帮助文档,启用签名帮助文档,啟用簽名協助說明
Studio.App.Property.DocViewCodeBackgroundColor,,,Documentation Code Block Background Color,Documentation Code Block Background Color,لون خلفية كتلة الكود في التوثيق,Hintergrundfarbe des Codeblocks der Dokumentation,Color de fondo del bloque de código de documentación,Couleur d'arrière-plan des blocs de code de documentation,डॉक्यूमेंटेशन कोड ब्लॉक बैकग्राउंड का रंग,Warna Latar Belakang Blok Kode Dokumentasi,Colore di sfondo documentazione blocco di codice,文書化コードブロックの背景色,문서 코드 블록 배경색,Kolor tła bloku kodu w dokumentacji,Cor de fundo do bloco de código de documentação,,สีพื้นหลังคำบล็อกโค้ดเอกสาร,Belge kod bloku arka plan rengi,Màu Nền Khối Mã Tài Liệu,文档代码段落背景颜色,文档代码段落背景颜色,說明程式碼區塊背景顏色
Studio.App.PropertyTooltip.EnableAutocompleteDocView,,,Enable documentation view to alongside code suggestion.,Enable documentation view to alongside code suggestion.,تمكين عرض التوثيق إلى جانب اقتراح الكود.,Dokumentationsansicht neben dem Codevorschlag aktivieren.,Activa la vista de documentación junto con la sugerencia de código.,Activer l'affichage de la documentation à côté des suggestions de code.,कोड के सुझाव के साथ-साथ डॉक्यूमेंटेशन व्यू चालू करें.,Mengaktifkan tampilan dokumentasi bersama dengan saran kode.,Abilita la visualizzazione della documentazione accanto ai suggerimenti per il codice.,コード提案と並行して文書化表示を有効化。,코드 제안과 함께 문서 보기를 활성화합니다.,Włącz widok dokumentacji obok sugestii dotyczących kodu.,Habilitar visualização de documentação junto com a sugestão de código.,,เปิดใช้งานมุมมองเอกสารควบคู่ไปกับคำแนะนำโค้ด,Kod önerilerinin yanında belgeleme görünümünü de etkinleştir.,Mở chế độ xem tài liệu sang bên cạnh gợi ý mã.,并排启用文档视图与代码提示。,并排启用文档视图与代码提示。,在程式碼建議旁邊啟用說明檢視。
Studio.App.PropertyTooltip.EnableSignatureHelpDocView,,,Enable documentation view alongside signature help view.,Enable documentation view alongside signature help view.,تمكين عرض التوثيق إلى جانب عرض مساعدة التوقيع.,Dokumentationsansicht neben der Signaturhilfe aktivieren.,Activa la vista de documentación junto con vista de ayuda de firmas.,Activer l'affichage de la documentation à côté de l'aide à la signature.,सिग्नेचर हेल्प व्यू के साथ-साथ डॉक्यूमेंटेशन व्यू चालू करें.,Mengaktifkan tampilan dokumentasi bersama dengan tampilan bantuan signature.,Abilita la visualizzazione della documentazione accanto a Guida firma.,シグネチャヘルプ表示と並行して文書化表示を有効化,서명 도움말 보기와 함께 문서 보기를 활성화합니다.,Włącz widok dokumentacji obok widoku pomocy dotyczącej sygnatur.,Habilitar visualização de documentação juntamente com visualização a de ajuda da assinatura.,,เปิดใช้งานมุมมองเอกสารควบคู่ไปกับมุมมองความช่วยเหลือเฉพาะ,İmza yardımı görünümünün yanında belgeleme görünümünü de etkinleştir.,Bật chế độ xem tài liệu cùng với chế độ xem hỗ trợ chữ ký.,并排启用文档视图与签名帮助视图。,并排启用文档视图与签名帮助视图。,在簽名協助檢視旁邊啟用說明檢視。
Studio.App.BetaFeatures.DefaultSaveToCloudTitle,,,Default Save to Cloud,Default Save to Cloud,الحفظ الافتراضي في السحابة,Standardmäßig in der Cloud speichern,Guardar en la nube por defecto,Enregistrer sur le cloud par défaut,डिफ़ॉल्ट रूप से क्लाउड पर सेव होता है,Penyimpanan Default ke Cloud,Salvataggio predefinito sul cloud,デフォルトでクラウドに保存,클라우드에 기본 저장,Domyślne zapisywanie w chmurze,Salvar na nuvem por padrão,,บันทึกไปยังคลาวด์ด้วยค่าเริ่มต้น,Buluta varsayılan şekilde kaydet,Mặc Định Lưu Vào Đám Mây,默认保存至云端,默认保存至云端,預設儲存到雲端
Studio.App.BetaFeatures.DefaultSaveToCloudDescription,,,Allows saving games to the cloud without publishing.,Allows saving games to the cloud without publishing.,يسمح بحفظ الألعاب في السحابة دون نشرها.,Erlaubt das Speichern von Spielen in der Cloud ohne Veröffentlichung.,Permite que se guarden los juegos en la nube sin publicarlos.,Permet d'enregistrer les jeux sur le cloud sans les publier,यह विकल्प पब्लिशिंग के बिना क्लाउड में गेम सेव करने की सुविधा देता है.,Memungkinkan penyimpanan game ke cloud tanpa memublikasikan.,Consente di salvare i giochi sul cloud senza doverli pubblicare.,公開しないでゲームをクラウドに保存できるようにする。,게임을 게시하지 않고 클라우드에 저장할 수 있도록 합니다.,Umożliwia zapisywanie gier w chmurze bez ich publikowania.,Permitir salvar jogos na nuvem sem publicar.,,อนุญาตการบันทึกเกมไปยังคลาวด์โดยไม่เผยแพร่,Buluta yayınlamadan oyun kaydetmeye olanak sağlar.,Cho phép lưu trò chơi vào đám mây mà không cần đăng.,允许在游戏未发布的状态下储存游戏到云端。,允许在游戏未发布的状态下储存游戏到云端。,在遊戲未發布狀態下允許儲存遊戲到雲端。
Studio.App.DebuggerUIUtilities.Breakpoint,,,Breakpoint,Breakpoint,نقطة التوقف,Haltepunkt,Punto de interrupción,Point d'arrêt,ब्रेकपॉइंट,Breakpoint,Breakpoint,ブレークポイント,중단점,Punkt przerwania,Ponto de interrupção,,Breakpoint,Kesme Noktası,Điểm Dừng,断点,断点,斷點
Studio.App.DebuggerUIUtilities.InsertBreakpoint,,,Insert Breakpoint,Insert Breakpoint,إدراج نقطة توقف,Haltepunkt einfügen,Insertar punto de interrupción,Insérer point d'arrêt,ब्रेकपॉइंट डालें,Masukkan Breakpoint,Inserisci breakpoint,ブレークポイントを挿入,중단점 삽입,Wstaw punkt przerwania,Inserir ponto de interrupção,,แทรก Breakpoint,Kesme Noktası ekle,Chèn Điểm Dừng,插入断点,插入断点,插入斷點
Studio.App.DebuggerUIUtilities.InsertConditionalBreakpointElps,,,Insert Conditional Breakpoint...,Insert Conditional Breakpoint...,إدراج نقطة توقف مشروطة...,Bedingten Haltepunkt einfügen ...,Insertar punto de interrupción condicional...,Insertion de point d'arrêt conditionnel...,शर्त के साथ ब्रेकपॉइंट डालें...,Masukkan Breakpoint Kondisional...,Immetti breakpoint condizionale...,条件付きブレークポイントを挿入...,조건부 중단점 삽입...,Wstaw warunkowy punkt przerwania...,Inserir ponto de interrupção condicional...,,แทรก Breakpoint เงื่อนไข...,Koşullu Kesme Noktası ekle...,Chèn Điểm Dừng Theo Điều Kiện...,插入条件断点...,插入条件断点...,插入條件斷點……
Studio.App.DebuggerUIUtilities.InsertContextualBreakpoint,,,Insert Contextual Breakpoint,Insert Contextual Breakpoint,إدراج نقطة توقف سياقية,Kontextuellen Haltepunkt einfügen,Insertar punto de interrupción contextual,Insérer point d'arrêt contextuel,कॉन्टेक्स्चुअल ब्रेकपॉइंट डालें,Masukkan Breakpoint Kontekstual,Immetti breakpoint contestuale,コンテキスト上のブレークポイントを挿入,상황별 중단점 삽입,Wstaw kontekstowy punkt przerwania,Inserir ponto de interrupção contextual,,แทรก Breakpoint ตามบริบท,Bağlamsal Kesme Noktası ekle,Chèn Điểm Dừng Theo Ngữ Cảnh,插入语境断点,插入语境断点,插入語境斷點
