Key,Source,de-de,en-us,es-es,fr-fr,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.GameSettings.General.ScaleHeight,Height,Höhe,Height,Altura,Hauteur,高さ,높이,Altura,Высота,高度,高度,高度
Studio.GameSettings.General.ScaleWidth,Width,Breite,Width,Ancho,Largeur,幅,넓이,Largura,Ширина,宽度,宽度,寬度
Studio.GameSettings.General.ScaleBodyType,Body Type,Körpertyp,Body Type,Tipo de cuerpo,Type de corps,ボディタイプ,체형,Tipo de corpo,Телосложение,身体类型,身体类型,體型
Studio.GameSettings.General.ScaleProportions,Proportions,Proportionen,Proportions,Proporciones,Proportions,比率,비율,Proporções,Пропорции,比例,比例,比例
Studio.GameSettings.General.ClothingShirt,Shirt ID,Hemd-ID,Shirt ID,ID de la camisa,ID haut,シャツID,셔츠 ID,ID da camisa,ID рубашки,上衣ID,上衣ID,上衣 ID
Studio.GameSettings.General.PartFace,Face,Gesicht,Face,Cara,Visage,顔,얼굴,Rosto,Лицо,脸部,脸部,臉
Studio.GameSettings.General.AllowCopyingDesc,This option grants every user of Roblox the right to use (in various ways) the content you are not sharing. For more information about sharing content please review the Terms of Use., ,This option grants every user of Roblox the right to use (in various ways) the content you are not sharing. For more information about sharing content please review the Terms of Use.,"Esta opción otorgará a todos los usuarios de Roblox el derecho a usar (de varias formas) el contenido que no compartes. Para más información sobre cómo compartir contenido, revisa los Términos de uso.","Cette option accorde à chaque utilisateur de Roblox le droit d'utiliser (de plusieurs manières) le contenu que tu ne partages pas. Pour plus d'informations sur le partage de contenu, consulte les conditions d'utilisation.",このオプションは、あなたが共有していないコンテンツをすべてのRobloxのユーザーが使用する（さまざまな方法で）権利を付与します。コンテンツ共有についてのさらに詳しい情報は、利用規約をごらんください。,이 옵션은 회원님이 공유하지 않은 콘텐츠를 다양한 방식으로 사용할 수 있는 권한을 Roblox의 모든 사용자에게 부여합니다. 콘텐츠 공유에 대한 자세한 내용이 궁금하다면 이용 약관을 확인하세요.,"Esta opção permite a cada usuário Roblox o direito de usar (de várias maneiras) o conteúdo que você não compartilha. Para mais informações sobre compartilhamento de conteúdo, consulte os Termos de Uso.", ,开启此选项即表示 Roblox 的所有用户将会对您未进行分享的内容拥有（多种方式的）使用权限。如需获取关于分享内容的更多信息，请详见我们的使用条款。,开启此选项即表示 Roblox 的所有用户将会对您未进行分享的内容拥有（多种方式的）使用权限。如需获取关于分享内容的更多信息，请详见我们的使用条款。,此選項將會授權所有 Roblox 使用者以不同方式使用您未分享的內容。若您不想授權，請勿勾選此方塊。若要了解更多關於分享內容的資訊，請前往 Roblox 使用條款。
Studio.GameSettings.General.UnitsMetersPerSecond1,({1} meters/second), ,({1} meters/second),({1} metros/segundo),({1} mètre/seconde),({1} メートル/秒),({1}미터/초),({1} metros/segundo), ,（{1} 米/秒）,（{1} 米/秒）,（{1} 公尺每秒）
Studio.GameSettings.General.PresetFullClassic,Full Classic,Komplett klassisch,Full Classic,Clásico completo,Classique complet,完全な典型,풀 클래식,Clássico completo,Полная классика,全套经典,全套经典,完整經典
Studio.GameSettings.General.PartTorso,Torso,Torso,Torso,Torso,Torse,胴,몸통,Tronco,Торс,躯干,躯干,軀幹
Studio.GameSettings.General.PartLeftArm,Left Arm,Linker Arm,Left Arm,Brazo izquierdo,Bras gauche,左腕,왼팔,Braço esquerdo,Левая рука,左臂,左臂,左臂
Studio.GameSettings.General.AvatarTypeR6,R6,R6,R6,R6,R6,6才以上,R6,R6,R6,R6,R6,6 歲以上
Studio.GameSettings.General.PartRightLeg,Right Leg,Rechtes Bein,Right Leg,Pierna derecha,Jambe droite,右足,오른 다리,Perna direita,Правая нога,右腿,右腿,右腿
Studio.GameSettings.General.TitleOptInLocations,Opt-In Locations, ,Opt-In Locations,Lugares de participación,Emplacements opt-in,オプトイン場所,옵트인 위치,Locais de participação, ,选择加入的位置,选择加入的位置,同意位置
Studio.GameSettings.General.ClothingPants,Pants ID,Hosen-ID,Pants ID,ID de los pantalones,ID pantalon,パンツID,바지 ID,ID das calças,ID штанов,裤子ID,裤子ID,褲子 ID
Studio.GameSettings.General.PresetDefault,Default,Standard,Default,Predeterminado,Par défaut,デフォルト,기본값,Padrão,По умолчанию,默认,默认,預設
Studio.GameSettings.General.PresetClassicScale,Classic Scale,Klassisches Größenverhältnis,Classic Scale,Escalado clásico,Échelle classique,典型スケール,클래식 비율,Escala clássica,Классическая шкала,经典比例,经典比例,經典比例
Studio.GameSettings.General.AnimationPlayerChoice,Player Choice,Benutzerdefiniert,Player Choice,Elección del jugador,Choix du joueur,プレイヤーの選択,플레이어의 선택,Escolha do jogador,Выбор игрока,玩家选择,玩家选择,玩家選擇
Studio.GameSettings.General.AvatarTypePlayerChoice,Player Choice,Benutzerdefiniert,Player Choice,Elección del jugador,Choix du joueur,プレイヤーチョイス,플레이어의 선택,Escolha do jogador,Выбор игрока,玩家选择,玩家选择,玩家選擇
Studio.GameSettings.General.PresetPlayerChoice,Player Choice,Benutzerdefiniert,Player Choice,Elección del jugador,Choix du joueur,プレイヤーチョイス,플레이어의 선택,Escolha do jogador,Выбор игрока,玩家选择,玩家选择,玩家選擇
Studio.GameSettings.Places.ServerFill,Server Fill, ,Server Fill,Relleno del servidor,Alimentation serveur,サーバー充填,서버 채우기,Preenchimento do servidor, ,服务器填充,服务器填充,伺服器填滿方式
Studio.GameSettings.General.AvatarTypeR15,R15,R15,R15,R15,R15,15才以上,R15,R15,R15,R15,R15,15 歲以上
Studio.GameSettings.General.AvatarTypeWarning,Change Avatar Type will shut down the running game when save settings,"Wenn du die Avatar-Art änderst, wird das ausgeführte Spiel beim Speichern der Einstellungen beendet.",Change Avatar Type will shut down the running game when save settings,Cambiar el tipo de avatar cerrará el juego en ejecución al guardar la configuración,"Si vous changez le type d'avatar, la partie en cours prendra fin lors de l'enregistrement des paramètres.",保存設定がしてある場合、アバタータイプを変更すると実行中のゲームが終了します,아바타 유형을 변경하면 설정 저장 시 실행 중인 게임이 종료됩니다,Alterar o tipo do avatar desativará o jogo em execução ao salvar as configurações,Изменение типа аватара отключит запущенную игру при сохранении настроек,更改虚拟形象类型会在保存设置时关闭进行中的游戏,更改虚拟形象类型会在保存设置时关闭进行中的游戏,變更虛擬人偶類型會在儲存設定時關閉進行中的遊戲
Studio.GameSettings.General.CollisionOuterBox,Outer Box,Außenfeld,Outer Box,Caja externa,Zone externe,外箱,바깥 상자,Caixa externa,Внешний ящик,外范围,外范围,外範圍
Studio.GameSettings.Security.EnableThirdPartyTeleportsDescription,"By enabling, players can be teleported to other games. However, teleports between places in this game and between games owned by the same creator will be permitted.", ,"By enabling, players can be teleported to other games. However, teleports between places in this game and between games owned by the same creator will be permitted.","Al activarlos, los jugadores se pueden teletransportar a otros juegos. Sin embargo, se permitirán los telepuertos entre lugares en este juego y entre juegos de propiedad del mismo creador.","En l'activant, les joueurs peuvent être téléportés vers d'autres jeux. Toutefois, les téléportations entre les lieux de ce jeu et entre les jeux appartenant au même créateur seront autorisées.",有効化すると、プレイヤーは他のゲームにテレポートされます。しかし、このゲーム上のプレースと同じクリエーターが所有しているゲーム間のテレポートは許可されています。,"이 옵션을 활성화하면 플레이어가 다른 게임으로 텔레포트할 수 있습니다. 단, 이 게임 내의 플레이스 간에, 그리고 동일한 크리에이터가 제작한 다른 게임 간에만 가능합니다.","Ao ativar isto, jogadores podem ser teleportados para outros jogos. No entanto, somente teleportes entre locais neste jogo e entre jogos de propriedade do mesmo criador serão permitidos.", ,启用此选项后，玩家将可以传送至其他游戏。然而，玩家将可以进行此游戏不同场景间的传送及同一游戏创作者不同游戏间的传送。,启用此选项后，玩家将可以传送至其他游戏。然而，玩家将可以进行此游戏不同场景间的传送及同一游戏创作者不同游戏间的传送。,若啟用此選項，玩家就可已傳送到其他遊戲。但是，玩家只能在同一個遊戲的地點之間或同一個創作者的遊戲之間進行傳送。
Studio.GameSettings.General.CollisionInnerBox,Inner Box,Innenfeld,Inner Box,Caja interna,Zone interne,内箱,안쪽 상자,Caixa interna,Внутренний ящик,内范围,内范围,內範圍
Studio.GameSettings.General.AvatarOverrideItem,Custom Item,Benutzerdefiniertes Element,Custom Item,Objeto personalizado,Élément personnalisé,カスタムアイテム,사용자 정의 아이템,Item personalizado,Пользовательский элемент,自定义项目,自定义项目,自訂物品
Studio.GameSettings.AccessPermissions.PublishRequiredForCollaborators,adding collaborators, ,adding collaborators,añadiendo colaboradores,ajout de collaborateurs,共同制作者を追加中,공동 작업자 추가,adicionar colaboradores,добавление участников совместной работы,正在添加协作者,正在添加协作者,增加合夥人
Studio.GameSettings.Permissions.PublishRequiredForCollaborators,adding collaborators, ,adding collaborators,añadiendo colaboradores,ajout de collaborateurs,共同制作者を追加中,공동 작업자 추가,adicionando colaboradores, ,正在添加协作者,正在添加协作者,增加合夥人
Studio.GameSettings.General.AvatarOverrideId,ID Number,ID-Nummer,ID Number,Número del ID,Numéro ID,ID番号,ID 번호,Número de ID,Идентификационный номер,ID码,ID码,ID 號碼
Studio.GameSettings.General.ErrorOverrideEmpty,ID Number cannot be empty,ID-Nummer darf nicht leer sein,ID Number cannot be empty,El número del ID no puede estar vacío,Le numéro ID ne peut pas être vide.,ID番号を空欄にはできません,ID 번호는 비워두면 안 돼요,O número de ID não pode ficar vazio,Номер не может быть пустым,ID码不能为空,ID码不能为空,ID 號碼不可空白
Studio.GameSettings.General.CategoryDeveloperSubscriptions,Subscriptions,Abonnements,Subscriptions,Suscripciones,Abonnements,サブスクリプション,구독,Assinaturas,Подписки,订阅,订阅,訂閱
Studio.GameSettings.General.DevSubsListHeader,Subscriptions,Entwicklerabonnements,Subscriptions,Suscripciones,Abonnements,サブスクリプション,구독,Assinaturas,Подписки разработчика,订阅,订阅,訂閱
Studio.GameSettings.General.SettingsInsufficientPermission,Only the game owner can edit these settings, ,Only the game owner can edit these settings,Solo el propietario del juego puede editar estas configuraciones,Seul le propriétaire du jeu peut modifier ces paramètres,これらの設定はゲーム所有者だけが編集できます,게임 소유자만 이 설정을 편집할 수 있습니다,Somente o proprietário do jogo pode editar estas configurações, ,只有游戏所有者才能对这些设置进行编辑,只有游戏所有者才能对这些设置进行编辑,只有遊戲主人可以編輯這些設定
Studio.GameSettings.General.CategoryAccessPermissions,Permissions,Berechtigungen,Permissions,Permisos,Autorisations,許可,권한,Permissões,Разрешения,权限,权限,許可
Studio.GameSettings.General.CategoryPermissions,Permissions, ,Permissions,Permisos,Permissions,権限,권한,Permissões, ,权限,权限,權限
Studio.GameSettings.General.TitleGameOwner,Game Owner,Spielbesitzer,Game Owner,Propietario del juego,Propriétaire du jeu,ゲーム所有者,게임 소유자,Proprietário do jogo,Владелец игры,游戏所有者,游戏所有者,遊戲主人
Studio.GameSettings.General.DevSubsEditHeader,Edit Subscription,Entwicklerabonnement bearbeiten,Edit Subscription,Editar suscripción,Modifier abonnement,サブスクリプションを編集,구독 편집,Editar assinatura,Изменить подписку разработчика,编辑订阅,编辑订阅,編輯訂閱
Studio.GameSettings.General.DevSubsPrice,Price,Preis,Price,Precio,Prix,価格,가격,Preço,Цена,价格,价格,價格
Studio.GameSettings.Monetization.PriceTitle,Price, ,Price,Precio,Prix,価格,가격,Preço, ,价格,价格,價格
Studio.GameSettings.General.DevSubsImage,Image,Bild,Image,Imagen,Image,画像,이미지,Imagem,Изображение,图片,图片,圖像
Studio.GameSettings.General.DevSubsDuration,Pre-paid,Dauer,Pre-paid,Prepago,Pré-payé,プリペイド,선불,Pré-pago,Продолжительность,预付费,预付费,預付
Studio.GameSettings.OptInLocations.EmailDialogBody,"Your game will be reviewed by moderators to ensure that your game is compliant with Chinese content regulations. After your game is reviewed, we will send you review feedback.", ,"Your game will be reviewed by moderators to ensure that your game is compliant with Chinese content regulations. After your game is reviewed, we will send you review feedback.","Tu juego será revisado por los moderadores para asegurar que cumpla con las normas de contenido chinas. Después de su revisión, te enviaremos retroalimentación.","Ton jeu sera examiné par des modérateurs afin de s'assurer que ton jeu est conforme à la réglementation chinoise en matière de contenu. Après l'examen de ton jeu, nous t'enverrons des commentaires.",あなたのゲームは、中国のコンテンツ規制を確実に遵守するようにモデレータによってレビューされます。ゲームのレビュー後、レビューフィードバックを送信します。,게임이 중국 콘텐츠 규정을 준수하는지 확인하기 위해 검열팀에서 게임을 검토합니다. 게임 검토가 완료되면 검토 피드백을 보내드립니다.,"Seu jogo será avaliado por moderadores para garantir que segue as regras de conteúdo da China. Depois que seu jogo for avaliado, enviaremos o resultado da avaliação.", ,你的游戏将由审核员进行审核，以确保游戏符合中国的内容规定。在游戏被审核后，我们将向你发送审核反馈。,你的游戏将由审核员进行审核，以确保游戏符合中国的内容规定。在游戏被审核后，我们将向你发送审核反馈。,我們的管理員會審查您的遊戲，確保您的遊戲符合中國內容規定。審查完成後，我們會將詳細資料以電子郵件傳送給您。
Studio.GameSettings.General.CategoryMonetization,Monetization, ,Monetization,Monetización,Monétisation,収益化,수익 창출,Monetização, ,盈利,盈利,營利
Studio.GameSettings.General.DevSubsId,Id,ID,Id,ID,ID,ID,ID,ID,Id,ID,ID,ID
Studio.GameSettings.General.VoiceChatNonLinkText,Enables in-game voice chat. Voice chat will only work if your game meets the eligibility criteria outlined [link]., ,Enables in-game voice chat. Voice chat will only work if your game meets the eligibility criteria outlined [link].,Activa el chat de voz en el juego. El chat de voz funcionará solo si tu juego cumple con los criterios especificados [link]., ,ゲーム内ボイスチャットを有効化。ボイスチャットは、プレイヤーが [link] に明記された使用資格の基準を満たしている場合にのみ機能します。,게임 내 음성 채팅을 활성화합니다. 음성 채팅은 게임이 [link]에 명시된 자격 기준을 충족하는 경우에만 작동합니다.,"Permite chat de voz no jogo. Chat de voz só será permitido se os jogadores cumprirem os critérios de qualificação etária, descritos em [link].", ,启用游戏内语音聊天。此功能只有在你的游戏符合指定要求时可使用，详细要求请参阅[link]。,启用游戏内语音聊天。此功能只有在你的游戏符合指定要求时可使用，详细要求请参阅[link]。,啟用遊戲內語音聊天。此功能只有符合資格（[link]）的玩家可以使用。
Studio.GameSettings.Places.VersionHistory,Version History, ,Version History,Historial de la versión,Historique de la version,バージョン履歴,버전 기록,Histórico da versão, ,版本历史记录,版本历史记录,版本歷史紀錄
Studio.GameSettings.General.DevSubsActive,Active,Aktiv,Active,Activas,Actif,アクティブ,활성,Ativo,Активная,活跃,活跃,啟用中
Studio.GameSettings.General.ButtonCreate,Create, ,Create,Crear,Créer,作成,만들기,Criar, ,创建,创建,創作
Studio.GameSettings.General.DevSubsCreateAction,Create,Erstellen,Create,Crear,Créer,作成,만들기,Criar,Создать,创建,创建,建立
Studio.GameSettings.General.DevSubsDiscontinueAction,Discontinue,Beenden,Discontinue,Suspender,Suspendre,解約,해지,Suspender,Прекратить,取消,取消,取消
Studio.GameSettings.General.DevSubsDiscontinueConfirm,Discontinue,Beenden,Discontinue,Suspender,Suspendre,解約,해지,Suspender,Прекратить,取消,取消,取消
Studio.GameSettings.General.DevSubsUnsaved,Unsaved,Nicht gespeichert,Unsaved,Sin guardar,Non sauvegardé,未保存,저장되지 않음,Não salvo,Несохраненная,未保存,未保存,未儲存
Studio.GameSettings.General.DevSubsDiscontinueDescription,This will cancel all renewing payments. You must maintain benefits until no subscribers remain.,"Dadurch werden alle erneuten Zahlungen abgebrochen. Du musst die Vorteile beibehalten, bis keine Abonnenten mehr übrig sind.",This will cancel all renewing payments. You must maintain benefits until no subscribers remain.,Esta acción cancelará la renovación de todos los pagos. Deberás mantener todos los beneficios activos hasta que haya suscriptores.,Cela va annuler tous tes paiements récurrents. Tu dois maintenir les avantages jusqu'à ce qu'il ne reste plus aucun abonné.,これですべての更新のお支払いがキャンセルされます。サブスクリプション契約者が一人もいなくなるまでサービスを継続しなければなりません。,정기 결제가 모두 해지됩니다. 가입자가 없을 때까지 혜택을 유지해야 합니다.,Isto cancelará a renovação de todos os pagamentos. Você deve manter benefícios até que não haja mais assinantes.,"Это отменит продление платежей. Вы должны сохранять льготы, пока не останется ни одного подписчика.",所有例行付款将会取消，你必须维持福利，直到没有订阅者为止。,所有例行付款将会取消，你必须维持福利，直到没有订阅者为止。,所有例行付款將會取消，您必須維持福利直到沒有訂閱者為止。
Studio.GameSettings.General.DevSubsCreationDate,Creation Date, ,Creation Date,Fecha de creación,Date de création,作成日,만든 날짜,Data de criação, ,创建时间,创建时间,建立日期
Studio.GameSettings.Places.PlaceVersion,Place Version, ,Place Version,Versión del lugar,Version emplacement,プレースのバージョン,플레이스 버전,Versão do local, ,场景版本,场景版本,地點版本
Studio.GameSettings.AccessPermissions.NoAccessLabel,No Access,Kein Zugang,No Access,Sin acceso,Aucun accès,アクセスできません,접근 불가,Sem acesso,Нет доступа,无法访问,无法访问,無法存取
Studio.GameSettings.Permissions.NoAccessLabel,No Access, ,No Access,Sin acceso,Pas d'accès,アクセスできません,액세스 권한 없음,Sem acesso, ,无法访问,无法访问,無存取權限
Studio.GameSettings.Monetization.PrivateServerSubscriptions,There are currently {numOfSubscriptions:int} Private Server Subscriptions active for this place., ,There are currently {numOfSubscriptions:int} Private Server Subscriptions active for this place.,"Actualmente, hay {numOfSubscriptions:int} suscripciones activas a Servidores privados para este lugar.",Il y a plus de {numOfSubscriptions:int} abonnements aux serveurs privés actifs pour cet emplacement en ce moment.,このプレースには現在、 有効なプライベートサーバーサブスクリプションが {numOfSubscriptions:int} 件のあります。,현재 이 플레이스에는 {numOfSubscriptions:int}건의 활성화된 비공개 서버 구독이 있습니다.,"No momento, há {numOfSubscriptions:int} assinaturas de servidores privados ativas para este local.", ,当前场景目前拥有 {numOfSubscriptions:int} 个活跃私人服务器订阅。,当前场景目前拥有 {numOfSubscriptions:int} 个活跃私人服务器订阅。,此地點目前有 {numOfSubscriptions:int} 個活躍私人伺服器訂閱。
Studio.GameSettings.AccessPermissions.PlayLabel,Play,Spielen,Play,Jugar,Jouer,プレイ,플레이,Jogar,Воспроизвести,开始游戏,开始游戏,開始
Studio.GameSettings.Permissions.PlayLabel,Play, ,Play,Jugar,Jouer,プレイ,플레이,Jogar, ,开始游戏,开始游戏,遊玩
Studio.GameSettings.General.JumpHeight,Jump Height:, ,Jump Height:,Altura del salto:,Hauteur de saut :,ジャンプの高さ:,점프 높이:,Altura do pulo:,Высота прыжка:,跳跃高度：,跳跃高度：,跳躍高度：
Studio.GameSettings.General.GravityWorkspaceGravity,Workspace Gravity:, ,Workspace Gravity:,Gravedad del espacio de trabajo:,Gravité de l'espace de travail :,ワークスペースの重力:,작업 공간 중력:,Gravidade da área de trabalho:,Гравитация рабочей области:,工作空间重力：,工作空间重力：,工作區重力：
Studio.GameSettings.AccessPermissions.AdminLabel,Manage,Verwalten,Manage,Gestionar,Gérer,管理する,관리,Gerenciar,Управление,管理,管理,管理
Studio.GameSettings.Permissions.AdminLabel,Manage, ,Manage,Gestionar,Gérer,管理する,관리,Gerenciar, ,管理,管理,管理
Studio.GameSettings.AccessPermissions.OwnerLabel,Owner,Besitzer,Owner,Propietario,Propriétaire,所有者,소유자,Proprietário,Владелец,所有者,所有者,主人
Studio.GameSettings.Permissions.OwnerLabel,Owner, ,Owner,Propietario,Propriétaire,所有者,소유자,Proprietário, ,所有者,所有者,主人
Studio.GameSettings.AccessPermissions.MultipleLabel,(Multiple),(Mehrere),(Multiple),(Múltiple),(Multiple),（複数）,（여러 항목）,(Múltiplo),(Множество),(多项),(多项),（多項）
Studio.GameSettings.Permissions.MultipleLabel,(Multiple), ,(Multiple),(Múltiple),(Multiple),（複数）,(다중),(Múltiplo), ,（多项）,（多项）,（多項）
Studio.GameSettings.General.ButtonSubmit,Submit, ,Submit,Enviar,Soumettre,送信,제출,Submit, ,提交,提交,提交
Studio.GameSettings.General.ScriptCollabWarning,Warning: The Team Create server needs to restart before this feature is disabled. The server will automatically restart once all editors have left the session. Any unsaved drafts will no longer be accessible until Collaborative Editing is re-enabled., ,Warning: The Team Create server needs to restart before this feature is disabled. The server will automatically restart once all editors have left the session. Any unsaved drafts will no longer be accessible until Collaborative Editing is re-enabled.,Advertencia: El servidor de Creación en equipo debe reiniciarse antes de desactivar esta función. El servidor se reiniciará automáticamente cuando todos los editores hayan abandonado la sesión. Los borradores no guardados no serán accesibles hasta que se vuelva a activar la edición colaborativa.,Avertissement : Le serveur Team Create doit être redémarré avant que cette fonction ne soit désactivée. Le serveur redémarre automatiquement lorsque tous les rédacteurs ont quitté la session. Les brouillons non sauvegardés ne seront plus accessibles jusqu'à ce que la fonction Collaborative Editing soit réactivée.,警告: チームクリエイトサーバーは、この機能を無効化できようにする前に再起動する必要があります。サーバーは、すべてのエディタがセッションから退出したら、自動的に再起動します。すべての未保存の下書きは共同編集が再有効化されるまでアクセスできません。,"경고: 이 기능을 비활성화하기 전에 팀 제작 서버를 다시 시작해야 합니다. 모든 편집자가 세션을 종료하면 서버가 자동으로 다시 시작됩니다. 공동 편집이 다시 활성화될 때까지, 저장되지 않은 초안에는 더 이상 액세스할 수 없습니다.",Aviso: O servidor da Criação em equipe precisa reiniciar para que esta funcionalidade seja desativada. O servidor reiniciará automaticamente quando todos os editores saírem da sessão. Qualquer rascunho não salvo não será mais acessível até que a edição colaborativa seja reativada., ,警告：停用此功能必须重启组队创作服务器。所有编辑者退出创作后，服务器会自动重启。共同编辑重新启用前将无法读取未保存的草稿。,警告：停用此功能必须重启组队创作服务器。所有编辑者退出创作后，服务器会自动重启。共同编辑重新启用前将无法读取未保存的草稿。,警告：停用此功能前必須重新啟動團隊創作伺服器。所有編輯者退出作業後，伺服器將會自動重新啟動。重新啟用共同編輯前將無法存取為儲存的草稿。
Studio.GameSettings.General.TitleGravity,Gravity, ,Gravity,Gravedad,Gravité,重力,중력,Gravidade,Гравитация,重力,重力,重力
Studio.GameSettings.AccessPermissions.NoAccessDescription,Cannot play or edit this game,Dieses Spiel kann nicht gespielt oder bearbeitet werden,Cannot play or edit this game,No se puede jugar a este juego o reproducirlo,Impossible de jouer ou de modifier ce jeu,このゲームをプレイしたり編集したりできません,이 게임을 플레이하거나 편집할 수 없음,Não pode jogar ou editar este jogo,Вы не можете воспроизводить или редактировать эту игру,无法玩此游戏，或对其进行编辑,无法玩此游戏，或对其进行编辑,無法遊玩或編輯此遊戲
Studio.GameSettings.Permissions.NoAccessDescription,Cannot play or edit this game, ,Cannot play or edit this game,No se puede jugar a este juego o editarlo,Impossible de jouer ou de modifier ce jeu,このゲームをプレイしたり編集したりできません,이 게임을 플레이하거나 편집할 수 없습니다,Não pode jogar ou editar este jogo, ,无法玩此游戏，或对其进行编辑,无法玩此游戏，或对其进行编辑,無法遊玩或編輯此遊戲
Studio.GameSettings.AccessPermissions.AdminDescription,"Can play, edit, and manage this game","Dieses Spiel kann gespielt, verwaltet und bearbeitet werden","Can play, edit, and manage this game","Puede jugar a este juego, editarlo y gestionarlo","Possible de jouer, de modifier et de gérer ce jeu",このゲームをプレイして、編集と管理ができます,"이 게임을 플레이, 편집, 관리할 수 있음","Pode jogar, editar e gerenciar este jogo","Вы можете играть, редактировать и управлять этой игрой",可以玩此游戏，或对其进行编辑与管理,可以玩此游戏，或对其进行编辑与管理,可遊玩、編輯及管理此遊戲
Studio.GameSettings.Permissions.AdminDescription,"Can play, edit, and manage this game", ,"Can play, edit, and manage this game","Puede jugar a este juego, editarlo y gestionarlo","Possible de jouer, de modifier et de gérer ce jeu",このゲームをプレイして、編集と管理ができます,"이 게임을 플레이, 편집, 관리할 수 있습니다","Pode jogar, editar e gerenciar este jogo", ,可以玩此游戏，或对其进行编辑与管理,可以玩此游戏，或对其进行编辑与管理,可遊玩、編輯及管理此遊戲
Studio.GameSettings.General.ButtonRetry,Retry, ,Retry,Reintentar,Réessayer,再試行,다시 시도,Tentar novamente, ,重试,重试,重試
Studio.GameSettings.General.ErrorNameDescModerated,Filtered to %s,Der Name und die Beschreibung wurden von unserer Moderation nicht zugelassen. Bitte überprüfe sie und versuche es erneut.,Filtered to %s,Moderado a %s,Filtré à %s,%s にフィルタ済み,다음과 같이 검열됨: %s,Filtrado para %s,Фильтр: %s,过滤为 %s,过滤为 %s,已過濾為 %s
Studio.GameSettings.General.TitleScriptCollab,Enable Collaborative Editing, ,Enable Collaborative Editing,Activar la edición colaborativa,Permettre les modifications collectives,共同編集を有効化,공동 편집 활성화,Permitir edição colaborativa,Включить совместное редактирование,启用协作编辑,启用协作编辑,啟用共同編輯
Studio.GameSettings.General.TitleJump,Jump, ,Jump,Salto,Sauter,ジャンプ,점프,Pular,Прыжок,跳跃,跳跃,跳躍
Studio.GameSettings.General.ShutdownDialogHeader,Shutdown all servers, ,Shutdown all servers,Cerrar todos los servidores,Fermer tous les serveurs,すべてのサーバーをシャットダウン,모든 서버 종료,Desligar todos os servidores, ,关闭所有服务器,关闭所有服务器,關閉所有伺服器
Studio.GameSettings.General.TitleWalk,Walk, ,Walk,Caminata,Marcher,歩行,걷기,Andar,Ходьба,行走,行走,步行
Studio.GameSettings.General.ButtonPublish,Publish, ,Publish,Publicar,Publier,公開,게시,Publicar, ,发布,发布,發布
Studio.GameSettings.General.TitleSlope,Slope, ,Slope,Pendiente,Pente,傾斜,경사,Ladeira,Уклон,斜坡,斜坡,斜坡
Studio.GameSettings.General.TitleCollaborators,Collaborators, ,Collaborators,Colaboradores,Collaborateurs,共同制作者,공동 작업자,Colaboradores,Участники совместной работы,协作者,协作者,合夥人
Studio.GameSettings.General.ScriptCollabDesc,Enable collaborative editing for scripts., ,Enable collaborative editing for scripts.,Activar la edición colaborativa para los scripts.,Activer les modifications en collaboration pour les scripts.,スクリプトの共同編集を有効化。,스크립트에 대한 공동 편집을 활성화합니다.,Permitir edição colaborativa para scripts.,Включить совместное редактирование скриптов,启用脚本协作编辑。,启用脚本协作编辑。,啟用指令碼的共同編輯功能。
Studio.GameSettings.Monetization.UnsavedDevProduct,(Not Saved), ,(Not Saved),(sin guardar),(Non sauvegardé),(未保存),(저장되지 않음),(Não salvo), ,（未保存）,（未保存）,（未儲存）
Studio.GameSettings.General.ErrorDevSubMaxPrice,Must be less than {maxRobuxAmount:int}, ,Must be less than {maxRobuxAmount:int},Debe ser inferior a {maxRobuxAmount:int},Doit être moins de {maxRobuxAmount:int},{maxRobuxAmount:int} 以下であることが必須です,{maxRobuxAmount:int} 이하여야 합니다.,Deve ser menos que {maxRobuxAmount:int},Значение не должно превышать {maxRobuxAmount:int},必须少于 {maxRobuxAmount:int},必须少于 {maxRobuxAmount:int},必須小於 {maxRobuxAmount:int}
Studio.GameSettings.Places.EditPlace,Edit Place, ,Edit Place,Editar lugar,Modifier emplacement,プレースを編集,플레이스 편집,Editar local, ,编辑场景,编辑场景,編輯地點
Studio.GameSettings.General.ErrorImageRequired,You must provide an image, ,You must provide an image,Debes proporcionar una imagen,Tu dois fournir une image,画像を提供しなければなりません,이미지를 제공해야 합니다,Você deve fornecer uma imagem,Требуется изображение,必须提供一个图像,必须提供一个图像,必須提供圖像
Studio.GameSettings.OptInLocations.ErrorEmailNotEqual,The emails you have entered do not match. Please try again., ,The emails you have entered do not match. Please try again.,Los correos electrónicos que introduciste no coinciden. Inténtalo de nuevo.,Les emails que tu as saisis ne correspondent pas. Réessayer.,入力したメールアドレスが一致しません。もう一度お試しください。,입력하신 이메일이 일치하지 않습니다. 다시 시도하세요.,Os e-mails fornecidos não conferem. Tente novamente., ,你输入的邮件地址不一致。请重试。,你输入的邮件地址不一致。请重试。,輸入的電子郵件地址不符，請重新嘗試。
Studio.GameSettings.General.ScaleSliderLabel,{number}%, ,{number}%,{number}%,{number}%,{number}%,{number}%,{number}%,{number}%,{number}%,{number}%,{number}%
Studio.GameSettings.General.ScaleSliderUnits,%, ,%,%,%,%,%,%,%,%,%,%
