Studio.App.PluginPermissionsDialog.Warning,,You can always revoke this permission from Plugins > Plugin Management.,You can always revoke this permission from Plugins > Plugin Management.
Studio.App.PluginWidgetRelay.RenderingFailed1,,"Adding plugin window failed with error: %1 
 Your plugin windows may not work correctly. Please close and reopen the place to restore plugin window functionality. If this problem persists, please contact Roblox customer support.","Adding plugin window failed with error: %1 
 Your plugin windows may not work correctly. Please close and reopen the place to restore plugin window functionality. If this problem persists, please contact Roblox customer support."
Studio.App.PopupImagePicker.Search,Displayed as a label in the popup image picker,Search:,Search:
Studio.App.PopupImagePicker.Url,Displayed as a label in the popup image picker,URL:,URL:
Studio.App.ProjectConfig.UnexpectedFieldWarning2,,"The Project File has unexpected fields, they will be ignored. 
%1 
%2","The Project File has unexpected fields, they will be ignored. 
%1 
%2"
Studio.App.Properites.AttributeCantStartWithRBX,,Can't start with 'RBX'.,Can't start with 'RBX'.
Studio.App.Properites.AttributeNameCantStartWithRBX,Displayed when editing and trying to add RBX at the beginning.,Attribute name can't start with 'RBX'.,Attribute name can't start with 'RBX'.
Studio.App.QtUtilities.DisabledDuringTesting,,Disabled during testing,Disabled during testing
Studio.App.QtUtilities.DontAskMeAgain,,Don't ask me again,Don't ask me again
Studio.App.RESTRICTED.QtUtilities.DisabledDuringTesting,,Disabled during testing,Disabled during testing
Studio.App.RESTRICTED.QtUtilities.DontAskMeAgain,,Don't ask me again,Don't ask me again
Studio.App.RbxWorkspace.PluginInstallationFailed,,Plugin Installation failed,Plugin Installation failed
Studio.App.RbxWorkspace.PluginModerationCheckFailed,,Plugin moderation check failed,Plugin moderation check failed
Studio.App.RbxWorkspace.PressOkForSnapshot,,"Press OK when you've positioned the camera, and are ready to take a snapshot.","Press OK when you've positioned the camera, and are ready to take a snapshot."
Studio.App.RbxWorkspace.Processing,,Processing...,Processing...
Studio.App.RbxWorkspace.SnapshotInProgress,,Snapshot in progress...,Snapshot in progress...
Studio.App.RbxWorkspace.TakeSnapshot,,Take Snapshot,Take Snapshot
Studio.App.RecentGamesPage.RecentGames,,Recent Games,Recent Games
Studio.App.RenderScheduler.DeprecatedDirect3D9,,"On August 16th, the Roblox application will require DirectX 10 or higher feature level support.

To keep using the Roblox application, please use a device that is compatible with Roblox’s system requirements.","On August 16th, the Roblox application will require DirectX 10 or higher feature level support.

To keep using the Roblox application, please use a device that is compatible with Roblox’s system requirements."
Studio.App.RenderScheduler.FailedCreateGameWindow,,Failed to Create Game Window.  A key file may have gotten Corrupted.  Please try to reInstall Roblox Studio.  If the issue persists make sure your drivers are up to date http://www.roblox.com/drivers or Contact Customer support,Failed to Create Game Window.  A key file may have gotten Corrupted.  Please try to reInstall Roblox Studio.  If the issue persists make sure your drivers are up to date http://www.roblox.com/drivers or Contact Customer support
Studio.App.RenderScheduler.FailedToBindToWorkspace,,Failed to Bind to Workspace. Please restart Studio in order to resolve the issue.,Failed to Bind to Workspace. Please restart Studio in order to resolve the issue.
Studio.App.RenderScheduler.NoRenderBackend,,"Your computer's graphics card is not compatible with Roblox's minimum system requirements.

Visit https://www.roblox.com/drivers for more information.","Your computer's graphics card is not compatible with Roblox's minimum system requirements.

Visit https://www.roblox.com/drivers for more information."
Studio.App.ResetLayoutSettingsText,,Resetting layout requires restarting Studio,Resetting layout requires restarting Studio
Studio.App.ResetLayoutSettingsTitle,,Reset Layout Settings,Reset Layout Settings
Studio.App.ResetModifiedProperty1,Menu action to reset a property to its default,Reset %1 to Default,Reset %1 to Default
Studio.App.Restart.RestartLater,restart studio later,Restart Later,Restart Later
Studio.App.Restart.RestartNow,restart studio right now,Restart,Restart
Studio.App.RibbonUpdatesBar.StudioNotifications,,Creator Notifications,Creator Notifications
Studio.App.RibbonUpdatesBar.StudioNotifications.ToolTip,,Receive important updates about your creations all in one place,Receive important updates about your creations all in one place
Studio.App.RibbonUpdatesBar.UpdateAvailableAction,,Update Available,Update Available
Studio.App.RibbonUpdatesBar.UpdateAvailableAction.Channel,,Channel update available,Channel update available
Studio.App.RibbonUpdatesBar.UpdateAvailableAction.Studio,,Update available,Update available
Studio.App.RibbonUpdatesBar.UpdateAvailableAction.Tooltip,,Studio will save all changes and restart,Studio will save all changes and restart
Studio.App.RibbonUpdatesBar.WhatsNewAction,,Notifications,Notifications
Studio.App.RibbonUpdatesBar.WhatsNewAction.ToolTip,,Click this button to see what's new with Studio and our developer community!,Click this button to see what's new with Studio and our developer community!
Studio.App.RobloxApplication.AbnormalTerminateMessage,,An unexpected error has occurred and Studio needs to quit. Please restart Studio or contact support if the problem persists.,An unexpected error has occurred and Studio needs to quit. Please restart Studio or contact support if the problem persists.
Studio.App.RobloxDiagnosticsView.HeaderLabelName,In performance,Name,Name
Studio.App.RobloxDiagnosticsView.HeaderLabelValue,In performance,Value,Value
Studio.App.RobloxDocManager.ApplyingScriptEdits,,Applying script edits...,Applying script edits...
Studio.App.RobloxDocManager.NoScriptChanges,,No script changes.,No script changes.
Studio.App.RobloxDocManager.NoToggleBetweenDMsWhilePaused,Explain why click through message doesn't work,You cannot open a script from one data model while debugger is paused on a different data model.,You cannot open a script from one data model while debugger is paused on a different data model.
Studio.App.RobloxDocManager.StartPage,,Start Page,Start Page
Studio.App.RobloxGameExplorer.LoadingElps,,Loading...,Loading...
Studio.App.RobloxGameExplorer.PublishToLoad,,Publish this place to load game data,Publish this place to load game data
Studio.App.RobloxGameExplorer.PublishToLoadClick,,Publish this place to load game data (double click here),Publish this place to load game data (double click here)
Studio.App.RobloxKeyboardConfig.ClearShortcut,,Clear Shortcut,Clear Shortcut
Studio.App.RobloxKeyboardConfigWidget.Description,,Description,Description
Studio.App.RobloxKeyboardConfigWidget.Name,,Name,Name
Studio.App.RobloxKeyboardConfigWidget.SearchActions,,Search Actions,Search Actions
Studio.App.RobloxKeyboardConfigWidget.Shortcut,,Shortcut,Shortcut
Studio.App.RobloxMouseConfig.ContextMenu,,Context Menu,Context Menu
Studio.App.RobloxMouseConfig.RightClick,,Right Click,Right Click
Studio.App.RobloxMouseConfig.RightClickAlt,,Right Click + Alt,Right Click + Alt
Studio.App.RobloxMouseConfig.RightClickCtrl,,Right Click + Ctrl,Right Click + Ctrl
Studio.App.RobloxMouseConfig.RightClickShift,,Right Click + Shift,Right Click + Shift
Studio.App.RobloxPropertiesWidget.FilterPlaceholder1,,Filter Properties %1,Filter Properties %1
Studio.App.RobloxPropertiesWidget.ItemCount1,,%1 items,%1 items
Studio.App.RobloxPropertiesWidget.ItemsCount2,,%1 - %2 items,%1 - %2 items
Studio.App.RobloxPropertiesWidget.ItemsCount3,,"%1 ""%2"" - %3 items","%1 ""%2"" - %3 items"
Studio.App.RobloxScriptDiffDoc.Diff.Accept,,Accept,Accept
Studio.App.RobloxScriptDiffDoc.Diff.Cancel,,Cancel,Cancel
Studio.App.RobloxScriptDiffDoc.Diff.Commit,,Commit,Commit
Studio.App.RobloxScriptDiffDoc.Diff.Text,,Review the changes and click '%1' to apply them to your script,Review the changes and click '%1' to apply them to your script
Studio.App.RobloxScriptDiffDoc.Diff1,This string serves as a tab title for a script diff view of a single script. The argument will be a script path/name.,%1 (Diff),%1 (Diff)
Studio.App.RobloxScriptDiffDoc.DiffResult,,Diff Result,Diff Result
Studio.App.RobloxScriptDiffDoc.MultipleDiffs1,This string serves as a tab title for a script diff view of multiple scripts. The argument will be a number indicating how many scripts are being diffed in this tab.,%1 Scripts (Diff),%1 Scripts (Diff)
Studio.App.RobloxScriptReview.HeaderLabelActivity,In script performance,Activity,Activity
Studio.App.RobloxScriptReview.HeaderLabelCount,In script performance,Count,Count
Studio.App.RobloxScriptReview.HeaderLabelName,In script performance,Name,Name
Studio.App.RobloxScriptReview.HeaderLabelRate,In script performance,Rate,Rate
Studio.App.RobloxSettingsDialog.ReopenForSettingsChanges,,Some of these setting changes will not take effect until you reopen the place file,Some of these setting changes will not take effect until you reopen the place file
Studio.App.RobloxSettingsDialog.ResetAllSettings,,Reset All Settings,Reset All Settings
Studio.App.RobloxSettingsDialog.ResetSettingsText,,Resetting settings will not take effect until you restart Roblox,Resetting settings will not take effect until you restart Roblox
Studio.App.RobloxSettingsDialog.ResetSettingsTitle,,Reset Settings,Reset Settings
Studio.App.RobloxSettingsDialog.RestartForSettingsChanges,,Some of these setting changes will not take effect until you restart Studio,Some of these setting changes will not take effect until you restart Studio
Studio.App.RobloxSettingsDialog.SaveChanges,,Save Changes,Save Changes
Studio.App.RobloxSettingsDialog.SettingsModificationWarning,,<p>Changing settings may make Roblox unstable.</p><p>We recommend that you don't change any non-Studio settings unless instructed to do so by a Roblox engineer.</p>,<p>Changing settings may make Roblox unstable.</p><p>We recommend that you don't change any non-Studio settings unless instructed to do so by a Roblox engineer.</p>
Studio.App.RobloxSettingsDialog.SettingsSearch,,Search...,Search...
Studio.App.RobloxStudio.BelowMinSpec,The message to be shown when user's machine is below Studio minimum requirements.,"Your system is below the minimum requirements. To keep using the Roblox Studio, please use a device that meets the minimum requirements.","Your system is below the minimum requirements. To keep using the Roblox Studio, please use a device that meets the minimum requirements."
Studio.App.RobloxStudio.ChannelOutOfDateReinstall1,,"This is an expired channel build. To move back to latest production Roblox Studio, please close all instances, unenroll your user from the channel, and reinstall from %1","This is an expired channel build. To move back to latest production Roblox Studio, please close all instances, unenroll your user from the channel, and reinstall from %1"
Studio.App.RobloxStudio.FailToLoadRequiredDLLs1,,Failed to locate some required DLLs. Please close all instances and reinstall Roblox Studio from %1,Failed to locate some required DLLs. Please close all instances and reinstall Roblox Studio from %1
Studio.App.RobloxStudio.OutOfDateReinstall1,,The version of Roblox Studio is out of date. Please close all instances and reinstall from %1,The version of Roblox Studio is out of date. Please close all instances and reinstall from %1
Studio.App.RobloxTaskScheduler.HeaderLabelActivity,In task scheduler,Activity,Activity
Studio.App.RobloxTaskScheduler.HeaderLabelName,In task scheduler,Name,Name
Studio.App.RobloxTaskScheduler.HeaderLabelRate,In task scheduler,Rate,Rate
Studio.App.RobloxTaskScheduler.HeaderLabelTime,In task scheduler,Time,Time
Studio.App.RobloxTeamCreateWidget.DeleteUser,,Delete User,Delete User
Studio.App.RobloxTeamCreateWidget.GroupOwnedPlace,,Group owned place,Group owned place
Studio.App.RobloxTeamCreateWidget.TeamCreateDisabled,,Team Create in this game is disabled. Please enable Team Create to add editors to your place.,Team Create in this game is disabled. Please enable Team Create to add editors to your place.
Studio.App.RobloxTeamCreateWidget.TeamCreateOptions,,Team Create Options,Team Create Options
Studio.App.RobloxTeamCreateWidget.TurnOffTeamCreate,,Turn OFF Team Create,Turn OFF Team Create
Studio.App.RobloxTutorials.CopyText,,Build amazing games with Roblox Studio. No experience necessary!,Build amazing games with Roblox Studio. No experience necessary!
Studio.App.RobloxTutorials.LearnNow,,Learn now,Learn now
Studio.App.RobloxViewStudio.ExitUiLayer,,Exit UI Layer,Exit UI Layer
Studio.App.RobloxViewStudio.SelectUILayer1,,"Select UI Layer ""%1""","Select UI Layer ""%1"""
Studio.App.RobloxViewStudio.SelectUiLayer,,Select UI Layer,Select UI Layer
Studio.App.RobloxViewStudio.UseLocalSpace,,Use Local Space,Use Local Space
Studio.App.RobloxViewStudio.UseWorldSpace,,Use World Space,Use World Space
Studio.App.RobloxWebDocWidget.Address,,Address,Address
Studio.App.RobloxWebDocWidget.GoBack,,Go Back,Go Back
Studio.App.RobloxWebDocWidget.GoForward,,Go Forward,Go Forward
Studio.App.RotateGridSettings.RotateGridSize,The title of the setting for the size (in degrees) of the angle that rotating object will snap to. Default is 90deg but can be any value between 1 and 360,Rotate Grid Size,Rotate Grid Size
Studio.App.SandboxLocalCache.DialogTitle,,Drafts Local Cache,Drafts Local Cache
Studio.App.SandboxLocalCache.MetaDataCorruptedMessage,,"Can't restore drafts information, metadata corrupted","Can't restore drafts information, metadata corrupted"
Studio.App.SandboxLocalCache.MetaDataFilesCorruptedMessage,,"Can't restore some of the drafts information

Metadata files corrupted:","Can't restore some of the drafts information

Metadata files corrupted:"
Studio.App.SandboxLocalCache.SourcesMissingCorruptedMessage,,"Unable to restore some of the drafts.

Files are missing or corrupted:","Unable to restore some of the drafts.

Files are missing or corrupted:"
Studio.App.SandboxWidget.Revert,,Revert,Revert
Studio.App.SandboxWidget.SelectAndOpenScript,,Select and open script,Select and open script
Studio.App.SandboxWidget.Submit,,Submit,Submit
Studio.App.SandboxWidget.Update,,Update,Update
Studio.App.SandboxWidget.ViewDiff,,View Diff,View Diff
Studio.App.ScriptAnalysisWidget.DisplayOnlyCurrentScript,,Display only current script,Display only current script
Studio.App.ScriptAnalysisWidget.ErrorDisplayToggle,,Toggle lint error display,Toggle lint error display
Studio.App.ScriptAnalysisWidget.NumErrorsTextFmt2,,%1 of %2 Errors,%1 of %2 Errors
Studio.App.ScriptAnalysisWidget.NumHintsTextFmt2,,%1 of %2 Hints,%1 of %2 Hints
Studio.App.ScriptAnalysisWidget.NumInformationTextFmt2,,%1 of %2 Information,%1 of %2 Information
Studio.App.ScriptAnalysisWidget.NumWarningsTextFmt2,,%1 of %2 Warnings,%1 of %2 Warnings
Studio.App.ScriptAnalysisWidget.WarningDisplayToggle,,Toggle lint warning display,Toggle lint warning display
Studio.App.ScriptComboBox.RunACommand,,Run a command,Run a command
Studio.App.ScriptCommandHandler.OpenScriptFile,,Open Script File,Open Script File
Studio.App.ScriptDocument.DeletedPrefix,,[DELETED] ,[DELETED] 
Studio.App.ScriptDocument.DisabledPrefix,,[Disabled] ,[Disabled] 
Studio.App.ScriptDocument.EditingSuffixFmt1,, (%1 Editing), (%1 Editing)
Studio.App.ScriptInjection.DeniedError,,"Plugin ""%1"" was denied script injection permission. You can grant this permission in the Plugin Manager.","Plugin ""%1"" was denied script injection permission. You can grant this permission in the Plugin Manager."
Studio.App.ScriptInjection.FirstDeniedError,,"Plugin ""%1"" was denied script injection permission. The user has been prompted for future attempts.","Plugin ""%1"" was denied script injection permission. The user has been prompted for future attempts."
Studio.App.ScriptPickerDialog.AlreadyTaken,,Name already taken (not case sensitive),Name already taken (not case sensitive)
Studio.App.ScriptPickerDialog.CanNotBeEmpty,,Name cannot be empty,Name cannot be empty
Studio.App.ScriptPickerDialog.CreateNewLinkedsource,,Create new LinkedSource,Create new LinkedSource
Studio.App.ScriptPickerDialog.LinkedsourceDescriptionLabel,,"LinkedSources can be referenced by scripts in your game, allowing you to update all of them at the same time.","LinkedSources can be referenced by scripts in your game, allowing you to update all of them at the same time."
Studio.App.ScriptRecoveryWidget.ErrorRecovering,,Errors occurred while automatically recovering scripts.,Errors occurred while automatically recovering scripts.
Studio.App.ScriptRecoveryWidget.ErrorRemovedFromWorksapce,,Unable to perform diff because this script has been removed from Workspace.,Unable to perform diff because this script has been removed from Workspace.
Studio.App.ScriptRecoveryWidget.ErrorWriting,,Issue with writing script autosave,Issue with writing script autosave
Studio.App.ScriptRecoveryWidget.InitialWarning,,"You were disconnected from the last Team Create session without saving your scripts.
Some of those scripts have either been changed or are currently being edited by another user.
Please see the Script Recovery Widget to resolve these files. ","You were disconnected from the last Team Create session without saving your scripts.
Some of those scripts have either been changed or are currently being edited by another user.
Please see the Script Recovery Widget to resolve these files. "
Studio.App.ScriptRecoveryWidget.OpenFile,,Open file,Open file
Studio.App.ScriptRecoveryWidget.ScriptNoLongerExists,,Script no longer exists,Script no longer exists
Studio.App.ScriptRecoveryWidget.SelectAndOpenScript,,Select and open script,Select and open script
Studio.App.ScriptRecoveryWidget.ViewDiff,,View Diff,View Diff
Studio.App.ScriptResourceController.ConfirmPublishChanges,,Are you sure you want to publish your changes?,Are you sure you want to publish your changes?
Studio.App.ScriptResourceController.ConfirmWillDestroyChanges,,This will destroy all local changes you have made. Are you sure?,This will destroy all local changes you have made. Are you sure?
Studio.App.ScriptSetting.AlwaysSave,,Always Save,Always Save
Studio.App.ScriptSetting.KeepTheseChanges,,You've made script changes while playing.  Would you like to keep these changes?,You've made script changes while playing.  Would you like to keep these changes?
Studio.App.ScriptTextEditor.FilterText,,  Type to filter functions. Tab or Enter to go to selected function,  Type to filter functions. Tab or Enter to go to selected function
Studio.App.ScriptingHostAppServices.NoSuggestionReceivedServerError1,,No code suggestion received. Server Error code: %1.,No code suggestion received. Server Error code: %1.
Studio.App.ScriptingHostAppServices.ResponseChatFiltered,,No code suggestion received. Response was caught by the text filter.,No code suggestion received. Response was caught by the text filter.
Studio.App.ScriptingHostAppServices.TooManyRequests,"Too many requests, please try again later.","Too many requests, please try again later.","Too many requests, please try again later."
Studio.App.ScriptingHostAppServices.UsageExceeded,,Daily AI Code completion usage exceeded. Please try again tomorrow.,Daily AI Code completion usage exceeded. Please try again tomorrow.
Studio.App.ScriptsInBatchDialog.FailedToLoadDataErrorMessage,,Failed to load data. Please close this dialog and try again.,Failed to load data. Please close this dialog and try again.
Studio.App.ScriptsInBatchDialog.ScriptSectionHeader,,Script,Script
Studio.App.ScriptsInBatchDialog.Title,,Scripts In Batch,Scripts In Batch
Studio.App.ScriptsInBatchDialog.VersionSectionHeader,,Version,Version
Studio.App.Settings.FolderSelectionDialogTitle,,Select folder to save Roblox documents,Select folder to save Roblox documents
Studio.App.Settings.SelectDocumentsFolder,,Select folder to save Roblox documents,Select folder to save Roblox documents
Studio.App.Settings.SelectFolderMessageBoxText,,"Need a location to store local files.
Do you want to pick a file path now?","Need a location to store local files.
Do you want to pick a file path now?"
Studio.App.Shapes.CornerWedge,,Corner Wedge,Corner Wedge
Studio.App.Shapes.Cylinder,,Cylinder,Cylinder
Studio.App.Shapes.Sphere,,Sphere,Sphere
Studio.App.ShareModal.By1,,By %1,By %1
Studio.App.ShareModal.CopyLink,,Copy Link,Copy Link
Studio.App.ShareModal.Failed,,Failed,Failed
Studio.App.ShareModal.LinkCopied,,Link Copied,Link Copied
Studio.App.ShareModal.SearchPlaceholderText,,Search for friends,Search for friends
Studio.App.ShareModal.ShareGame,,Share Game,Share Game
Studio.App.ShareModal.ShareWithRobloxFriends,,Share with Roblox Friends,Share with Roblox Friends
Studio.App.ShareModal.Shared,,Shared,Shared
Studio.App.ShareModalController.CheckOutMyGame,,Check out my game!,Check out my game!
Studio.App.ShareModalController.CheckOutThisGame,,Check out this game!,Check out this game!
Studio.App.ShareModalController.Offline,,Offline,Offline
Studio.App.ShareModalController.Online,,Online,Online
Studio.App.ShareModalInfoBox.MakeGamePublicToShare,,Make your game public to share it,Make your game public to share it
Studio.App.SnippetVerifier.PackDespTooLongFmt2,,"Snippet pack description (%1) is too long, shouldn't be longer than %2","Snippet pack description (%1) is too long, shouldn't be longer than %2"
Studio.App.SnippetVerifier.PackNameTooLongFmt2,,"Snippet pack name (%1) is too long, shouldn't be longer than %2","Snippet pack name (%1) is too long, shouldn't be longer than %2"
Studio.App.SnippetVerifier.SnippetDespTooLongFmt2,,"Snippet description (%1) is too long, shouldn't be longer than %2","Snippet description (%1) is too long, shouldn't be longer than %2"
Studio.App.SnippetVerifier.SnippetIdTooLongFmt2,,"Snippet name (%1) is too long, shouldn't be longer than %2","Snippet name (%1) is too long, shouldn't be longer than %2"
Studio.App.SnippetVerifier.SnippetPrefixInvalidCharFmt1,,"Invalid character in prefix (%1), it can only be  '_', number, or letter.","Invalid character in prefix (%1), it can only be  '_', number, or letter."
Studio.App.SnippetVerifier.SnippetPrefixTooLongFmt2,,"Snippet prefix (%1) is too long, shouldn't be longer than %2","Snippet prefix (%1) is too long, shouldn't be longer than %2"
Studio.App.SplineEditor.Envelope,,Envelope,Envelope
Studio.App.SplineEditor.Time,,Time,Time
Studio.App.StartPageDocumentPanel.StartPage,,Start Page,Start Page
Studio.App.Studio.App.OSVersionWarning.MacOS1010,,Beginning in October 2020 we will be discontinuing support for MacOS 10.10. Please upgrade to MacOS 10.11+ to continue to use Roblox Studio.,Beginning in October 2020 we will be discontinuing support for MacOS 10.10. Please upgrade to MacOS 10.11+ to continue to use Roblox Studio.
Studio.App.StudioCmdService.PermissionError3,,"The current identity (%1) cannot execute command (%2), lacking permission (%3)
","The current identity (%1) cannot execute command (%2), lacking permission (%3)
"
Studio.App.StudioDataModelLoadUtil.ErrorCannotOpenTCPlaceDueToCancellation,,Failed to open the team create place due to cancellation,Failed to open the team create place due to cancellation
Studio.App.StudioDataModelLoadUtil.ErrorCannotOpenTCPlaceDueToConflictGlobal,,Global Studio does not support joining a TeamCreate session with a Luobu Studio developer. Please download Luobu Studio to use TeamCreate together: www.robloxdev.cn,Global Studio does not support joining a TeamCreate session with a Luobu Studio developer. Please download Luobu Studio to use TeamCreate together: www.robloxdev.cn
Studio.App.StudioDataModelLoadUtil.ErrorCannotOpenTCPlaceDueToConflictLuobu,,Luobu Studio does not support joining a TeamCreate session with a global Studio developer. Please ask your teammates to download Loubu Studio to use TeamCreate together: www.robloxdev.cn,Luobu Studio does not support joining a TeamCreate session with a global Studio developer. Please ask your teammates to download Loubu Studio to use TeamCreate together: www.robloxdev.cn
Studio.App.StudioDataModelLoadUtil.ErrorCannotOpenTCPlaceDueToTimeout,,Failed to open the team create place due to timeout,Failed to open the team create place due to timeout
Studio.App.StudioDataModelLoadUtil.ErrorCannotOpenTCPlaceDueToVersionConflictGlobal,,Global Studio does not support joining a TeamCreate session with a Luobu Studio developer. Please download Luobu Studio to use TeamCreate together: www.robloxdev.cn,Global Studio does not support joining a TeamCreate session with a Luobu Studio developer. Please download Luobu Studio to use TeamCreate together: www.robloxdev.cn
Studio.App.StudioDataModelLoadUtil.ErrorCannotOpenTCPlaceDueToVersionConflictLuobu,,Luobu Studio does not support joining a TeamCreate session with a global Studio developer. Please ask your teammates to download Loubu Studio to use TeamCreate together: www.robloxdev.cn,Luobu Studio does not support joining a TeamCreate session with a global Studio developer. Please ask your teammates to download Loubu Studio to use TeamCreate together: www.robloxdev.cn
Studio.App.StudioDataModelLoadUtil.ErrorCannotOpenTCPlaceGeneral,,"Failed to open the team create place, please try again","Failed to open the team create place, please try again"
Studio.App.StudioDataModelLoadUtil.ErrorCannotOpenTCPlaceWithErrorCode1,"NOTE TO LOCALIZERS: Do not translate the parentheses (), whatever is inside the parentheses, or any other special characters, use ASCII instead.","Failed to open the team create place, please try again. (Error Code: %1)","Failed to open the team create place, please try again. (Error Code: %1)"
Studio.App.StudioDeviceEmulatorService.CannotChangeEmulationDevice,,Can't set emulation device in current game state.,Can't set emulation device in current game state.
Studio.App.StudioDeviceEmulatorService.InvalidOrientation1,,Can't set orientation to '%1'.,Can't set orientation to '%1'.
Studio.App.StudioDeviceEmulatorService.NonExistantDeviceId1,,Device ID '%1' doesn't exist.,Device ID '%1' doesn't exist.
Studio.App.StudioPackageManager.PackageScriptDocMessage,,This script is part of a package. <a href='unlinkpackage://asset'>Click here</a> to modify.,This script is part of a package. <a href='unlinkpackage://asset'>Click here</a> to modify.
Studio.App.StudioPackageManager.PackageUnlinkConfirmation,,Modifying packages disables auto-update until you publish or revert the changes,Modifying packages disables auto-update until you publish or revert the changes
Studio.App.StudioPackageManager.PackageUnlinkManyConfirmation1,%1 is a small number typically 2 or 3.,Making edits to %1 packages. You will not be able to update those packages until the edits are published or reverted.,Making edits to %1 packages. You will not be able to update those packages until the edits are published or reverted.
Studio.App.StudioPackageManager.PackageUnlinkOneConfirmation,,Making edits to this package will disable the ability to update it until those edits have been published or reverted.,Making edits to this package will disable the ability to update it until those edits have been published or reverted.
Studio.App.StudioPackageManager.PackageUnlinkRevertButton,"The user modified a package, and we told them that this will have consequences. We're offering them a chance to avoid this by clicking a button and reverting the changes.",Revert Changes,Revert Changes
Studio.App.StudioPackageManager.ReadOnlyScriptDocMessage,,This script is read-only as it is part of a package. <a href='unlinkpackage://asset'>Click here</a> to unlink the package.,This script is read-only as it is part of a package. <a href='unlinkpackage://asset'>Click here</a> to unlink the package.
Studio.App.StudioProjectConfig.UnexpectedFieldWarning2,,"The Project File has unexpected fields, they will be ignored. 
%1 
%2","The Project File has unexpected fields, they will be ignored. 
%1 
%2"
Studio.App.StudioScriptEditor.AICOLegalToast,,"<a href='#'>AI coding is available</a>, agree to the terms and conditions to try it out!","<a href='#'>AI coding is available</a>, agree to the terms and conditions to try it out!"
Studio.App.StudioScriptEditor.LiveScriptingBannerDisabled,,"A collaborator has disabled LiveScripting after the server was started. To apply, all collaborators must leave the session so the server can restart. ","A collaborator has disabled LiveScripting after the server was started. To apply, all collaborators must leave the session so the server can restart. "
Studio.App.StudioScriptEditor.LiveScriptingBannerEnabled,,"A collaborator has enabled LiveScripting after the server was started. To apply, all collaborators must leave the session so the server can restart. ","A collaborator has enabled LiveScripting after the server was started. To apply, all collaborators must leave the session so the server can restart. "
Studio.App.StudioScriptEditor.LiveScriptingEnableInDraftMode,,"LiveScripting doesn't work in Draft mode. If you want to try LiveScripting, please turn off Draft mode. <a href='#'>Learn more</a>","LiveScripting doesn't work in Draft mode. If you want to try LiveScripting, please turn off Draft mode. <a href='#'>Learn more</a>"
Studio.App.StudioScriptEditor.LiveScriptingServerDefaultEnabled,,This place has been enrolled in the LiveScripting Beta. Now you can code with your team at the same time! <a href='#'>Learn more</a>,This place has been enrolled in the LiveScripting Beta. Now you can code with your team at the same time! <a href='#'>Learn more</a>
Studio.App.StudioScriptEditor.PerformanceBanner,,We have disabled some language features because this script is too long and it's affecting system performance. You can change this in Settings,We have disabled some language features because this script is too long and it's affecting system performance. You can change this in Settings
Studio.App.StudioScriptEditor.WaitingRemoteEvent,,Script Editor's read-only due to an unstable connection; it'll be editable again once stable.,Script Editor's read-only due to an unstable connection; it'll be editable again once stable.
Studio.App.StudioSerializerHelper.ErrorSavingFile2,,Error saving file '%1' - %2,Error saving file '%1' - %2
Studio.App.StudioServiceHost.ConvertToPackageFailed,,Convert to package failed.,Convert to package failed.
Studio.App.StudioUtilities.CannotInsertAtThisTime,,Can't insert at this time.,Can't insert at this time.
Studio.App.StudioUtilities.InsertInstanceFailed,,Insert instance failed.,Insert instance failed.
Studio.App.StudioUtilities.LogInRequired,,Log in required,Log in required
Studio.App.StudioUtilities.UnableToOpenCorruptedModel1,,"Unable to open model ""%1"". The file is corrupted.","Unable to open model ""%1"". The file is corrupted."
Studio.App.StudioUtilities.YouMustLogInToPerformThisAction,,You must log in to perform this action!,You must log in to perform this action!
Studio.App.TabTooltip.ReplaceTooltipText,,"Replace tooltip text by
setting text property","Replace tooltip text by
setting text property"
Studio.App.TeamCreateActivePlayersDialog.PlayerID1,String for Player ID,Player ID: '%1',Player ID: '%1'
Studio.App.TeamCreateActivePlayersDialog.TopLabelText1,Display this message to inform user about the ongoing active team create session,Place '%1' currently has an active Team Create Session with other users. The following users will need to close their session in order to proceed with this operation,Place '%1' currently has an active Team Create Session with other users. The following users will need to close their session in order to proceed with this operation
Studio.App.TeamCreateActivePlayersDialog.UnableToRetrieveUsernames1,Error message on fetching failure,"Unable to retrieve usernames.
Additional Info: '%1'","Unable to retrieve usernames.
Additional Info: '%1'"
Studio.App.TeamCreateActivePlayersDialog.UnexpectedDataFormat,Display this message when fetched result has unexpected format,Unexpected data format.,Unexpected data format.
Studio.App.TeamCreateActivePlayersDialog.UsernameField,Username field,User Name,User Name
Studio.App.TeamCreateConnectionDialog.YouHaveLostConnectionToTheServer,,You have lost connection to the server. Trying to reconnect...<br><br>Recent copy of the place has been saved. <a href='openautosave://file'>Click here</a> to open the saved place.,You have lost connection to the server. Trying to reconnect...<br><br>Recent copy of the place has been saved. <a href='openautosave://file'>Click here</a> to open the saved place.
Studio.App.TeamCreateJoinMessage.NewConnected,Team Create Join Message,You have connected to the server.,You have connected to the server.
Studio.App.TeamCreateJoinMessage.NewConnecting,Team Create Join Message,Connecting to server...,Connecting to server...
Studio.App.TeamCreateJoinMessage.Reconnected,Team Create Join Message,You have reconnected to the server.,You have reconnected to the server.
