Key,Context,Example,Source,de,en-us,es,es-es,fr,id,it,ja,ko,pt,pt-br,ru,th-th,zh-cn,zh-tw,zh-cjv,pl,vi,tr,ar
Feature.SettingsHub.ReportSubmitted.Label.MuteAndBlockWarning,,,You and {Player} will not longer be able to communicate with each other.,Du und {Player} werden nicht mehr miteinander kommunizieren können.,You and {Player} will not longer be able to communicate with each other.,Tú y {Player} ya no podrán comunicarse.,Tú y {Player} ya no podrán comunicarse.,Toi et {Player} ne pourrez plus communiquer les uns avec les autres.,Kamu dan {Player} (@) tidak akan lagi dapat berkomunikasi satu sama lain.,Tu e {Player} non potrete più comunicare tra di voi.,あなたと {Player} さんは、お互いにやりとりすることができなくなりました。,{Player} 님과는 더 이상 소통할 수 없게 됩니다.,Você e {Player} não poderão mais se comunicar.,Você e {Player} não poderão mais se comunicar.,Ты и {Player} больше не сможете общаться.,คุณและ {Player} จะไม่สามารถสื่อสารกันได้อีกต่อไป,你和“{Player} ”将无法互相交流。,您和 {Player} 將無法互相交流。,你和“{Player} ”将无法互相交流。,Ty i gracz {Player} utracicie możliwość wzajemnej komunikacji.,Bạn và {Player} sẽ không liên lạc được với nhau nữa.,Sen ve {Player} artık birbirinizle iletişim kuramayacaksınız.,لن تتمكن أنت و {Player} من التواصل مع بعضكما بعد الآن.
Feature.SettingsHub.ReportSubmitted.MutePlayerDisplayName,,,Mute {DisplayName}(@{Username})?,{DisplayName}(@{Username}) stummschalten?,Mute {DisplayName}(@{Username})?,¿Silenciar a {DisplayName}(@{Username})?,¿Silenciar a {DisplayName}(@{Username})?,Mettre en sourdine {DisplayName}(@{Username}) ?,Bisukan {DisplayName}(@{Username})?,Silenzia {DisplayName}(@{Username})?,{DisplayName}(@{Username}) さんをミュートしますか？,{DisplayName}(@{Username}) 님을 음소거할까요?,Silenciar {DisplayName}(@{Username})?,Silenciar {DisplayName}(@{Username})?,Отключить звук: {DisplayName}(@{Username})?,ต้องการปิดเสียง {DisplayName}(@{Username}) หรือไม่?,将“{DisplayName}（@{Username}）”静音？,靜音 {DisplayName}（@{Username}）？,将“{DisplayName}（@{Username}）”静音？,Wyciszyć użytkownika {DisplayName} (@{Username})?,Tắt Tiếng {DisplayName}(@{Username})?,{DisplayName} (@{Username}) sessize alınsın mı?,كتم صوت {DisplayName}(@{Username})؟
Feature.SettingsHub.ReportSubmitted.BlockPlayerDisplayName,,,Block {DisplayName}(@{Username})?,{DisplayName}(@{Username}) blockieren?,Block {DisplayName}(@{Username})?,¿Bloquear a {DisplayName}(@{Username})?,¿Bloquear a {DisplayName}(@{Username})?,Bloquer {DisplayName}(@{Username}) ?,Blokir {DisplayName}(@{Username})?,Blocca {DisplayName} (@{Username})?,{DisplayName} (@{Username}) さんをブロックしますか？,{DisplayName}(@{Username}) 님을 차단할까요?,Bloquear {DisplayName}(@{Username})?,Bloquear {DisplayName}(@{Username})?,Заблокировать: {DisplayName} (@{Username})?,ต้องการบล็อค {DisplayName}(@{Username}) หรือไม่?,将“{DisplayName}（@{Username}）”屏蔽？,封鎖 {DisplayName}（@{Username}）？,将“{DisplayName}（@{Username}）”屏蔽？,Zablokować użytkownika {DisplayName} (@{Username})?,Chặn {DisplayName}(@{Username})?,{DisplayName} (@{Username}) engellensin mi?,حظر {DisplayName} (@{Username})؟
Feature.SettingsHub.ReportSubmitted.MuteAndBlockWarning,,,You and {DisplayName}(@{Username}) will not longer be able to communicate with each other.,Du und {DisplayName}(@{Username}) werdet nicht mehr miteinander kommunizieren können.,You and {DisplayName}(@{Username}) will not longer be able to communicate with each other.,Tú y {DisplayName}(@{Username}) ya no podrán comunicarse.,Tú y {DisplayName}(@{Username}) ya no podrán comunicarse.,Toi et {DisplayName}(@{Username}) ne pourrez plus communiquer les uns avec les autres.,Kamu dan {DisplayName}(@{Username}) tidak akan lagi dapat berkomunikasi satu sama lain.,Tu e {DisplayName} (@{Username}) non potrete più comunicare tra di voi.,あなたと {DisplayName} (@{Username}) さんは、お互いにやりとりすることができなくなりました。,이제 {DisplayName}(@{Username}) 님과는 더 이상 소통할 수 없게 됩니다.,Você e {DisplayName} (@{Username}) não poderão mais se comunicar.,Você e {DisplayName} (@{Username}) não poderão mais se comunicar.,Ты и {DisplayName} (@{Username}) больше не сможете общаться друг с другом.,คุณและ {DisplayName}(@{Username}) จะไม่สามารถสื่อสารกันได้อีกต่อไป,你和“{DisplayName}（@{Username}）”将无法和彼此沟通。,您和 {DisplayName}（@{Username}）將無法互相交流。,你和“{DisplayName}（@{Username}）”将无法和彼此沟通。,Ty i użytkownik {DisplayName} (@{Username}) utracicie możliwość wzajemnej komunikacji.,Bạn và {DisplayName} (@{Username}) sẽ không liên lạc được với nhau nữa.,Sen ve {DisplayName} (@{Username}) artık birbirinizle iletişim kuramayacaksınız.,لن تتمكن أنت و {DisplayName} (@{Username}) من التواصل مع بعضكما بعد الآن.
Feature.SettingsHub.ReportSubmitted.MutedAndBlocked,,,You have blocked and muted {Displayname}(@{Username}),Du hast {Displayname}(@{Username}) blockiert und stummgeschaltet,You have blocked and muted {Displayname}(@{Username}),Bloqueaste y silenciaste a {Displayname}(@{Username}),Bloqueaste y silenciaste a {Displayname}(@{Username}),Tu as bloqué et mis en sourdine {Displayname}(@{Username}),Kamu telah memblokir dan membisukan {Displayname}(@{Username}),Hai bloccato e silenziato {Displayname}(@{Username}),{Displayname} (@{Username}) さんをブロックしてミュートしました,{Displayname}(@{Username}) 님을 차단하고 음소거했습니다.,Você bloqueou e silenciou {Displayname}(@{Username}),Você bloqueou e silenciou {Displayname}(@{Username}),Ты блокируешь и отключаешь звук: {Displayname}(@{Username}),คุณได้บล็อคและปิดเสียง {Displayname}(@{Username}) แล้ว,,您已封鎖並靜音 {Displayname}（@{Username}）,您已封鎖並靜音 {Displayname}（@{Username}）,Użytkownik {Displayname} (@{Username}) został przez ciebie zablokowany i wyciszony,Bạn đã chặn và tắt tiếng {Displayname} (@{Username}),{Displayname} (@{Username}) adlı kullanıcıyı sessize aldın ve engelledin,لقد حظرتَ وكتمت {Displayname}(@{Username})
Feature.SettingsHub.ReportSubmitted.Muted,,,You have muted {Displayname}(@{Username}),Du hast {Displayname}(@{Username}) stummgeschaltet,You have muted {Displayname}(@{Username}),Silenciaste a {Displayname}(@{Username}),Silenciaste a {Displayname}(@{Username}),Tu as mis en sourdine {Displayname}(@{Username}),Kamu telah membisukan {Displayname}(@{Username}),Hai silenziato {Displayname}(@{Username}),{Displayname} (@{Username}) さんをミュートしました,{Displayname}(@{Username}) 님을 음소거했습니다.,Você silenciou {Displayname}(@{Username}),Você silenciou {Displayname}(@{Username}),Ты отключаешь звук: {Displayname}(@{Username}),คุณได้ปิดเสียง {Displayname}(@{Username}) แล้ว,,您已靜音 {Displayname}（@{Username}）,您已靜音 {Displayname}（@{Username}）,Użytkownik {Displayname} (@{Username}) został przez ciebie wyciszony,Bạn đã tắt tiếng {Displayname} (@{Username}),{Displayname} (@{Username}) adlı kullanıcıyı sessize aldın,أنتَ كتمت {Displayname}(@{Username})
Feature.SettingsHub.ReportSubmitted.Blocked,,,You have blocked {Displayname}(@{Username}),Du hast {Displayname}(@{Username}) blockiert,You have blocked {Displayname}(@{Username}),Bloqueaste a {Displayname}(@{Username}),Bloqueaste a {Displayname}(@{Username}),Tu as bloqué {Displayname}(@{Username}),Kamu telah memblokir {Displayname}(@{Username}),Hai bloccato {Displayname} (@{Username}),{Displayname} (@{Username}) さんをブロックしました,{Displayname}(@{Username}) 님을 차단했습니다.,Você bloqueou {Displayname}(@{Username}),Você bloqueou {Displayname}(@{Username}),Ты блокируешь: {Displayname}(@{Username}),คุณได้บล็อค {Displayname}(@{Username}) แล้ว,,您已封鎖 {Displayname}（@{Username}）,您已封鎖 {Displayname}（@{Username}）,Użytkownik {Displayname} (@{Username}) został przez ciebie zablokowany,Bạn đã chặn {Displayname} (@{Username}),{Displayname} (@{Username}) adlı kullanıcıyı engelledin,أنتَ حظرت {Displayname} (@{Username})
Feature.SettingsHub.ReportSubmitted.MuteAndBlockPlayer,,,Mute & Block {DisplayName}(@{Username})?,{DisplayName}(@{Username}) stummschalten & blockieren?,Mute & Block {DisplayName}(@{Username})?,¿Silenciar y bloquear a {DisplayName}(@{Username})?,¿Silenciar y bloquear a {DisplayName}(@{Username})?,Mettre en sourdine et bloquer {DisplayName}(@{Username}) ?,Bisukan dan Blokir {DisplayName}(@{Username})?,Silenzia & Blocca {DisplayName}(@{Username})?,{DisplayName}(@{Username}) さんをミュートしてブロックしますか？,{DisplayName}(@{Username}) 님을 음소거 및 차단할까요?,Silenciar e bloquear {DisplayName}(@{Username})?,Silenciar e bloquear {DisplayName}(@{Username})?,Отключить звук и заблокировать: {DisplayName}(@{Username})?,ต้องการปิดเสียงและบล็อค {DisplayName}(@{Username}) หรือไม่?,将“{DisplayName}（@{Username}）”静音并屏蔽？,靜音並封鎖 {DisplayName}（@{Username}）？,将“{DisplayName}（@{Username}）”静音并屏蔽？,Wyciszyć i zablokować użytkownika {DisplayName} (@{Username})?,Tắt Tiếng và Chặn {DisplayName}(@{Username})?,{DisplayName} (@{Username}) sessize alınıp engellensin mi?,كتم وحظر {DisplayName}(@{Username})؟
Feature.SettingsHub.Prompt.TeleportBlock.Title,,,Teleporting Paused,Teleportieren angehalten,Teleporting Paused,Teletransporte pausado,Teletransporte pausado,Téléportation en pause,Teleportasi Dijeda,Teletrasporto in pausa,テレポートを一時停止中,텔레포트가 일시 중지됨,Teletransportador pausado,Teletransportador pausado,Телепортирование приостановлено,การเทเลพอร์ตถูกหยุดชั่วคราว,已暂停传送,已暫停傳送,已暂停传送,Wstrzymano teleportację,Dịch Chuyển Bị Tạm Dừng,Işınlanma Durduruldu,توقف الانتقال الفوري
Feature.SettingsHub.Prompt.TeleportBlock.Subtitle,,,Teleporting will resume upon menu close.,"Teleportieren wird fortgesetzt, wenn das Menü geschlossen wird.",Teleporting will resume upon menu close.,El teletransporte se reanudará al cerrar el menú.,El teletransporte se reanudará al cerrar el menú.,La téléportation reprendra lorsque le menu sera fermé.,Teleportasi akan dilanjutkan setelah menu ditutup.,Il teletrasporto riprenderà alla chiusura del menu.,テレポートはメニューを閉じると再開します。,메뉴를 닫으면 텔레포트가 다시 진행됩니다.,O teleporte será reacionado quando o menu for fechado.,O teleporte será reacionado quando o menu for fechado.,Телепортирование возобновится после закрытия меню.,การเทเลพอร์ตจะดำเนินการต่อเมื่อปิดเมนู,关闭菜单后将会恢复传送。,關閉選單後將會繼續傳送。,关闭菜单后将会恢复传送。,Teleportacja zostanie wznowiona po zamknięciu menu.,Dịch chuyển sẽ tiếp tục khi trình đơn đóng.,Menü kapatıldığında ışınlanma devam edecek.,سيتم استئناف الانتقال الفوري عند إغلاق القائمة.
Feature.NativeAds.Action.EnterExperience,,,Enter the Experience,Experience betreten,Enter the Experience,Ingresar a la experiencia,Ingresar a la experiencia,Entrer l'expérience,Masuk ke Pengalaman Virtual,Entra nell'esperienza,バーチャル空間に入る,체험 입장하기,Entrar na experiência,Entrar na experiência,Войти в плейс,กรอกประสบการณ์,进入体验,進入體驗,进入体验,Wprowadź projekt,Vào Trải Nghiệm,Deneyime Gir,الدخول إلى التجربة
Feature.NativeAds.Action.ReturnToExperience,,,Return to Experience,Zur Experience zurück,Return to Experience,Volver a la experiencia,Volver a la experiencia,Retourner à l'expérience,Kembali ke Pengalaman Virtual,Ritorna all'esperienza,バーチャル空間に戻る,체험으로 돌아가기,Voltar à experiência,Voltar à experiência,Вернуться в плейс,กลับไปยังประสบการณ์,返回体验,返回體驗,返回体验,Wróć do projektu,Quay Lại Trải Nghiệm,Deneyime Dön,العودة إلى التجربة
InGame.ConnectionError.PlacelaunchUserPrivacyUnauthorized,,,Your privacy settings prevent you from joining this server.,"Deine Datenschutzeinstellungen verhindern, dass du diesem Server beitreten kannst.",Your privacy settings prevent you from joining this server.,Tu configuración de privacidad te impide unirte a este servidor.,Tu configuración de privacidad te impide unirte a este servidor.,Tes paramètres de confidentialité t'empêchent de rejoindre ce serveur.,Pengaturan chat mencegah kamu untuk bergabung ke server ini.,Le tue impostazioni sulla privacy ti impediscono di unirti a questo server.,プライバシー設定により、このサーバーに参加できません。,개인정보 설정으로 인해 이 서버에 참가할 수 없습니다.,Suas configurações de privacidade impedem que você entre neste servidor.,Suas configurações de privacidade impedem que você entre neste servidor.,Твои настройки конфиденциальности не позволяют соединиться с этим сервером.,การตั้งค่าความเป็นส่วนตัวของคุณทำให้คุณไม่สามารถเข้าร่วมเซิร์ฟเวอร์นี้ได้,你的隐私设置不允许你加入此服务器。,您的隱私設定不允許您加入此伺服器。,你的隐私设置不允许你加入此服务器。,Ustawienia prywatności uniemożliwiają dołączenie do tego serwera.,Bạn có cài đặt quyền riêng tư khiến bạn không thể kết nối máy chủ này.,Gizlilik ayarların bu sunucuya katılmanı engelliyor.,إعدادات الخصوصية لديك تمنعك من الانضمام إلى هذا الخادم.
CoreScripts.TopBar.RobloxMenu,,,Roblox Menu,Roblox-Menü,Roblox Menu,Menú de Roblox,Menú de Roblox,Menu Roblox,Menu Roblox,Menu Roblox,Roblox メニュー,Roblox 메뉴,Menu Roblox,Menu Roblox,Меню Roblox,เมนู Roblox,Roblox 菜单,Roblox 選單,Roblox 菜单,Menu Roblox,Trình Đơn Roblox,Roblox Menüsü,قائمة Roblox
InGame.CommonUI.Label.MicOff,,,Mic Off,Mikrofon aus,Mic Off,Micróf. desactivado,Micróf. desactivado,Micro désactivé,Mikrofon Mati,Mic Spento,マイクをオフ,마이크 끄기,Microfone desligado,Microfone desligado,Микрофон выключен,ไมโครโฟนปิดอยู่,麦克风关闭,麥克風關閉,麦克风关闭,Mikrofon wyłączony,Tắt Mic,Mikrofon Kapalı,تعطيل الميكروفون
InGame.CommonUI.Label.MicOnRecording,,,Mic On (recording audio),Mikrofon ein (Audioaufnahme),Mic On (recording audio),Micróf. activado (grabación de audio),Micróf. activado (grabación de audio),Micro ON (enregistre audio),Mikrofon Nyala (merekam audio),Mic On (rec audio),マイクをオン（音声を録音中）,마이크 켜기(음성 녹음 중),Microfone ligado (gravando áudio),Microfone ligado (gravando áudio),Микрофон включён (запись аудио),ไมโครโฟนเปิดอยู่ (กำลังบันทึกเสียง),麦克风开启（正在录音）,麥克風開啟（正在錄音）,麦克风开启（正在录音）,Mikrofon włączony (nagrywanie dźwięku),Bật Mic (ghi âm thanh),Mikrofon Açık (ses kaydediyor),تشغيل الميكروفون (تسجيل الصوت)
InGame.InspectMenu.Label.VerifiedAvatar,,,{PLAYER_NAME}'s{VERIFIED_BADGE} Avatar,{PLAYER_NAME}s{VERIFIED_BADGE} Avatar,{PLAYER_NAME}'s{VERIFIED_BADGE} Avatar,Avatar de {PLAYER_NAME} {VERIFIED_BADGE},Avatar de {PLAYER_NAME} {VERIFIED_BADGE},L'avatar de {PLAYER_NAME} {VERIFIED_BADGE},Avatar {VERIFIED_BADGE} {PLAYER_NAME},Avatar di {PLAYER_NAME}{VERIFIED_BADGE},{PLAYER_NAME} {VERIFIED_BADGE} さんのアバター,{PLAYER_NAME} 님의{VERIFIED_BADGE} 아바타,Avatar de {PLAYER_NAME}{VERIFIED_BADGE},Avatar de {PLAYER_NAME}{VERIFIED_BADGE},Аватар пользователя {PLAYER_NAME}{VERIFIED_BADGE},อวาตาร์ของ {PLAYER_NAME}{VERIFIED_BADGE},“{PLAYER_NAME}”{VERIFIED_BADGE} 的虚拟形象,{PLAYER_NAME} {VERIFIED_BADGE} 的虛擬人偶,“{PLAYER_NAME}”{VERIFIED_BADGE} 的虚拟形象,Awatar użytkownika {PLAYER_NAME} {VERIFIED_BADGE},Avatar {VERIFIED_BADGE} của {PLAYER_NAME},{PLAYER_NAME}{VERIFIED_BADGE} Adlı Oyuncunun Avatarı,أفاتار {PLAYER_NAME}{VERIFIED_BADGE}
IAPExperience.InsufficientRobux.Text.DontHaveEnough,,,You don't have enough Robux to buy this item.,"Du hast nicht genug Robux, um diesen Artikel zu kaufen.",You don't have enough Robux to buy this item.,No tienes suficiente Robux para comprar este objeto.,No tienes suficiente Robux para comprar este objeto.,Tu n'as pas assez de Robux pour acheter cet article.,Kamu tidak memiliki cukup Robux untuk membeli item ini.,Non hai abbastanza Robux per acquistare questo oggetto.,このアイテムを購入するには、Robuxが足りません。,Robux가 부족해 이 아이템을 구매할 수 없습니다.,Você não tem Robux suficiente para comprar este item.,Você não tem Robux suficiente para comprar este item.,У вас не хватает Robux для покупки.,คุณมี Robux ไม่เพียงพอที่จะซื้อไอเท็มนี้,Robux 不足，无法购买此道具。,Robux 不足，無法購買此道具。,Robux 不足，无法购买此道具。,"Masz za mało Robuxów, aby kupić ten przedmiot.",Bạn không có đủ Robux để mua vật phẩm này.,Bu öğeyi satın almak için yeterli Robux'ın yok.,ليس لديك Robux كفاية لشراء هذا العنصر.
IAPExperience.InsufficientRobux.Text.CurrentBalance,,,Current Balance,Aktueller Kontostand,Current Balance,Saldo actual,Saldo actual,Solde actuel,Saldo Saat Ini,Bilancio attuale,現在の残高,현재 잔액,Saldo atual,Saldo atual,Текущий баланс,ยอดคงเหลือปัจจุบัน,当前余额,目前餘額,当前余额,Bieżące saldo,Số Dư Hiện Tại,Mevcut Bakiye,الرصيد الحالي
IAPExperience.InsufficientRobux.Action.Cancel,,,Cancel,Abbrechen,Cancel,Cancelar,Cancelar,Annuler,Batalkan,Annulla,キャンセル,취소,Cancelar,Cancelar,Отмена,ยกเลิก,取消,取消,取消,Anuluj,Hủy Bỏ,İptal Et,إلغاء
IAPExperience.InsufficientRobux.Action.BuyRobux,,,Buy Robux,Robux kaufen,Buy Robux,Comprar Robux,Comprar Robux,Acheter des Robux,Beli Robux,Acquista Robux,Robuxを買う,Robux 구매,Comprar Robux,Comprar Robux,Купить Robux,ซื้อ Robux,购买 Robux,購買 Robux,购买罗宝,Kup Robuxy,Mua Robux,Robux Satın Al,شراء Robux
Feature.NativeAds.Description.InvalidAdGuiAdorneeShape,,,AdGui's Adornee is not in Block shape,AdGuis Adornee ist nicht in Blockform,AdGui's Adornee is not in Block shape,Adornee de AdGui no tiene la forma de bloque,Adornee de AdGui no tiene la forma de bloque,Le cadre AdGui n'est pas en forme de bloc,Adornee AdGui tidak dalam bentuk Blok,Adornee di AdGui non ha la forma di un blocco,AdGui の出力場所は、ブロック型ではありません,AdGui의 Adornee가 블록 모양이 아닙니다,A moldura do AdGui não é em forma de bloco,A moldura do AdGui não é em forma de bloco,AdGui's Adornee не в форме блока,Adornee ของ AdGui ไม่ใช่รูปทรงบล็อก,AdGui 的附着对象不是方块状,廣告 GUI 的附著表面形狀不是方塊,AdGui 的附着对象不是方块状,Adornee elementu AdGui nie ma kształtu Block,Adornee trong AdGui không ở dạng Khối,AdGui'nin Adornee'si Blok şeklinde değil,Adornee Adgui ليست في Block shape
Feature.NativeAds.Description.InvalidAdGuiAdorneeRotation,,,AdGui's Adornee rotation is invalid,AdGuis Adornee-Drehung ist ungültig,AdGui's Adornee rotation is invalid,La rotación de Adornee de AdGui no es válida,La rotación de Adornee de AdGui no es válida,La rotation du cadre AdGui est invalide,Rotasi Adornee AdGui tidak valid,La rotazione Adornee di AdGui non è valida,AdGui の出力場所の回転が無効です,AdGui의 Adornee 회전이 유효하지 않습니다,A rotação da moldura do AdGui é inválida,A rotação da moldura do AdGui é inválida,Вращение AdGui's Adornee не удалось,การหมุน Adornee ของ AdGui ไม่ถูกต้อง,AdGui 的附着对象旋转无效,廣告 GUI 的附著表面旋轉無效,AdGui 的附着对象旋转无效,Adornee elementu AdGui ma nieprawidłową rotację,Tính luân phiên của Adornee trong AdGui không hợp lệ,AdGui'nin Adornee rotasyonu geçersiz,دوران AdGui's Adornee غير صالح
Feature.NativeAds.Description.InvalidAdPortalParentType,,,Parent Type is not valid,Übergeordneter Typ ist ungültig,Parent Type is not valid,El Tipo de padre no es válido,El Tipo de padre no es válido,Le type parent n'est pas valide,Tipe orang tua tidak valid,Il tipo parent non è valido,親タイプが無効です,부모 유형이 유효하지 않습니다,O tipo de pai não é válido,O tipo de pai não é válido,Parent Type недействителен,ประเภท Parent ไม่ถูกต้อง,父项无效,父類型無效,父项无效,Typ elementu nadrzędnego jest nieprawidłowy,Loại Phần Tử Cấp Trên không hợp lệ,Parent Type geçersiz,نوع الأصل غير صالح
Feature.NativeAds.Description.AdPortalParentMissing,,,Parent does not exist,Übergeordnetes Teil existiert nicht,Parent does not exist,El padre no existe,El padre no existe,Le parent n'existe pas,Orang tua tidak ada,Parent non esistente,親が存在しません,부모가 존재하지 않습니다,O pai não existe,O pai não existe,Parent не существует,ไม่มี Parent,父项不存在,父項目不存在,父项不存在,Element nadrzędny nie istnieje,Phần Tử Cấp Trên không tồn tại,Parent yok,الأصل غير موجود
Feature.NativeAds.Description.InvalidAdGuiAdorneeSize,,,AdGui's Adornee size is invalid,AdGuis Adornee-Größe ist ungültig,AdGui's Adornee size is invalid,El tamaño de Adornee de AdGui no es válido,El tamaño de Adornee de AdGui no es válido,La taille de l'image AdGui n'est pas valide,Ukuran Adornee AdGui tidak valid,La dimensione Adornee di AdGui è non valida,AdGui の出力場所のサイズが無効です,AdGui의 Adornee 크기가 유효하지 않습니다,O tamanho da moldura do AdGui é inválida,O tamanho da moldura do AdGui é inválida,Размер AdGui's Adornee неверный,ขนาด Adornee ของ AdGui ไม่ถูกต้อง,AdGui 的附着对象的大小无效,廣告 GUI 的附著表面大小無效,AdGui 的附着对象的大小无效,Adornee elementu AdGui ma nieprawidłowy rozmiar,Kích cỡ Adornee trong AdGui không hợp lệ,AdGui'nin Adornee boyutu geçersiz,حجم AdGui's Adornee غير صالح
Feature.NativeAds.Description.InvalidAdGuiAdorneePosition,,,AdGui's Adornee position is invalid,AdGuis Adornee-Position ist ungültig,AdGui's Adornee position is invalid,La posición de Adornee de AdGui no es válida,La posición de Adornee de AdGui no es válida,La position de l'image AdGui n'est pas valide,Posisi Adornee AdGui tidak valid,La posizione di Adornee di AdGui non è valida,AdGui の出力場所の位置が無効です,AdGui의 Adornee 위치가 유효하지 않습니다,A posição da moldura do AdGui é inválida,A posição da moldura do AdGui é inválida,Позиция AdGui's Adornee неверная,ตำแหน่ง Adornee ของ AdGui ไม่ถูกต้อง,AdGui 的附着对象的位置无效,廣告 GUI 的附著表面位置無效,AdGui 的附着对象的位置无效,Adornee elementu AdGui ma nieprawidłową pozycję,Vị trí của Adornee trong AdGui không hợp lệ,AdGui'nin Adornee pozisyonu geçersiz,موقع AdGui's Adornee غير صالح
Feature.NativeAds.Description.InvalidAdPortalHierarchy,,,AdPortal doesn't have correct hierarchy,AdPortal hat keine korrekte Hierarchie,AdPortal doesn't have correct hierarchy,AdPortal no tiene una jerarquía correcta,AdPortal no tiene una jerarquía correcta,AdPortal n'a pas la bonne hiérarchie,AdPortal tidak memiliki hierarki yang benar,AdPortal non ha una gerarchia corretta,AdPortal に正しい階層が設定されていません,AdPortal에 올바른 계층 구조가 없습니다,O AdPortal não tem a hierarquia correta,O AdPortal não tem a hierarquia correta,AdPortal не имеет правильной иерархии,AdPortal ไม่มีลำดับชั้นที่ถูกต้อง,Adportal 没有正确的级别,廣告傳送門位階不正確,Adportal 没有正确的级别,AdPortal nie ma prawidłowej hierarchii,Phân cấp của AdPortal không chính xác,AdPortal'ın hiyerarşisi doğru değil,AdPortal ليس لديه تسلسل هرمي صحيح
Feature.NativeAds.Description.InvalidAdGuiValidation,,,AdGui validation failed,AdGui Validierung fehlgeschlagen,AdGui validation failed,Error de validación de AdGui,Error de validación de AdGui,La validation AdGui a échoué,Validasi AdGui gagal,Validazione di AdGui non riuscita,AdGui を認証できませんでした,AdGui 유효성 검사에 실패했습니다,A validação do AdGui falhou,A validação do AdGui falhou,Проверка AdGui не удалась,ตรวจสอบความถูกต้องของ AdGui ไม่สำเร็จ,AdGui 验证失败,廣告 GUI 驗證失敗,AdGui 验证失败,Weryfikacja elementu AdGui nieudana,Xác minh AdGui thất bại,AdGui doğrulaması başarısız,تعذر التحقق من صحة AdGui
Feature.NativeAds.Description.InvalidAdPortalProperties,,,AdPortal doesn't have correct properties set,AdPortal hat nicht korrekt festgelegte Eigenschaften,AdPortal doesn't have correct properties set,AdPortal no tiene las propiedades correctas configuradas,AdPortal no tiene las propiedades correctas configuradas,AdPortal ne possède pas de propriétés correctes,AdPortal tidak memiliki properti yang benar,AdPortal non ha impostato le proprietà corrette,AdPortal に正しいプロパティが設定されていません,AdPortal에 올바른 속성이 설정되어 있지 않습니다,O AdPortal não tem propriedades corretamente definidas,O AdPortal não tem propriedades corretamente definidas,AdPortal не имеет правильного набора свойств,AdPortal ไม่มีชุดคุณสมบัติที่ถูกต้อง,Adportal 没有正确的属性集,廣告傳送門未設定正確屬性,Adportal 没有正确的属性集,AdPortal nie ma ustawionych prawidłowych właściwości,Bộ thuộc tính của AdPortal không chính xác,AdPortal'da doğru özellikler ayarlanmamış,AdPortal ليس لديه خصائص صحيحة
Feature.NativeAds.Description.InvalidAdPortalParentProperties,,,AdPortal parent part doesn't have correct properties set,AdPortal übergeordnetes Teil hat nicht korrekt festgelegte Eigenschaften,AdPortal parent part doesn't have correct properties set,La parte padre de AdPortal no tiene las propiedades correctas configuradas,La parte padre de AdPortal no tiene las propiedades correctas configuradas,Les propriétés de la partie parent d'AdPortal sont incorrectes,Bagian orang tua AdPortal tidak memiliki properti yang benar,La parte parent di AdPortal non ha impostato le proprietà correttamente,AdPortal の親パーツに正しいプロパティが設定されていません,AdPortal 부모 파트에 올바른 속성이 설정되어 있지 않습니다,A parte pai do AdPortal não tem propriedades corretamente definidas,A parte pai do AdPortal não tem propriedades corretamente definidas,У родительской части AdPortal не установлены правильные свойства,ส่วนประกอบ Parent ของ AdPortal ไม่มีชุดคุณสมบัติที่ถูกต้อง,Adportal 父项没有正确的属性集,廣告傳送門的父零件未設定正確屬性,Adportal 父项没有正确的属性集,Element nadrzędny elementu AdPortal nie ma ustawionych prawidłowych właściwości,Bộ thuộc tính của thành phần phần tử cấp trên trong AdPortal không chính xác,AdPortal parent part için doğru özellikler ayarlanmamış,الجزء الرئيسي من AdPortal لا يحتوي على خصائص صحيحة
Feature.NativeAds.Description.InvalidAdGuiAdornee,,,AdGui's Adornee is not a Part,AdGuis Adornee ist kein Teil,AdGui's Adornee is not a Part,Adornee de AdGui no es una Pieza,Adornee de AdGui no es una Pieza,Le cadre AdGui n'est pas une partie,Adornee AdGui bukan suatu Bagian,Adornee di AdGui non è una parte,AdGui の出力場所はパーツではありません,AdGui의 Adornee가 파트가 아닙니다,A moldura do AdGui não é uma parte,A moldura do AdGui não é uma parte,AdGui's Adornee не является частью,Adornee ของ AdGui ไม่ใช่ส่วนประกอบ,AdGui 的附着对象不是一个项目,廣告 GUI 的附著表面不是零件,AdGui 的附着对象不是一个项目,Adornee elementu AdGui nie jest obiektem Part,Adornee trong AdGui không phải là một Thành Phần,AdGui'nin Adornee'si bir Part değil,AdGui's Adornee ليس جزءًا
Feature.NativeAds.Description.AdPortalMissing,,,AdPortal doesn't exist,AdPortal existiert nicht,AdPortal doesn't exist,AdPortal no existe,AdPortal no existe,AdPortal n'existe pas,AdPortal tidak ada,AdPortal non esiste,AdPortal が存在しません,AdPortal이 존재하지 않습니다,O AdPortal não existe,O AdPortal não existe,AdPortal не существует,ไม่มี AdPortal ,AdPortal 不存在,廣告傳送門不存在,AdPortal 不存在,AdPortal nie istnieje,AdPortal không tồn tại,AdPortal mevcut değil,AdPortal غير موجود
