Key,Source,de-de,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.TerrainEditor.BrushSettings.PullTerrain,Pull Terrain,Gelände ziehen,Pull Terrain,Tirar terreno,Tirer terrain,Tirare Terreno,地形を引っ張る,지형 끌어오기,Puxar terreno, ,拉动地形,拉动地形,拉動地形
Studio.TerrainEditor.Materials.Glass,Glass,Glas,Glass,Vidrio,Verre, ,ガラス,유리,Vidro, ,玻璃,玻璃,玻璃
Studio.TerrainEditor.Materials.Granite,Granite,Granit,Granite,Granito,Granite, ,花崗岩,화강암,Granito, ,花岗岩,花岗岩,花崗岩
Studio.TerrainEditor.Materials.Leather,Leather,Leder,Leather,Cuero,Cuir, ,レザー,가죽,Couro, ,皮革,皮革,皮革
Studio.TerrainEditor.Materials.Marble,Marble,Marmor,Marble,Mármol,Marbre, ,大理石,대리석,Mármore, ,大理石,大理石,大理石
Studio.TerrainEditor.Materials.Neon,Neon,Neon,Neon,Neón,Fluo, ,ネオン,네온,Neon, ,霓虹灯,霓虹灯,霓虹
Studio.TerrainEditor.Materials.Pebble,Pebble,Kieselstein,Pebble,Piedrita,Galet, ,小石,자갈,Cascalho, ,卵石,卵石,卵石
Studio.TerrainEditor.Materials.Plaster,Plaster,Gips,Plaster,Yeso,Plâtre, ,石膏,석고,Gesso, ,灰泥,灰泥,泥漿
Studio.TerrainEditor.Materials.Rubber,Rubber,Gummi,Rubber,Goma,Caoutchouc, ,ゴム,고무,Borracha, ,橡胶,橡胶,橡膠
Studio.TerrainEditor.Materials.SmoothPlastic,Smooth Plastic,Glattes Plastik,Smooth Plastic,Plástico liso,Plastique lisse, ,なめらかなプラスチック,매끈한 플라스틱,Plástico liso, ,光滑塑料,光滑塑料,平滑塑膠
Studio.TerrainEditor.Image.Filename,Filename,Dateiname,Filename,Nombre del archivo,Nom du fichier, ,ファイル名,파일 이름,Nome do arquivo, ,文件名,文件名,檔案名稱
Studio.TerrainEditor.Materials.Wood,Wood,Holz,Wood,Madera,Bois, ,木材,목재,Madeira, ,木,木,木材
Studio.TerrainEditor.HeightmapSettings.Colormap,Colormap,Colormap,Colormap,Colormap,Colormap, ,カラーマップ,Colormap,Mapa de cores, ,Colormap,Colormap,Colormap
Studio.TerrainEditor.ImportMode.Colormap,Colormap,Colormap,Colormap,Colormap,Colormap, ,カラーマップ,Colormap,Mapa de cores, ,Colormap,Colormap,Colormap
Studio.TerrainEditor.EditorEnum.ImportMode,Import Mode,Importmodus,Import Mode,Modo Importación,Mode Importation, ,インポートモード,가져오기 모드,Modo de importação, ,导入模式,导入模式,匯入模式
Studio.TerrainEditor.HeightmapSettings.ImportMode,Import Mode,Importmodus,Import Mode,Modo Importación,Mode Importation, ,インポートモード,가져오기 모드,Modo de importação, ,导入模式,导入模式,匯入模式
Studio.TerrainEditor.HeightmapSettings.DefaultMaterial,Default Material,Standardmaterial,Default Material,Material predeterminado,Matériel par défaut, ,デフォルト素材,기본 재질,Material padrão, ,默认材质,默认材质,預設材質
Studio.TerrainEditor.ImportWarning.AspectRatio,"Image aspect ratio ({ImageAspectRatio}) is not compatible with Size values (X {RegionWidth:int}, Z {RegionHeight:int}). For best results, adjust the Size or import a new image.","Das Bildseitenverhältnis ({ImageAspectRatio}) ist nicht mit den Größenwerten (X {RegionWidth:int}, Z {RegionHeight:int}) kompatibel. Die besten Ergebnisse erzielst du, wenn du die Größe anpasst oder ein neues Bild importierst.","Image aspect ratio ({ImageAspectRatio}) is not compatible with Size values (X {RegionWidth:int}, Z {RegionHeight:int}). For best results, adjust the Size or import a new image.","La relación de aspecto de la imagen ({ImageAspectRatio}) no es compatible con los valores de Tamaño (X {RegionWidth:int}, Z {RegionHeight:int}). Para obtener mejores resultados, ajusta el Tamaño o importa una nueva imagen.","Le format d'image ({ImageAspectRatio}) n'est pas compatible avec les valeurs de taille (X {RegionWidth:int}, Z {RegionHeight:int}). Pour de meilleurs résultats, ajustez la Taille ou importez une nouvelle image.", ,画像アスペクト比 ({ImageAspectRatio}) がサイズ値 (X {RegionWidth:int}、Z {RegionHeight:int})と互換性がありません。理想的な結果を出すには、サイズ調整をするか新しい画像をインポートしてください。,"이미지의 가로 세로 비율({ImageAspectRatio})이 크기 값(X {RegionWidth:int}, Z {RegionHeight:int})와 호환되지 않습니다. 최상의 결과를 얻으려면 크기를 조정하거나 새 이미지를 가져오세요.","A proporção da imagem ({ImageAspectRatio}) não é compatível com os valores de tamanho (X {RegionWidth:int}, Z {RegionHeight:int}). Para melhores resultados, ajuste o tamanho ou importe uma nova imagem.", ,"图片长宽比 ({ImageAspectRatio}) 与“尺寸”值 (X {RegionWidth:int}, Z {RegionHeight:int}) 不兼容。要获得最佳效果，请调整“尺寸”或导入新图片。","图片长宽比 ({ImageAspectRatio}) 与“尺寸”值 (X {RegionWidth:int}, Z {RegionHeight:int}) 不兼容。要获得最佳效果，请调整“尺寸”或导入新图片。","圖像長寬比 ({ImageAspectRatio}) 與大小值 (X {RegionWidth:int}, Z {RegionHeight:int}) 不相容。為確保最佳效果，請調整大小值結果或匯入新的圖像。"
Studio.TerrainEditor.ImportWarning.DiscardedChannels,Heightmaps only use the red channel.,Heightmaps verwenden nur den roten Kanal.,Heightmaps only use the red channel.,Heightmaps solo usan el canal rojo.,Les Heightmaps n'utilisent que le canal rouge., ,Heightmaps は赤いチャンネルのみを使用します。,Heightmap은 레드 채널만 사용합니다.,Os mapas de altura só usam o canal vermelho., ,Heightmaps 仅使用红色通道。,Heightmaps 仅使用红色通道。,Heightmap 僅會使用紅色頻道。
Studio.TerrainEditor.ClearSettings.Clear,Are you sure you want to clear all Terrain?,Möchtest du wirklich das gesamte Gelände löschen?,Are you sure you want to clear all Terrain?,¿Realmente quieres borrar todo el Terreno?,Es-tu sûr de vouloir effacer tout le terrain ?, ,地形をすべて消しますか？, ,Tem certeza de que deseja limpar todo o Terreno?, , , , 
Studio.TerrainEditor.ImportWarning.FailedPreview,Failed to generate image preview: {Error},Bildvorschau konnte nicht generiert werden: {Error},Failed to generate image preview: {Error},Error al generar la vista previa de la imagen: {Error},Impossible de générer l'aperçu de l'image: {Error}, ,画像プレビューを生成できませんでした: {Error},이미지 미리 보기를 생성하지 못했습니다. 오류: {Error},Não foi possível gerar a visualização da imagem: {Error}, ,无法生成图片预览：{Error},无法生成图片预览：{Error},圖像預覽產出失敗：{Error}
Studio.TerrainEditor.ImportWarning.FailedImport,Failed to import image: {Error},Fehler beim Importieren des Bildes: {Error},Failed to import image: {Error},Error al importar la imagen: {Error},Impossible d'importer l'image : {Error}, ,画像をインポートできませんでした: {Error},이미지를 가져오지 못했습니다. 오류: {Error},Não foi possível importar a imagem: {Error}, ,无法导入图片：{Error},无法导入图片：{Error},圖像匯入失敗：{Error}
Studio.TerrainEditor.Image.ImagePreview,Image Preview,Bildvorschau,Image Preview,Vista previa de la imagen,Aperçu de l'image, ,画像プレビュー,이미지 미리 보기,Pré-visualização da imagem, ,图片预览,图片预览,圖像預覽
Studio.TerrainEditor.BiomeSettings.BiomeBlending,Blending,Mischen,Blending,Mezcla,Mélanger, ,混ぜ合わせる,블렌딩,Mesclagem, ,混合,混合,混合
Studio.TerrainEditor.Categories.BiomeSettings,Biome Settings,Biomeinstellungen,Biome Settings,Configuración de bioma,Réglages du Biome, ,バイオームの設定,생물군 설정,Configurações do bioma, ,生态设置,生态设置,生物群系設定
Studio.TerrainEditor.Snapping.Voxel,Voxel,Voxel,Voxel,Vóxel,Voxel, ,ボクセル,복셀,Voxel, ,体素,体素,體素
Studio.TerrainEditor.Snapping.Increment,Increment,Erhöhung,Increment,Incremento,Incrément, ,インクリメント,증가량,Incremento, ,增量,增量,增量
Studio.TerrainEditor.BrushSettings.PlaneRotation,Plane Rotation,Ebenendrehung,Plane Rotation,Rotación del plano,Rotation du plan, ,平面の回転,평면 회전,Rotação do plano, ,平面旋转,平面旋转,平面旋轉
Studio.TerrainEditor.BrushSettings.WaterLevel,Water Level,Wasserstand,Water Level,Nivel del agua,Niveau d'eau, ,水位,수위,Nível de água, ,水面,水面,水面高度
Studio.TerrainEditor.BaseTool.SeaLevel,Sea Level,Meeresspiegel,Sea Level,Nivel del mar,Niveau de la mer,Livello del mare,海面,해수면,Nível do mar, ,海平面,海平面,海平面
Studio.TerrainEditor.SeaLevelSettings.Evaporate,Evaporate,Verdampfen,Evaporate,Evaporar,Évaporation,Evapora,蒸発,증발,Evaporar, ,蒸发,蒸发,蒸發
Studio.TerrainEditor.Categories.SeaLevelSettings,Sea Level Settings,Meeresspiegeleinstellungen,Sea Level Settings,Configuración de nivel del mar,Paramètres du niveau de la mer,Impostazioni del livello del mare,海面の設定,해수면 설정,Configurações de nível do mar, ,海平面设置,海平面设置,海平面設定
Studio.TerrainEditor.Operations.CreateName,Create Sea Level,Meeresspiegel erstellen,Create Sea Level,Crear Nivel del mar,Créer le niveau de la mer,Crea livello del mare,海面を作成,해수면 만들기,Criar nível do mar, ,创建海平面,创建海平面,建立海平面
Studio.TerrainEditor.Operations.EvaporateName,Evaporate Water,Wasser verdampfen,Evaporate Water,Evaporar agua,Évaporation de l'eau,Evaporare l'acqua,水を蒸発させる,물 증발,Evaporar água, ,蒸发水,蒸发水,蒸發水
Studio.TerrainEditor.Categories.Upgrades,Upgrades,Verbesserungen,Upgrades,Mejoras,Améliorations,Aggiornamenti,アップグレード,업그레이드,Melhorias, ,升级,升级,升級
Studio.TerrainEditor.Operations.ShorelinesName,Upgrading Shorelines,Küsten aufwerten,Upgrading Shorelines,Mejorar líneas de costa,Amélioration des rivages,Aggiornamento Shorelines,海岸線のアップグレード,해안선 업그레이드,Melhorar litorais, ,正在升级海岸线,正在升级海岸线,升級海岸線
Studio.TerrainEditor.Upgrades.LearnMore,Click [link] to learn more.,"Klicke [link], um mehr zu erfahren.",Click [link] to learn more.,Haz clic en [link] para más información.,Cliquer [link] pour en savoir plus.,Clicca [link] per saperne di più.,詳しくは、[link] をクリック。,더 자세히 알아보려면 [link](을)를 클릭하세요.,Clique em [link] para saber mais., ,点按 [链接] 了解更多信息。,点按 [链接] 了解更多信息。,點擊 [link] 了解更多。
Studio.TerrainEditor.Operations.ShorelinesDescription,Replacing voxels...,Voxel werden ersetzt ...,Replacing voxels...,Reemplazando vóxeles...,Remplacement des voxels...,Sostituzione voxel...,ボクセルを置き換え中...,복셀 교체 중...,Substituindo voxels..., ,正在替换体素……,正在替换体素……,正在取代體素……
Studio.TerrainEditor.Shorelines.Description,Click Upgrade to improve the way water joins with terrain at the shores.,"Klicke auf \"Verbessern\", um die Art und Weise zu verbessern, wie sich Wasser und Gelände an den Küsten verbinden.",Click Upgrade to improve the way water joins with terrain at the shores.,Haz clic en Mejorar para optimizar la forma en que el agua se une con el terreno en las costas.,Clique sur Améliorer pour améliorer la façon dont l'eau se joint au terrain sur les rives.,Fare clic su Aggiorna per migliorare il modo in cui l'acqua si unisce con terreno sulle rive.,アップグレードをクリックして、海岸線で水（海や湖など）が地形と結合する方法を改善。,'업그레이드'를 클릭해 물이 해안의 지형과 결합하는 방식을 개선하세요.,Clique em Melhorar para melhorar a maneira como a água se junta com o terreno nas praias., ,点按升级，改善水与海岸地形连接的方式。,点按升级，改善水与海岸地形连接的方式。,點擊升級即可改良水面與地面交接的方式。
Studio.TerrainEditor.Shorelines.Explanation,"The upgrade will only be applied to this place. This will automatically adjust shallow water shape on existing shorelines. You might want to review and hand-edit the results afterwards, especially around streams, waterfalls and any other non-horizontal water surfaces. The upgrade can be reverted right after its completion using the Undo command.","Die Verbesserung wird nur auf diesen Ort angewandt. Dadurch wird die Form des flachen Wassers an den bestehenden Küstenlinien automatisch angepasst. Du solltest die Ergebnisse im Nachhinein noch einmal überprüfen und manuell bearbeiten, vor allem an Bächen, Wasserfällen und anderen nicht horizontalen Wasserflächen. Die Verbesserung kann direkt nach ihrer Fertigstellung mit dem Befehl \"Rückgängig\" wieder rückgängig gemacht werden.","The upgrade will only be applied to this place. This will automatically adjust shallow water shape on existing shorelines. You might want to review and hand-edit the results afterwards, especially around streams, waterfalls and any other non-horizontal water surfaces. The upgrade can be reverted right after its completion using the Undo command.","La actualización solo se aplicará a este lugar. Esto automáticamente ajustará la forma de agua poco profunda en las líneas de costa existentes. Puede que quieras revisar y editar a mano los resultados posteriormente, especialmente alrededor de arroyos, cascadas de agua y cualquier otra superficie de agua no horizontal. La actualización se puede revertir después de su finalización usando el comando Deshacer.","L'amélioration ne sera appliquée qu'à cet endroit. Elle ajustera automatiquement la forme des eaux peu profondes sur les rivages existants. Tu peux peut-être revoir et modifier manuellement les résultats par la suite, en particulier autour des ruisseaux, des chutes d'eau et de toute autre surface d'eau non horizontale. La mise à jour peut être annulée juste après son achèvement en utilisant la commande Défaire.","L'aggiornamento verrà applicato solo a questo posto. Questo regolerà automaticamente la forma dell'acqua poco profonda sulle coste esistenti. Si potrebbe desiderare di rivedere e modificare a mano i risultati in seguito, in particolare intorno a torrenti, cascate e qualsiasi altra superficie dell'acqua non orizzontale. L'aggiornamento può essere ripristinato subito dopo il suo completamento utilizzando il comando Annulla.",アップグレードはこのプレースにしか適用されません。これは既存の海岸線で浅い水の形状を自動的に調整します。特に泉や滝、その他の水平以外の水面では、あとでどうなったか確認し、手作業で編集したほうがいいかもしれません。アップグレードは、取り消しコマンドを使用して完了後すぐに元に戻すことができます。,"업그레이드는 이 플레이스에만 적용됩니다. 이렇게 하면 기존 해안선의 얕은 물 모양이 자동으로 조정됩니다. 작업 이후 결과를 검토하고 수동으로 편집할 수 있습니다(특히 시내, 폭포, 기타 수평이 아닌 수면 주변의 경우). 완료 직후 실행 취소 명령을 사용하면 업그레이드를 되돌릴 수 있습니다.","A atualização só será aplicada a este local. Isto ajustará automaticamente o formato de água superficial em litorais existentes. Você pode querer revisar e editar manualmente os resultados depois, especialmente em torno de fluxos, cascatas e quaisquer outras superfícies de água não horizontais. A atualização pode ser revertida logo após a conclusão do processo, usando o comando Desfazer", ,升级仅适用于此场景。这将自动调整现有海岸线的浅水形状。你可能在之后会想要检查并手动编辑所呈现的最终效果，尤其是水流、瀑布和其他非横向的水面。升级可以在完成后通过“撤销”命令立即还原。,升级仅适用于此场景。这将自动调整现有海岸线的浅水形状。你可能在之后会想要检查并手动编辑所呈现的最终效果，尤其是水流、瀑布和其他非横向的水面。升级可以在完成后通过“撤销”命令立即还原。,升級只會套用到此地點。既有海岸線的淺水形狀將會自動調整。您之後可能需要審查並手動編輯結果，尤其是水流、瀑布及其他非橫向水面的結果。升級完成後可使用復原指令進行還原。
Studio.TerrainEditor.Upgrades.ActionButton,Upgrade,Verbessern,Upgrade,Mejorar,Actualiser,Aggiornamento,アップグレードする,업그레이드,Atualizar, ,升级,升级,升級
Studio.TerrainEditor.Upgrades.LearnMoreLink,here,hier,here,aquí,ici,qui,こちら,여기,aqui, ,此处,此处,此處
Studio.TerrainEditor.SelectionWarning.Size,Size must be at least 4x4x4., ,Size must be at least 4x4x4., , , , , , , , , , 
