Key,Context,Example,Source,en-us,ko,ru,zh-cn
Studio.ReflectionMetadata.ReflectionMetadata.OrderedDataStore,,,A type of DataStore where values must be positive integers. This makes OrderedDataStore suitable for leaderboard related scripting where you are required to order large amounts of data efficiently.,A type of DataStore where values must be positive integers. This makes OrderedDataStore suitable for leaderboard related scripting where you are required to order large amounts of data efficiently.,값이 양의 정수여야 하는 DataStore 유형. 따라서 OrderedDataStore는 대량의 데이터를 효율적으로 정렬해야 하는 순위표 관련 스크립팅에 적합합니다.,"Тип DataStore, где значения должны быть положительными целыми числами. Это делает OrderedDataStore пригодным для скриптов, связанных с таблицей лидеров, где требуется эффективный заказ больших объемов данных.",一种 DataStore 类型，其值必须为正整数。这使得 OrderedDataStore 适用于需要给大量数据高效排序的排行榜相关脚本。
Studio.ReflectionMetadata.ReflectionMetadata.OrderedDataStoreGetSortedAsync,,,"Returns a DataStorePages object. The length of each page is determined by pageSize, and the order is determined by isAscending. minValue and maxValue are optional parameters which will filter the result.","Returns a DataStorePages object. The length of each page is determined by pageSize, and the order is determined by isAscending. minValue and maxValue are optional parameters which will filter the result.",DataStorePages 개체를 반환합니다. 각 페이지의 길이는 pageSize에 의해 결정되며 순서는 isAscending에 의해 결정됩니다. minValue 및 maxValue는 결과 필터링을 위한 선택적 매개변수입니다.,"Возвращает объект DataStorePages. Длина каждой страницы определяется размером страницы pageSize, а порядок определяется как isAscending. Значения minValue и maxValue являются необязательными и фильтруют результат.",返回一个 DataStorePages 对象。每页的长度由 pageSize 决定，顺序由 isAscending 决定。minValue 和 maxValue 为用于过滤结果的可选参数。
Studio.ReflectionMetadata.ReflectionMetadata.CameraCameraSubject,,,Where the Camera's focus is.  Any rotation of the camera will be about this subject.,Where the Camera's focus is.  Any rotation of the camera will be about this subject.,카메라의 포커스 위치입니다. 카메라는 이 대상을 중심으로 회전합니다.,Расположение фокуса камеры. Любое вращение камеры происходит вокруг этого объекта.,镜头的焦点所在位置。对镜头的一切旋转都将围绕此对象进行。
Studio.ReflectionMetadata.ReflectionMetadata.CameraCameraType,,,Defines how the camera will behave. <a href='http://wiki.roblox.com/index.php/CameraType' target='_blank'>More info</a>,Defines how the camera will behave. <a href='http://wiki.roblox.com/index.php/CameraType' target='_blank'>More info</a>,카메라 행동을 정의합니다. <a href='http://wiki.roblox.com/index.php/CameraType' target='_blank'>추가 정보</a>,Задает поведение камеры. <a href='http://wiki.roblox.com/index.php/CameraType' target='_blank'>Узнать больше</a>,定义镜头的行为方式。<a href='http://wiki.roblox.com/index.php/CameraType' target='_blank'>更多信息</a>
Studio.ReflectionMetadata.ReflectionMetadata.CameraCoordinateFrame,,,"The current position and rotation of the Camera.  For most CameraTypes, the rotation is set such that the CoordinateFrame lookVector is pointing at the Focus.","The current position and rotation of the Camera.  For most CameraTypes, the rotation is set such that the CoordinateFrame lookVector is pointing at the Focus.",카메라의 현재 위치 및 회전. 대부분 CameraTypes의 회전 설정은 CoordinateFrame lookVector가 Focus를 향하도록 되어 있습니다.,"Текущее положение и разворот камеры. Для большинства типов CameraType вращение установлено таким образом, что CoordinateFrame lookVector указывает на фокус.",镜头的当前位置和旋转值。对于大多数 CameraType 而言，旋转值为 CoordinateFrame 的 lookVector 指向 Focus。
Studio.ReflectionMetadata.ReflectionMetadata.CameraCFrame,,,"The current position and rotation of the Camera.  For most CameraTypes, the rotation is set such that the CoordinateFrame lookVector is pointing at the Focus.","The current position and rotation of the Camera.  For most CameraTypes, the rotation is set such that the CoordinateFrame lookVector is pointing at the Focus.",카메라의 현재 위치 및 회전. 대부분 CameraTypes의 회전 설정은 CoordinateFrame lookVector가 Focus를 향하도록 되어 있습니다.,"Текущее положение и разворот камеры. Для большинства типов CameraType вращение установлено таким образом, что CoordinateFrame lookVector указывает на фокус.",镜头的当前位置和旋转值。对于大多数 CameraType 而言，旋转值为 CoordinateFrame 的 lookVector 指向 Focus。
Studio.ReflectionMetadata.ReflectionMetadata.CameraFieldOfView,,,"The current angle, or width, of what the camera can see.  Current acceptable values are from 20 degrees to 80.","The current angle, or width, of what the camera can see.  Current acceptable values are from 20 degrees to 80.",카메라에서 볼 수 있는 현재 각도 또는 너비. 현재 허용 가능한 값은 20~80도입니다.,"Текущий угол, или ширина, доступный для просмотра камера. Допустимые значения: от 20 до 80 градусов.",镜头当前可见的角度或宽度。当前可接受的值为 20 至 80 度。
Studio.ReflectionMetadata.ReflectionMetadata.CameraFocus,,,The current CoordinateFrame that the camera is looking at.  Note: it is not always guaranteed that the camera is always looking here.,The current CoordinateFrame that the camera is looking at.  Note: it is not always guaranteed that the camera is always looking here.,카메라가 향하고 있는 현재의 CoordinateFrame입니다. 참고: 항상 여기를 향하고 있는 것은 아닙니다.,"Текущий CoordinateFrame, на который повернута камера. Примечание: не всегда гарантируется, что камера повернута именно сюда.",镜头当前朝向的 CoordinateFrame 。注: 不能保证镜头总是看向这里。
Studio.ReflectionMetadata.ReflectionMetadata.CameraViewportSize,,,"Holds the x,y screen resolution of the viewport the camera is presenting (note: this can differ from the AbsoluteSize property of a full screen gui).","Holds the x,y screen resolution of the viewport the camera is presenting (note: this can differ from the AbsoluteSize property of a full screen gui).","카메라가 표시하는 뷰포트의 x,y 화면 해상도를 유지합니다(참고: 전체 화면 GUI의 AbsoluteSize 속성과 다를 수 있음).","Удерживает разрешение экрана X,Y в области просмотра камеры (примечание: может отличаться от свойства AbsoluteSize в интерфейсе полноэкранного режима).","储存镜头所呈现的观察窗的屏幕分辨率 x,y 值 (注: 此数值可能与全屏图形界面的 AbsoluteSize 属性有所不同)。"
Studio.ReflectionMetadata.ReflectionMetadata.CameraNearPlaneZ,,,The negative z-offset of the view frustum's near clipping plane.,The negative z-offset of the view frustum's near clipping plane.,시야 절두체의 인접 클리핑 면의 음수 z 오프셋입니다.,Отрицательное Z-смещение усеченного угла обзора вблизи плоскости сечения.,视椎体近剪切平面的负 z 轴偏移
Studio.ReflectionMetadata.ReflectionMetadata.CameraGetRoll,,,"Returns the camera's current roll. Roll is defined in radians, and is stored as the delta from the camera's y axis default normal vector.","Returns the camera's current roll. Roll is defined in radians, and is stored as the delta from the camera's y axis default normal vector.","카메라의 현재 롤을 반환합니다. 롤은 라디안으로 정의되며, 카메라의 y축 기본 법선 벡터의 델타로 저장됩니다.",Возвращает текущее перемещение камеры. Перемещение исчисляется в радианах и хранится как дельта от обычного вектора оси Y камеры по умолчанию.,返回镜头的当前翻滚值。翻滚值以弧度为单位，并储存为镜头 y 轴默认法矢量的 delta 值。
Studio.ReflectionMetadata.ReflectionMetadata.CameraWorldToScreenPoint,,,"Takes a 3D position in the world and projects it onto x,y coordinates of screen space. Returns two values, first is a Vector3 that has x,y position and z position which is distance from camera (negative if behind camera, positive if in front). Second return value is a boolean indicating if the first argument is an on-screen coordinate.","Takes a 3D position in the world and projects it onto x,y coordinates of screen space. Returns two values, first is a Vector3 that has x,y position and z position which is distance from camera (negative if behind camera, positive if in front). Second return value is a boolean indicating if the first argument is an on-screen coordinate.","월드의 3D 위치를 가져와 화면 공간의 x,y 좌표에 투영합니다. 두 개의 값을 반환합니다. 첫 번째 값은 카메라와의 거리인 x,y 위치와 z 위치가 포함된 Vector3입니다(카메라 뒤에 있으면 음수, 카메라 앞에 있으면 양수). 두 번째로 반환되는 값은 첫 번째 인수가 화면상 좌표인지 표시하는 부울 값입니다.","Занимает 3D-позицию в мире и проецирует ее на координаты пространства экрана X,Y. Возвращает два значения, первое — Vector3 с осями X,Y и Z, которое равно расстоянию от камеры (отрицательное, если за камерой, и положительное, если перед ней). Второе значение — булева переменная, указывающая, является ли первый аргумент координатой на экране.","取世界中的一个 3D 位置并将其映射至屏幕空间的 x,y 坐标。返回两个值，第一个是包含 x,y 位置和定义与镜头距离的 z 位置 (负数为在镜头后，正数为在镜头前) 的 Vector3。第二个返回值是判断第一个参数是否为屏幕上的坐标的布尔值。"
Studio.ReflectionMetadata.ReflectionMetadata.CameraScreenPointToRay,,,"Takes a 2D screen position and produces a Ray object to be used for 3D raycasting. Input is x,y screen coordinates, and a (optional, defaults to 0) z position which sets how far in the camera look vector to start the ray origin.","Takes a 2D screen position and produces a Ray object to be used for 3D raycasting. Input is x,y screen coordinates, and a (optional, defaults to 0) z position which sets how far in the camera look vector to start the ray origin.","2D 화면 위치를 가져와 3D 레이캐스팅에 사용할 Ray 개체를 생성합니다. 입력은 x,y 화면 좌표이고, z 위치(선택 사항, 기본값은 0)는 광선 원점을 시작하기 위해 카메라에서 벡터가 보이는 정도를 설정합니다.","Занимает 2D-позицию и создает объект Ray для использования в 3D-отслеживании лучей. В качестве ввода используются координаты экрана X,Y и (необязательно, по умолчанию 0) Z, которые определяют, насколько далеко в векторе изображения камеры должен начинаться источник луча.","取屏幕上的一个 2D 位置并生成一个用于 3D 光线投射的 Ray 对象。输入为 x,y 屏幕坐标，(可选，默认为0) 的 z 位置设置镜头看向光线原点的矢量距离。"
Studio.ReflectionMetadata.ReflectionMetadata.CameraViewportPointToRay,,,"Same as ScreenPointToRay, except no GUI offsets are taken into account. Useful for things like casting a ray from the middle of the Camera.ViewportSize","Same as ScreenPointToRay, except no GUI offsets are taken into account. Useful for things like casting a ray from the middle of the Camera.ViewportSize",GUI 오프셋이 고려되지 않는다는 점을 제외하면 ScreenPointToRay와 동일합니다. Camera.ViewportSize의 중앙에서 광선을 비출 때 등에 유용합니다.,"То же, что и ScreenPointToRay, однако не учитываются смещения графического интерфейса пользователя. Полезно для отслеживания лучшей из центра Camera.ViewportSize",同 ScreenPointToRay，但不计入 GUI 偏移。适用于从 Camera.ViewportSize 中央投射光线等。
Studio.ReflectionMetadata.ReflectionMetadata.CameraWorldToViewportPoint,,,"Same as WorldToScreenPoint, except no GUI offsets are taken into account.","Same as WorldToScreenPoint, except no GUI offsets are taken into account.",GUI 오프셋이 고려되지 않는다는 점을 제외하면 WorldToScreenPoint와 동일합니다.,"То же, что и WorldToScreenPoint, однако не учитываются смещения графического интерфейса пользователя.",同 WorldToScreenPoint，但不计入 GUI 偏移。
Studio.ReflectionMetadata.ReflectionMetadata.CameraSetRoll,,,"Sets the camera's current roll. Roll is defined in radians, and is stored as the delta from the camera's y axis default normal vector.","Sets the camera's current roll. Roll is defined in radians, and is stored as the delta from the camera's y axis default normal vector.","카메라의 현재 롤을 설정합니다. 롤은 라디안으로 정의되며, 카메라의 y축 기본 법선 벡터의 델타로 저장됩니다.",Устанавливает текущее перемещение камеры. Перемещение определяется в радианах и сохраняется как дельта от обычного вектора оси Y камеры по умолчанию.,设置镜头的当前翻滚值。翻滚值以弧度为单位，并储存为镜头 y 轴默认法矢量的 delta 值。
Studio.ReflectionMetadata.ReflectionMetadata.PlayersCharacterAutoLoads,,,"Set to true, when a player joins a game, they get a character automatically, as well as when they die.  When set to false, characters do not auto load and will only load in using Player:LoadCharacter().","Set to true, when a player joins a game, they get a character automatically, as well as when they die.  When set to false, characters do not auto load and will only load in using Player:LoadCharacter().","true로 설정하면, 플레이어가 게임에 참가할 때와 게임에서 죽을 때 캐릭터를 자동으로 얻습니다. false로 설정하면 캐릭터가 자동으로 로드되지 않으며 Player:LoadCharacter()를 사용하여 로드해야 합니다.","При значении true, когда игрок присоединяется к игре или умирает, то получает персонажа автоматически. При значении false персонажи не загружаются автоматически и загружаются только с помощью Player:LoadCharacter().",若设为真，玩家加入游戏和死亡时会自动获得一个角色。若设为假，角色不会自动加载，只有在使用 Player:LoadCharacter() 时才会加载。
Studio.ReflectionMetadata.ReflectionMetadata.Playersplayers,,,Use GetPlayers() instead,Use GetPlayers() instead,GetPlayers()를 대신 사용하세요,Вместо этого используйте GetPlayers(),请改用 GetPlayers()
Studio.ReflectionMetadata.ReflectionMetadata.ReplicatedStorage,,,A container whose contents are replicated to all clients and the server.,A container whose contents are replicated to all clients and the server.,내용이 모든 클라이언트와 서버에 복제되는 컨테이너.,"Контейнер, содержимое которого воспроизводится на всех клиентах и сервере.",一个容器，其内容被复制到所有客户端和服务器。
Studio.ReflectionMetadata.ReflectionMetadata.ReplicatedFirst,,,"A container whose contents are replicated to all clients (but not back to the server) first before anything else. Useful for creating loading guis, tutorials, etc.","A container whose contents are replicated to all clients (but not back to the server) first before anything else. Useful for creating loading guis, tutorials, etc.","다른 무엇보다 가장 먼저 내용이 모든 클라이언트(서버로 돌아가지는 않음)에 복제되는 컨테이너. 불러오기 GUI, 튜토리얼 등을 만드는 데 유용합니다.","Контейнер, содержимое которого в первую очередь реплицируется на всех клиентах (но не обратно на сервер). Полезно для создания интерфейсов загрузки, учебных материалов и т. д.",一个容器，其内容在进行其他一切操作前先被复制到所有客户端 (但不会返回到服务器)。适用于创建载入图形界面、教程等。
Studio.ReflectionMetadata.ReflectionMetadata.ReplicatedFirstRemoveRobloxLoadingScreen,,,"Removes the default Roblox loading screen from view. Call this when you are ready to either show your own loading gui, or when the game is ready to play.","Removes the default Roblox loading screen from view. Call this when you are ready to either show your own loading gui, or when the game is ready to play.",기본 Roblox 불러오기 화면을 보기에서 제거합니다. 자체 불러오기 GUI를 보여줄 준비가 되었거나 게임 플레이가 준비되면 이것을 호출하세요.,"Скрывает экран загрузки Roblox по умолчанию. Вызовите эту функцию, когда нужно показать собственный интерфейс загрузки или когда все готово к игре.",从视图中移除默认 Roblox 载入页面。当你准备好显示自己的载入界面或当游戏已准备就绪时调用。
Studio.ReflectionMetadata.ReflectionMetadata.ServerStorage,,,A container whose contents are only on the server.,A container whose contents are only on the server.,내용이 서버에만 존재하는 컨테이너.,"Контейнер, содержимое которого находится только на сервере.",一个容器，其内容仅存在于服务器上。
Studio.ReflectionMetadata.ReflectionMetadata.ServerScriptService,,,A container whose contents should be scripts. Scripts that are added to the container are run on the server.,A container whose contents should be scripts. Scripts that are added to the container are run on the server.,내용이 스크립트여야 하는 컨테이너. 컨테이너에 추가된 스크립트는 서버에서 실행됩니다.,"Контейнер, содержимое которого должно быть скриптами. Скрипты, которые добавляются в контейнер, выполняются на сервере.",一个容器，其内容应为脚本。添加至该容器的脚本将在服务器上运行。
Studio.ReflectionMetadata.ReflectionMetadata.StudioService,,,A service for interfacing with the current studio state from Lua.,A service for interfacing with the current studio state from Lua.,Lua의 현재 스튜디오 상태와 인터페이스하기 위한 서비스.,Услуга для взаимодействия с текущим состоянием программы из Lua.,用于与 Lua 的当前 Studio 状态进行交互的服务。
Studio.ReflectionMetadata.ReflectionMetadata.Lighting,,,Responsible for all lighting aspects of the world (affects how things are rendered).,Responsible for all lighting aspects of the world (affects how things are rendered).,게임 세계의 모든 조명 측면을 담당합니다(렌더링 방식에 영향을 미침).,Отвечает за все стороны освещения в мире (влияет на визуализацию).,负责游戏世界中的所有照明外观 (影响物体的渲染方式)。
Studio.ReflectionMetadata.ReflectionMetadata.LightingGetMinutesAfterMidnight,,,"The number of minutes that the current time is past midnight.  If currently at midnight, returns 0.  Will return decimal values if not at an exact minute.","The number of minutes that the current time is past midnight.  If currently at midnight, returns 0.  Will return decimal values if not at an exact minute.",자정 이후 현재까지 지난 시간(분). 현재 시간이 자정이면 0을 반환합니다. 정확한 분 수가 아닌 경우 10진수 값을 반환합니다.,"Количество минут после полуночи. Если сейчас полночь, возвращает 0. Если значение минут не целое, возвращает десятичную дробь.",从午夜开始到当前时间的分钟数。若当前时间为午夜，则返回 0。若未处于准确分钟，将返回小数值。
Studio.ReflectionMetadata.ReflectionMetadata.LightingGetMoonDirection,,,"Returns the lookVector (Vector3) of the moon. If this lookVector was used in a CFrame, the Part would face the moon.","Returns the lookVector (Vector3) of the moon. If this lookVector was used in a CFrame, the Part would face the moon.",달의 lookVector(Vector3)를 반환합니다. 이 lookVector가 CFrame에서 사용되면 Part는 달을 향하게 됩니다.,"Возвращает lookVector (Vector3) луны. Если lookVector использовался в CFrame, деталь будет обращена к луне.",返回月球的 lookVector (Vector3)。若此 lookVector 被用于 CFrame 中，Part 将面向月球。
Studio.ReflectionMetadata.ReflectionMetadata.LightingGetMoonPhase,,,Currently always returns 0.75. MoonPhase cannot be edited.,Currently always returns 0.75. MoonPhase cannot be edited.,현재는 항상 0.75를 반환합니다. MoonPhase는 편집할 수 없습니다.,В настоящее время всегда возвращает 0.75. MoonPhase не редактируется.,目前总是返回 0.75。MoonPhase 无法被编辑。
Studio.ReflectionMetadata.ReflectionMetadata.LightingGetSunDirection,,,"Returns the lookVector (Vector3) of the sun. If this lookVector was used in a CFrame, the Part would face the sun.","Returns the lookVector (Vector3) of the sun. If this lookVector was used in a CFrame, the Part would face the sun.",태양의 lookVector(Vector3)를 반환합니다. 이 lookVector가 CFrame에서 사용되면 Part는 태양을 향하게 됩니다.,"Возвращает lookVector (Vector3) солнца. Если lookVector использовался в CFrame, деталь будет обращена к солнцу.",返回太阳的 lookVector (Vector3)。若此 lookVector 被用于 CFrame 中，Part 将面向太阳。
Studio.ReflectionMetadata.ReflectionMetadata.LightingSetMinutesAfterMidnight,,,Sets the time to be a certain number of minutes after midnight.  This works with integer and decimal values.,Sets the time to be a certain number of minutes after midnight.  This works with integer and decimal values.,자정 이후 특정 시간(분)으로 시간을 설정합니다. 정수 및 10진수 값일 수 있습니다.,Устанавливает время на определенное количество минут после полуночи. Работает с целыми и десятичными значениями.,设置时间为从午夜开始经过的一定分钟数。可为整数或小数值。
Studio.ReflectionMetadata.ReflectionMetadata.LightingAmbient,,,The hue of the global lighting.  Changing this changes the color tint of all objects in the Workspace.,The hue of the global lighting.  Changing this changes the color tint of all objects in the Workspace.,전역 조명의 색조. 이를 변경하면 작업 공간에 있는 모든 개체의 색조가 변경됩니다.,Оттенок глобального освещения. Изменение этого параметра изменяет цветовой тон всех объектов в рабочей области.,全局照明的色调。修改此值会改变工作区中所有对象的颜色色调。
Studio.ReflectionMetadata.ReflectionMetadata.LightingBrightness,,,"How much global light each Part in the Workspace receives. Standard range is 0 to 2 (0 being little light), but can be increased all the way to 10 (colors start to be appear very different at this value).","How much global light each Part in the Workspace receives. Standard range is 0 to 2 (0 being little light), but can be increased all the way to 10 (colors start to be appear very different at this value).","작업 공간의 각 Part가 받는, 전역 조명의 양. 표준 범위는 0~2(0은 빛이 거의 없음)이지만 10까지 늘릴 수 있습니다(이 값에서 색상이 매우 다르게 나타나기 시작함).","Сколько общего света получает каждая деталь в рабочей области. Стандартный диапазон: от 0 до 2 (0 означает малое освещение), но может быть увеличен до 10 (при этом цвета начинают сильно различаться).",工作区中的每个 Part 能接收到多少全局光照。标准范围为 0 至 2 (0 为极少光照)，但也可以增加至 10 (从此数值开始色彩会显得极为不同)。
Studio.ReflectionMetadata.ReflectionMetadata.LightingExposureCompensation,,,Exposure compensation amount. Applies a bias to the exposure level prior to the tonemap step. +1 indicates twice as much exposure and -1 means half as much exposure.,Exposure compensation amount. Applies a bias to the exposure level prior to the tonemap step. +1 indicates twice as much exposure and -1 means half as much exposure.,노출 보정 양. 톤맵 단계 전에 노출 레벨에 바이어스를 적용합니다. +1은 노출의 두 배를 나타내고 -1은 노출의 절반을 의미합니다.,"Значение компенсации экспозиции. Применяется к уровню экспозиции, предшествующему шагу тональной карты. +1 означает вдвое большую экспозицию, а -1 — вдвое меньшую.",曝光补偿值。在色调映射步骤前对曝光级别应用偏差值。+1 代表曝光量加倍，-1 代表曝光量减半。
Studio.ReflectionMetadata.ReflectionMetadata.LightingShadowSoftness,,,This property controls how blurry the shadows are.,This property controls how blurry the shadows are.,이 속성은 그림자가 흐릿한 정도를 제어합니다.,"Это свойство контролирует, насколько размыты тени.",此属性控制阴影的模糊程度。
Studio.ReflectionMetadata.ReflectionMetadata.LightingColorShift_Bottom,,,The hue of global lighting on the bottom surfaces of an object.,The hue of global lighting on the bottom surfaces of an object.,개체의 아래쪽 표면에 있는 전역 조명의 색조.,Оттенок глобального освещения на нижних поверхностях объекта.,物体底表面的全局照明色调。
Studio.ReflectionMetadata.ReflectionMetadata.LightingColorShift_Top,,,The hue of global lighting on the top surfaces of an object.,The hue of global lighting on the top surfaces of an object.,개체의 위쪽 표면에 있는 전역 조명의 색조.,Оттенок глобального освещения на верхних поверхностях объекта.,物体顶表面的全局照明色调。
Studio.ReflectionMetadata.ReflectionMetadata.LightingFogColor,,,A Color3 value that changes the hue of distance fog.,A Color3 value that changes the hue of distance fog.,거리 안개의 색조를 변경하는 Color3 값.,"Значение Color3, изменяющее оттенок тумана на расстоянии.",用于改变远方迷雾色调的 Color3 值。
Studio.ReflectionMetadata.ReflectionMetadata.LightingFogEnd,,,The distance at which fog completely blocks your vision. This distance is relative to the camera position. Units are in studs,The distance at which fog completely blocks your vision. This distance is relative to the camera position. Units are in studs,안개가 시야를 완전히 차단하는 거리. 이 거리는 카메라 위치를 기준으로 합니다. 단위는 스터드입니다.,"Расстояние, на котором туман полностью блокирует зрение. Это расстояние относительно положения камеры. Единицами измерения являются стойки",迷雾能完全阻隔你的视线的距离。此距离与镜头位置有关。单位为格
Studio.ReflectionMetadata.ReflectionMetadata.LightingFogStart,,,The distance at which the fog gradient begins. This distance is relative to the camera position. Units are in studs.,The distance at which the fog gradient begins. This distance is relative to the camera position. Units are in studs.,안개 그레디언트가 시작되는 거리. 이 거리는 카메라 위치를 기준으로 합니다. 단위는 스터드입니다.,"Расстояние, с которого начинается градиент тумана. Это расстояние относительно положения камеры. Единицами измерения являются стойки",迷雾渐变开始的距离。此距离与镜头位置有关。单位为格。
Studio.ReflectionMetadata.ReflectionMetadata.LightingGeographicLatitude,,,The latitude position the level is placed at.  This affects sun position. <a href='http://wiki.roblox.com/index.php/GeographicLatitude' target='_blank'>More info</a>,The latitude position the level is placed at.  This affects sun position. <a href='http://wiki.roblox.com/index.php/GeographicLatitude' target='_blank'>More info</a>,레벨이 배치된 경도 위치. 이 값은 태양 위치에 영향을 줍니다. <a href='http://wiki.roblox.com/index.php/GeographicLatitude' target='_blank'>추가 정보</a>,Широта уровня. Влияет на положение солнца. <a href='http://wiki.roblox.com/index.php/GeographicLatitude' target='_blank'>Узнать больше</a>,关卡所在的纬度位置。此设定会影响太阳的位置。<a href='http://wiki.roblox.com/index.php/GeographicLatitude' target='_blank'>更多信息</a>
Studio.ReflectionMetadata.ReflectionMetadata.LightingGlobalShadows,,,Flag enabling shadows from sun and moon in the place,Flag enabling shadows from sun and moon in the place,장소에 태양과 달의 그림자를 구현하는 플래그,"Флаг, позволяющий создавать тени от солнца и луны",代表启用场景中太阳和月亮所造成的阴影
Studio.ReflectionMetadata.ReflectionMetadata.LightingOutdoorAmbient,,,"Effective ambient value for outdoors, effectively shadow color outdoors (requires GlobalShadows enabled)","Effective ambient value for outdoors, effectively shadow color outdoors (requires GlobalShadows enabled)","실외, 그 중에서도 그림자 색상 실외에 특히 효과적인 앰비언트 값(GlobalShadows 활성화 필요)","Эффективное значение окружения, т. е. цвет тени вне помещений (требует включения функции GlobalShadows)",户外有效环境值，户外有效阴影值 (需启用 GlobalShadows)
Studio.ReflectionMetadata.ReflectionMetadata.LightingOutlines,,,Flag enabling or disabling outlines on parts and terrain,Flag enabling or disabling outlines on parts and terrain,파트와 지형에 윤곽선을 활성화하거나 비활성화하는 플래그,"Флаг, включающий и отключающий контуры на деталях и рельефе",代表显示或隐藏部件和地形的轮廓线
Studio.ReflectionMetadata.ReflectionMetadata.LightingShadowColor,,,"Color the shadows appear as. Shadows are drawn mostly for characters, but depending on the lighting will also show for Parts in the Workspace.  Rendering settings can also affect if shadows are drawn.","Color the shadows appear as. Shadows are drawn mostly for characters, but depending on the lighting will also show for Parts in the Workspace.  Rendering settings can also affect if shadows are drawn.","그림자가 표시되는 색상. 그림자는 대개 캐릭터 쪽으로 그려지지만, 조명에 따라 작업 공간의 파트에도 표시됩니다. 또한 그림자가 그려지면 렌더링 설정도 영향을 줄 수 있습니다.","Цвет, которым отображаются тени. Тени рисуются в основном для персонажей, но в зависимости от освещения также отображаются для деталей в рабочей области. Параметры визуализации также могут влиять на то, как нарисованы тени.",阴影的显示颜色。大多数情况下只对角色绘制阴影，但根据照明条件，也可能显示工作区中 Part 的阴影。渲染设定也会影响是否绘制阴影。
Studio.ReflectionMetadata.ReflectionMetadata.LightingTimeOfDay,,,"A string that represent the current time of day. Time is in 24-hour clock format ""XX::YY:ZZ"", where X is hour, Y is minute, and Z is seconds.","A string that represent the current time of day. Time is in 24-hour clock format ""XX::YY:ZZ"", where X is hour, Y is minute, and Z is seconds.","현재 시간을 표시하는 문자열. 시간은 24시간 형식(""XX::YY:ZZ"")입니다. 여기서 X는 시간, Y는 분, Z는 초입니다.","Строка, отображающая текущее время суток. Время в 24-часовом формате «XX::YY:ZZ», где X — часы, Y — минуты, Z — секунды.","代表一天中当前时间的字符串。时间使用 24 小时制时钟格式 ""XX::YY:ZZ""，其中 X 代表小时，Y 代表分钟，Z 代表秒。"
Studio.ReflectionMetadata.ReflectionMetadata.LightingLightingChanged,,,"Fired whenever a property of Lighting is changed, or a skybox is added or removed. Skyboxes are of type 'Sky' and should be parented directly to lighting.","Fired whenever a property of Lighting is changed, or a skybox is added or removed. Skyboxes are of type 'Sky' and should be parented directly to lighting.",Lighting 속성이 변경되거나 스카이 박스가 추가 또는 제거될 때마다 발생합니다. 스카이 박스는 'Sky' 유형이므로 조명에 부모로 직접 연결되어야 합니다.,"Возникает при изменении свойств освещения, добавлении или удалении скайбокса. Скайбоксы имеют тип Sky, и в качестве родительского элемента им должно быть присвоено непосредственно освещение.",每当 Lighting 的属性变动，或 Skybox 被添加或移除时触发。 Skybox 属于 'Sky' 类型且应为 Lighting 的直接子类。
Studio.ReflectionMetadata.ReflectionMetadata.Debris,,,A service that provides utility in cleaning up objects,A service that provides utility in cleaning up objects,개체 정리 유틸리티를 제공하는 서비스,"Служба, полезная при очистке объектов",提供清理对象实用工具的服务
Studio.ReflectionMetadata.ReflectionMetadata.DebrisaddItem,,,Adds an Instance into the debris service that will later be destroyed.  Second argument 'lifetime' is optional and specifies how long (in seconds) to wait before destroying the item. If no time is specified then the item added will automatically be destroyed in 10 seconds.,Adds an Instance into the debris service that will later be destroyed.  Second argument 'lifetime' is optional and specifies how long (in seconds) to wait before destroying the item. If no time is specified then the item added will automatically be destroyed in 10 seconds.,나중에 파괴될 파편 서비스에 인스턴스를 추가합니다. 두 번째 인수 'lifetime'은 선택 사항으로 해당 아이템을 파괴하기 전에 대기하는 시간(단위: 초)을 지정합니다. 시간을 지정하지 않으면 추가되는 아이템은 10초 내에 자동으로 파괴됩니다.,"Добавляет экземпляр в службу мусора, для последующего уничтожения. Второй аргумент lifetime является необязательным и указывает, как долго (в секундах) следует ждать перед уничтожением объекта. Если не указано время, то добавленный объект будет автоматически уничтожен через 10 секунд.",向稍后将被销毁的碎片服务添加一个 Instance。第二个参数 'lifetime' 为可选项，指定项目被销毁前的等待时间 (以秒为单位)。若不指定时间，则被添加的项目将在 10 秒后被自动销毁。
Studio.ReflectionMetadata.ReflectionMetadata.DebrisMaxItems,,,Deprecated. No replacement,Deprecated. No replacement,더 이상 사용할 수 없습니다. 대체 옵션이 없습니다,Устарело. Нет замены,已过时。无替代
Studio.ReflectionMetadata.ReflectionMetadata.PlayerCameraMode,,,An enum that describes how a Player's camera is allowed to behave. <a href='http://wiki.roblox.com/index.php/CameraMode' target='_blank'>More info</a>.,An enum that describes how a Player's camera is allowed to behave. <a href='http://wiki.roblox.com/index.php/CameraMode' target='_blank'>More info</a>.,플레이어의 카메라가 동작할 수 있는 방식을 설명하는 열거형입니다. <a href='http://wiki.roblox.com/index.php/CameraMode' target='_blank'>추가 정보</a>.,"Перечисление (enum), описывающее поведение камеры игрока. <a href='http://wiki.roblox.com/index.php/CameraMode' target='_blank'>Узнать больше</a>.",描述 Player 的镜头的可用行为方式的枚举。<a href='http://wiki.roblox.com/index.php/CameraMode' target='_blank'>更多信息</a>。
