Studio.App.Merge3.DialogTitle1,,,Merge Server with Draft - %1,Merge Server with Draft - %1,서버와 초안 병합 - %1,Слияние сервера с черновиком - %1,用草稿合并服务器 - %1
Studio.App.Merge3.EditToResolveConflicts,,,Edit to resolve conflicts.  Then remove all conflict markers to save this to your drafts.,Edit to resolve conflicts.  Then remove all conflict markers to save this to your drafts.,편집하여 충돌을 처리하세요. 모든 충돌 마커를 제거해 초안에 저장하세요.,"Отредактируйте для разрешения конфликтов. Затем удалите все маркеры конфликтов, чтобы сохранить это в своих черновиках.",使用编辑处理冲突，再将所有冲突标记移除，就可以保存至你的草稿。
Studio.App.Merge3.Mine,,,Mine (Draft),Mine (Draft),내 (초안),Мой (Черновик),我的（草稿）
Studio.App.Merge3.NextConflict,,,Next Conflict >>,Next Conflict >>,다음 충돌 >>,Следующий конфликт >>,下一个冲突 >>
Studio.App.Merge3.NextMarker,,,Next Marker >,Next Marker >,다음 마커 >,Следующий маркер >,下一个标记 >
Studio.App.Merge3.Original,,,Original,Original,원본,Оригинал,原始
Studio.App.Merge3.PrevConflict,,,<< Prev Conflict,<< Prev Conflict,<< 이전 충돌,<< Предыдущий конфликт,<< 上一个冲突
Studio.App.Merge3.PrevMarker,,,< Prev Marker,< Prev Marker,< 이전 마커,< Предыдущий маркер,< 上一个标记
Studio.App.Merge3.Theirs,,,Theirs (Server),Theirs (Server),상대 (서버),Их (Сервер),他们的（服务器）
Studio.App.MeshImportOptionsDialog.ApplyAll,,,Apply All,Apply All,모두 적용,Применить все,全部应用
Studio.App.MeshImportOptionsDialog.FileCount2,,,%1 of %2 files,%1 of %2 files,%1/%2 파일,%1 из %2 файлов,%1/ %2 个文件
Studio.App.MeshImportOptionsDialog.ImportFileAsSingleMesh,,,Import file as single mesh,Import file as single mesh,단일 메시로 파일 가져오기,Импорт файла в виде одной сетки,以单一网格导入文件
Studio.App.MeshImportOptionsDialog.MeshImportOptions,,,Mesh Import Options,Mesh Import Options,메시 가져오기 옵션,Параметры импорта сетки,网格导入选项
Studio.App.MeshImportOptionsDialog.NoFilesAvailable,,,No files available,No files available,사용 가능한 파일이 없습니다,Нет доступных файлов,无可用文件
Studio.App.MeshImportOptionsDialog.RescaleIfTooLarge,,,Rescale if too large,Rescale if too large,너무 클 경우 크기 재조정,"Измените масштаб, если это необходимо",太大时重新缩放
Studio.App.MeshImportOptionsDialog.ReverseInwardPointingMeshNormals,,,Reverse inward-pointing mesh normals,Reverse inward-pointing mesh normals,메시 일반 내부 방향 반전,Перевернуть векторы внутренней нормали сетки,"反向向内指向网格法线
"
Studio.App.MeshResourceController.MeshReferencedByName,,,"Meshes are referenced by name, so any references to this mesh will fail to load. Are you sure you want to remove it?","Meshes are referenced by name, so any references to this mesh will fail to load. Are you sure you want to remove it?","메시는 이름으로 참조되어 있으므로, 이 메시의 모든 참조는 불러올 수 없습니다. 그래도 제거할까요?","На сетки ссылаются по имени, поэтому никакие ссылки на эту сетку не будут загружены. Удалить ее?",网格由名称引用，因此对此网格的任何引用都将无法加载。确定要删除它吗？
Studio.App.MeshSplitterImpl.ContainsMoreMeshes,,,The mesh file contained more than %1 meshes.,The mesh file contained more than %1 meshes.,메시 파일에 %1개 이상의 메시가 있습니다.,Файл сетки содержал более %1 сеток.,网格文件包含超过 %1 个网格。
Studio.App.OnPublishDialog.BasicSettings,,,Basic Settings,Basic Settings,기본 설정,Основные настройки,基本设置
Studio.App.OnPublishDialog.Description,,,Description:,Description:,설명:,Описание:,描述:
Studio.App.OnPublishDialog.Genre,,,Genre:,Genre:,장르:,Жанр:,类型:
Studio.App.OnPublishDialog.Name,,,Name:,Name:,이름:,Имя:,名称:
Studio.App.OnPublishDialog.Privacy,,,Privacy:,Privacy:,개인정보 보호:,Конфиденциальность:,隐私政策:
Studio.App.OnPublishDialog.Title,,,Publish,Publish,게시,Опубликовать,发布
Studio.App.PackageUtilities.ErrorMessageForModifiedPackageInDM,,,Error: Cannot save place to Roblox while there are packages with unpublished changes.,Error: Cannot save place to Roblox while there are packages with unpublished changes.,오류: 변경 사항이 게시되지 않은 패키지가 있으면 장소를 Roblox에 저장할 수 없어요.,"Ошибка: место не может быть сохранено в Roblox, пока есть пакеты с неопубликованными изменениями.",错误：套装有未发布的更改，无法将场景保存至 Roblox。
Studio.App.PackageUtilities.SelectInExplorer,,,Select in Explorer,Select in Explorer,탐색기에서 선택,Выберите в проводнике,在资源管理器中选择
Studio.App.PlaceResourceController.AddingPlace,,,Adding Place...,Adding Place...,장소 추가 중...,Добавление места...,正在添加场景...
Studio.App.PlaceResourceController.CantRemoveStartPlace,,,You cannot remove the start place from a game.,You cannot remove the start place from a game.,게임의 시작 장소는 제거할 수 없어요.,Вы не можете удалить стартовое место из игры.,无法从游戏中移除开始场景。
Studio.App.PlaceResourceController.ErrorWhileAddingPlace,,,Error while adding place. See Output window for details.,Error while adding place. See Output window for details.,장소 추가 중 오류 발생. 자세한 내용은 출력 창에서 확인하세요.,Ошибка при добавлении места. Более подробно см. в окне вывода.,添加场景时发生错误。
Studio.App.PlaceResourceController.ThisFunctionalityHasBeenDisabled,,,This functionality has been disabled. You can update your start place by doing File > Publish to Roblox As... and selecting the start place.,This functionality has been disabled. You can update your start place by doing File > Publish to Roblox As... and selecting the start place.,"이 기능은 비활성화되어 있습니다. 시작 장소를 업데이트하려면, '파일 > 다음으로 Roblox에 게시...'로 가서 시작 장소를 선택하세요.","Эта функция была отключена. Чтобы обновить стартовое место, перейдите в Файл > Опубликовать в Roblox как... и выберите стартовое место.",此功能已被禁用。要更新开始场景，你可以前往文件> 发布至 Roblox 为...，然后选择开始场景。
Studio.App.PlayModifiedScriptController.AlwaysSave,,,Always Save,Always Save,항상 저장,Всегда сохранять,永远保存
Studio.App.PlayModifiedScriptController.KeepTheseChanges,,,You've made script changes while playing.  Would you like to keep these changes?,You've made script changes while playing.  Would you like to keep these changes?,플레이 중 스크립트를 변경하셨습니다. 이 변경 사항을 유지할까요?,Вы внесли изменения в скрипт во время игры. Оставить эти изменения?,在游戏时你已更改脚本。想要保存这些更改吗？
Studio.App.PluginLoader.RefreshingPluginElps,,,Refreshing plugin...,Refreshing plugin...,플러그인 새로고침 중...,Обновляется плагин...,正在刷新插件...
Studio.App.PluginLoader.RefreshingPluginsElps,,,Refreshing plugins...,Refreshing plugins...,플러그인 새로고침 중...,Обновляются плагины...,正在刷新插件...
Studio.App.PropertyItems.InvertMeshFaces,,,The mesh you are importing contains odd number negative scales. Would you like to invert mesh faces?,The mesh you are importing contains odd number negative scales. Would you like to invert mesh faces?,가져오려는 메시에 마이너스 홀수 스케일이 있습니다. 메시 표면을 역으로 바꿀까요?,Импортируемая сетка содержит нечетное количество отрицательных шкал. Хотели бы вы инвертировать грани сетки?,你导入的网格包含奇数负调整。想要倒置面部网格吗？
Studio.App.PropertyItems.MoveTheMesh,,,Your mesh contains location data. Would you like to move your mesh to the given location?,Your mesh contains location data. Would you like to move your mesh to the given location?,메시에 위치 데이터가 포함되어 있습니다. 메시를 해당 위치로 이동할까요?,Ваша сетка содержит данные местоположения. Перенести сетку в данное место?,你的网格包含位置数据。想要将网格移至指定位置吗？
Studio.App.PropertyItems.NotAValidLocation1,,,"""%1"" is not a valid content location.
Please enter an asset ID or a correctly formatted asset url.","""%1"" is not a valid content location.
Please enter an asset ID or a correctly formatted asset url.","""%1""은(는) 유효한 콘텐츠 위치가 아닙니다.
애셋 ID 또는 올바른 형식의 애셋 URL을 입력하세요.","""%1"" не соответствует местонахождению контента. 
Пожалуйста, введите ID ресурса или корректный URL ресурса.","“%1” 是无效的内容位置。
请输入素材 ID 或格式正确的的素材 URL。"
Studio.App.PropertyItems.ResizeTheMesh,,,The mesh you are importing is very large. Would you like to resize the mesh?,The mesh you are importing is very large. Would you like to resize the mesh?,가져올 메시의 용량이 매우 큽니다. 메시의 크기를 조정할까요? ,"Сетка, которую вы импортируете, очень большая. Хотите изменить размер сетки?",你正在导入的网格过大，想要缩放网格吗？
Studio.App.Property.AutoClosingBrackets,,,Auto Closing Brackets,Auto Closing Brackets,자동 괄호 닫기,Автоматическое закрытие скобок,自动关闭括号
Studio.App.Property.AutoClosingQuotes,,,Auto Closing Quotes,Auto Closing Quotes,자동 따옴표 닫기,Автоматическое закрытие кавычек,自动关闭引号
Studio.App.Property.SkipClosingBracketsAndQuotes,,,Skip Closing Brackets and Quotes,Skip Closing Brackets and Quotes,괄호 및 따옴표 닫기 건너뛰기,Пропускать закрывающие скобки и кавычки,跳过关闭括号和引号
Studio.App.QDebuggerClient.Breakpoint,,,Breakpoint,Breakpoint,중단점,Точка останова,断点
Studio.App.QDebuggerClient.EnableBreakpoint,,,Enable Breakpoint,Enable Breakpoint,중단점 활성화,Включить точку останова,启用断点
Studio.App.QDebuggerClient.WatchExpression,,,Watch Expression:,Watch Expression:,감시 표현식:,Контрольное значение выражения:,监视表达式
Studio.App.QDebuggerClient.WatchWindowTitle,,,Watch,Watch,감시,Контрольное значение,监视
Studio.App.QtUtilities.DontAskMeAgain,,,Don't ask me again,Don't ask me again,더 이상 묻지 마세요,Больше не спрашивать,不要再问我
Studio.App.RBXMainWindow.CheckNetworkAndUserAuthentication,,,"Feature not available in offline mode.
Please check internet connection and restart Roblox.","Feature not available in offline mode.
Please check internet connection and restart Roblox.","오프라인 모드에서는 기능을 사용할 수 없습니다.
인터넷 연결을 확인하고 Roblox를 다시 시작하세요.","Функция недоступна в автономном режиме.
Проверьте подключение к Интернету и перезапустите Roblox.","功能在离线模式不可用。
请检查网络连接并重启 Roblox。"
Studio.App.RBXMainWindow.OpenLocalizationFolder,,,Open Localization Folder,Open Localization Folder,로컬리제이션 폴더 열기,Открыть папку локализации,打开本地化文件夹
Studio.App.RBXMainWindow.OutputWindowTitle,,,Output - Network Simulator Enabled,Output - Network Simulator Enabled,출력 - 네트워크 시뮬레이터 활성화됨,Вывод - Включен сетевой симулятор,输出 - 网络模拟器已启用
Studio.App.RBXMainWindow.SandboxCpp,,,Sandbox (C++),Sandbox (C++),샌드박스 (C++),Песочница (C++),沙盒 （C++）
Studio.App.RBXMainWindow.SetAsDefaultInstance,,,Set as Default...,Set as Default...,기본으로 설정...,Установить как значение по умолчанию...,设置为默认...
Studio.App.RBXMainWindow.SetSelectionAsDefault,,,Set the Selection as the default for future newly created instances,Set the Selection as the default for future newly created instances,이 선택 항목을 앞으로 새로 생성하는 인스턴트의 기본으로 설정,Установить выбранное как значение по умолчанию для новых экземпляров,将选项设为今后新建实例的默认
Studio.App.RBXMainWindow.ViewSandboxCpp,,,View Sandbox (C++),View Sandbox (C++),샌드박스 보기 (C++),Просмотр песочницы (C++),查看沙盒 （C++）
Studio.App.RbxWorkspace.PluginInstallationFailed,,,Plugin Installation failed,Plugin Installation failed,플러그인 설치 실패,Неудачная установка плагина,插件安装失败
Studio.App.RbxWorkspace.PressOkForSnapshot,,,"Press OK when you've positioned the camera, and are ready to take a snapshot.","Press OK when you've positioned the camera, and are ready to take a snapshot.",카메라를 배치하고 스냅샷을 찍을 준비가 되면 확인을 누르세요.,"Расположите камеру в нужном положении и нажмите ОК, чтобы сделать снимок.",当你摆放好镜头并准备好拍摄屏幕快照时，按下“确认”键。
Studio.App.RbxWorkspace.Processing,,,Processing...,Processing...,처리 중...,Обрабатываю...,正在处理...
Studio.App.RbxWorkspace.SnapshotInProgress,,,Snapshot in progress...,Snapshot in progress...,스냅샷 처리 중...,Снимок обрабатывается...,正在截取屏幕快照...
Studio.App.RbxWorkspace.TakeSnapshot,,,Take Snapshot,Take Snapshot,스냅샷 찍기,Сделать снимок,截取屏幕快照...
Studio.App.RobloxCustomWidgets.Loading,,,(Loading...),(Loading...),(불러오는 중...),(Загрузка...),（正在加载...）
Studio.App.RobloxCustomWidgets.Url,,,URL:,URL:,URL:,URL:,URL：
Studio.App.RobloxDocManager.StartPage,,,Start Page,Start Page,시작 페이지,Начальная страница,开始页面
Studio.App.RobloxExplorerWidget.FilterPlaceholder1,,,Filter workspace %1,Filter workspace %1,작업 공간 %1 필터링,Рабочая область фильтра %1,过滤工作区 %1
Studio.App.RobloxInputConfigDialog.DoYouWantToKeepYourChanges,,,Do you want to keep your changes?,Do you want to keep your changes?,변경 사항을 유지할까요?,Сохранить изменения?,确定要保留更改吗？
Studio.App.RobloxInputConfigDialog.Keyboard,,,Keyboard,Keyboard,키보드,Клавиатура,键盘
Studio.App.RobloxInputConfigDialog.KeyboardAndMouse,,,Keyboard and Mouse,Keyboard and Mouse,키보드와 마우스,Клавиатура и мышь,键盘与鼠标
Studio.App.RobloxInputConfigDialog.Mouse,,,Mouse,Mouse,마우스,Мышь,鼠标
Studio.App.RobloxInputConfigDialog.YouHaveMadeChangesToYourSettings,,,You have made changes to your settings.,You have made changes to your settings.,설정을 변경했습니다.,Вы внесли изменения в настройки.,你已对设置做出更改。
Studio.App.RobloxKeyboardConfigWidget.Description,,,Description,Description,설명,Описание,描述
Studio.App.RobloxKeyboardConfigWidget.Name,,,Name,Name,이름,Имя,名称
Studio.App.RobloxKeyboardConfigWidget.SearchActions,,,Search Actions,Search Actions,작업 검색,Поиск действий,搜索动作
Studio.App.RobloxKeyboardConfigWidget.Shortcut,,,Shortcut,Shortcut,바로가기,Сочетание клавиш,快捷键
Studio.App.RobloxKeyboardConfig.ClearShortcut,,,Clear Shortcut,Clear Shortcut,바로가기 지우기,Удалить сочетание клавиш,清除快捷键
Studio.App.RobloxMainWindow.Configure,,,Configure,Configure,구성,Настроить,配置
Studio.App.RobloxMainWindow.OpenAllFilesPattern,,,All Files (*.*),All Files (*.*),모든 파일 (*.*),Все файлы (*.*),所有文件 (*.*)
Studio.App.RobloxMainWindow.OpenScriptFile,,,Open Script File,Open Script File,스크립트 파일 열기,Открыть файл скрипта,打开脚本文件
Studio.App.RobloxMainWindow.OpenScriptsPattern,,,Scripts (*.rbxs *.lua *.txt),Scripts (*.rbxs *.lua *.txt),스크립트 (*.rbxs *.lua *.txt),Скрипты (*.rbxs *.lua *.txt),脚本 （*.rbxs *.lua *.txt）
Studio.App.RobloxMainWindow.PluginInstallation,,,Plugin Installation,Plugin Installation,플러그인 설치,Установка плагина,插件安装
Studio.App.RobloxMainWindow.SaveAs,,,Save As,Save As,다음으로 저장,Сохранить как,另存为
Studio.App.RobloxMouseConfig.ContextMenu,,,Context Menu,Context Menu,컨텍스트 메뉴,Контекстное меню,语境菜单
Studio.App.RobloxPropertiesWidget.FilterPlaceholder1,,,Filter Properties %1,Filter Properties %1,필터 속성 %1,Свойства фильтра %1,过滤属性 %1
Studio.App.RobloxPropertiesWidget.ItemsCount2,,,%1 - %2 items,%1 - %2 items,%1 - %2 아이템,Позиции %1 - %2,%1 - %2 个项目
Studio.App.RobloxPropertiesWidget.ItemsCount3,,,"%1 ""%2"" - %3 items","%1 ""%2"" - %3 items","%1 ""%2"" - %3 아이템","Позиции %1 ""%2"" - %3",%1 “%2” - %3 个项目
Studio.App.RobloxQuickAccessConfig.Add,,,Add >>,Add >>,추가 >>,Добавить >>,添加 >>
Studio.App.RobloxQuickAccessConfig.AllActions,,,All Actions,All Actions,모든 작업,Все действия,所有动作
Studio.App.RobloxQuickAccessConfig.AlreadyAvailable,,,"The selected action is already available in Quick Access Bar.
Please try to add a different action.","The selected action is already available in Quick Access Bar.
Please try to add a different action.","선택한 작업은 이미 바로가기 표시줄에 있습니다.
다른 작업을 추가하세요.","Выбранное действие уже доступно на панели быстрого доступа.
Попробуйте добавить другое действие.","已选择的动作已在快速访问栏中存在。
请尝试添加一个不同的动作。"
Studio.App.RobloxQuickAccessConfig.ChangesToSettings,,,"You have made changes to your settings.
Do you want to keep your changes?","You have made changes to your settings.
Do you want to keep your changes?","설정을 변경했습니다.
변경 사항을 유지할까요?","Настройки были изменены.
Сохранить изменения?","你已更改你的设置。
要保留你的更改吗？"
Studio.App.RobloxQuickAccessConfig.QuickAccessBarActions,,,Quick Access Bar Actions,Quick Access Bar Actions,바로가기 표시줄 작업,Действия панели быстрого доступа,快速访问栏动作
Studio.App.RobloxQuickAccessConfig.Remove,,,Remove,Remove,제거,Удалить,移除
Studio.App.RobloxRibbonMainWindow.ConnectionIsLost,,,Server connection lost. Functionality is limited. Attempting to reconnect...,Server connection lost. Functionality is limited. Attempting to reconnect...,서버와의 연결이 끊어졌습니다. 기능 제한이 발생됩니다. 다시 연결을 시도 중입니다...,Потеряно соединение с сервером. Функциональность ограничена. Попытка переподключения...,失去与服务器的连接。功能已有所限制。正在尝试重新连接...
Studio.App.RobloxRibbonMainWindow.ConnectionIsUnstable,,,Connection is unstable. Changes may not be saved.,Connection is unstable. Changes may not be saved.,연결이 불안정합니다. 변경 사항이 저장되지 않을 수 있습니다.,Соединение нестабильно. Изменения могут не сохраниться.,连接不稳定。更改可能未保存。
Studio.App.RobloxRibbonMainWindow.CurrentServer,,,Current: Server,Current: Server,현재: 서버,Текущий: Сервер,当前：服务器
Studio.App.RobloxRibbonMainWindow.NoCollision,,,No Collision,No Collision,충돌 없음,Без столкновений,无碰撞
Studio.App.RobloxRibbonMainWindow.NoCollisionTooltip,,,Create a no collision constraint,Create a no collision constraint,충돌 제약 없이 생성,Создать ограничение с отсутствием столкновений между деталями,创建无碰撞约束
Studio.App.RobloxRibbonMainWindow.ShowTabNamesRibbonTitle,,,Toggle ribbon visiblity,Toggle ribbon visiblity,리본 표시 여부 토글,Переключить видимость ленты,切换功能区可视性
Studio.App.RobloxRibbonMainWindow.NewUpdates,,,What's New,What's New,최근 업데이트,Что нового?,最新信息
Studio.App.RobloxScriptDoc.BreakpointsDisabledLinkedSource,,,Breakpoints are currently disabled for LinkedSource.,Breakpoints are currently disabled for LinkedSource.,LinkedSource의 중단점은 현재 비활성화되어 있습니다.,Точки останова сейчас отключены для LinkedSource.,LinkedSource 的断点当前已被禁用。
Studio.App.RobloxScriptDoc.CantAccessRevertingChange,,,"Cannot gain write access to script, reverting your change","Cannot gain write access to script, reverting your change",스크립트 쓰기 권한을 얻을 수 없어 변경 사항을 복원합니다.,"Невозможно получить разрешение на запись в скрипт, изменения отменены",无法获得脚本的编写权限，正在还原你的更改
Studio.App.RobloxScriptDoc.LockTakenInactivity,,,A script lock was taken from you due to inactivity. Please see the Script Recovery Widget to resolve issues.,A script lock was taken from you due to inactivity. Please see the Script Recovery Widget to resolve issues.,비활성화 상태이므로 스크립트 잠금이 해제되었습니다. 문제를 해결하려면 스크립트 복구 위젯을 참고하세요.,"Блокировка скрипта снята с вас из-за неактивности. Пожалуйста, воспользуйтесь виджетом восстановления скриптов, если возникнут проблемы.",由于你处于闲置状态，已将你的脚本锁取回。请使用脚本复原工具解决问题。
Studio.App.RobloxScriptDoc.MultipleScriptLocks,,,Multiple script locks were taken from you due to inactivity. Please see the Script Recovery Widget to resolve issues.,Multiple script locks were taken from you due to inactivity. Please see the Script Recovery Widget to resolve issues.,비활성화 상태이므로 여러 스크립트 잠금이 해제되었습니다. 문제를 해결하려면 스크립트 복구 위젯을 참고하세요.,"Несколько блокировок скриптов было снято с вас из-за неактивности. Пожалуйста, воспользуйтесь виджетом восстановления скриптов, если возникнут проблемы.",由于你处于闲置状态，已将你的多个脚本锁取回。请使用脚本复原工具解决问题。
Studio.App.RobloxScriptDoc.OtherChangesReverted1,,,"%1 is currently modifying this script, your changes will be reverted","%1 is currently modifying this script, your changes will be reverted",%1님이 현재 이 스크립트를 수정하고 있습니다. 변경 사항은 복원됩니다.,"%1 в настоящее время редактирует этот скрипт, ваши изменения будут отменены",%1 正在修改此脚本，你的变更将被还原
Studio.App.RobloxSettingsDialog.SettingsModificationWarning,,,<p>Changing settings may make Roblox unstable.</p><p>We recommend that you don't change any non-Studio settings unless instructed to do so by a Roblox engineer.</p>,<p>Changing settings may make Roblox unstable.</p><p>We recommend that you don't change any non-Studio settings unless instructed to do so by a Roblox engineer.</p>,"<p>설정을 변경하면 Roblox를 불안정하게 만들 수 있습니다.</p><p>Roblox 엔지니어로부터 특별히 안내받은 것이 아닌 한, Studio 이외의 설정은 바꾸지 않는 것이 권장됩니다.</p>","<p>Изменения настроек могут привести к нестабильной работе Roblox.</p><p>Мы рекомендуем не вносить изменений в настройки, не относящиеся к Studio, без инструкций специалиста Roblox.</p>",<p>更改设置可能会让 Roblox 运行不稳定。</p><p>除非 Roblox 工程师建议，我们推荐你不要对任何非 Studio 部分的设置作出更改。</p>
Studio.App.RobloxStudioVerbs.InsertModelExtFile,,,Roblox Model Files (*.rbxm *.rbxmx),Roblox Model Files (*.rbxm *.rbxmx),Roblox 모델 파일 (*.rbxm *.rbxmx),Файлы моделей Roblox (*.rbxm *.rbxmx),Roblox 模型文件（*.rbxm、*.rbxmx）
Studio.App.RobloxStudioVerbs.InsertModelExtScript,,,Roblox Model Files (*.rbxm *.rbxmx);;Scripts (*.rbxs *.lua *.txt),Roblox Model Files (*.rbxm *.rbxmx);;Scripts (*.rbxs *.lua *.txt),Roblox 모델 파일 (*.rbxm *.rbxmx);;스크립트 (*.rbxs *.lua *.txt),Файлы моделей Roblox (*.rbxm *.rbxmx);;Скрипты (*.rbxs *.lua *.txt),Roblox 模型文件（*.rbxm、*.rbxmx）;; 脚本（*rbxs、*.lua、*.txt）
Studio.App.RobloxStudioVerbs.InsertOpenFile,,,Open file to Insert,Open file to Insert,삽입할 파일 열기,Открыть файл для вставки,打开要插入的文件
Studio.App.RobloxStudioVerbs.InsertOpenModel,,,Open Roblox Model,Open Roblox Model,Roblox 모델 열기,Открыть модель Roblox,打开 Roblox 模型
Studio.App.RobloxStudioVerbs.LinkedSource,,,"Unable to create LinkedSource, see output for details.","Unable to create LinkedSource, see output for details.",LinkedSource를 생성할 수 없습니다. 자세한 내용은 출력에서 확인하세요.,"Невозможно создать LinkedSource, подробности см. в выводе.",无法创建 LinkedSource，请查看输出以了解更多信息。
Studio.App.RobloxStudioVerbs.LoadCSVExt,,,LocalizationTable CSV (*.csv),LocalizationTable CSV (*.csv),LocalizationTable CSV (*.csv),CSV с LocalizationTable (*.csv),LocalizationTable CSV（*.csv）
Studio.App.RobloxStudioVerbs.LoadCSVFile,,,Open LocalizationTable CSV,Open LocalizationTable CSV,LocalizationTable CSV 열기,Открыть CSV LocalizationTable,打开 LocalizationTable CSV
Studio.App.RobloxStudioVerbs.PackageLinkCopy,,,Cannot copy selection(s) with PackageLink included!,Cannot copy selection(s) with PackageLink included!,PackageLink가 포함된 선택 항목은 복사할 수 없습니다!,Невозможно скопировать выбор(ы) вместе с PackageLink!,无法复制包含 PackageLink 的选项
Studio.App.RobloxStudioVerbs.PackageLinkCut,,,Cannot cut selection(s) with PackageLink included!,Cannot cut selection(s) with PackageLink included!,PackageLink가 포함된 선택 항목은 잘라낼 수 없습니다!,Невозможно вырезать выбор(ы) вместе с PackageLink!,无法剪切包括 PackageLink 的选项
Studio.App.RobloxStudioVerbs.PackageLinkDuplicate,,,Cannot duplicate selection(s) with PackageLink included!,Cannot duplicate selection(s) with PackageLink included!,PackageLink가 포함된 선택 항목은 복제할 수 없습니다!,Невозможно дублировать выбор(ы) вместе с PackageLink!,无法重复包括 PackageLink 的选项！
Studio.App.RobloxStudioVerbs.Redo1,,,Redo %s,Redo %s,%s 다시 실행,Вернуть %s,重做 %s
Studio.App.RobloxStudioVerbs.Undo1,,,Undo %s,Undo %s,%s 실행 취소,Отменить %s,复原 %s
Studio.App.RobloxTeamCreateWidget.TeamCreateDisabled,,,Team Create in this game is disabled. Please enable Team Create to add editors to your place.,Team Create in this game is disabled. Please enable Team Create to add editors to your place.,이 게임에서는 팀 만들기가 비활성화되어 있습니다. 장소에 편집기를 추가하려면 팀 만들기를 활성화하세요.,"В этой игре отключена совместная разработка. Для добавления редакторов вашего места, пожалуйста, включите режим совместной разработки.",此游戏当前已停用组队创作。若要在你的空间添加编辑者，请启用组队创作。
Studio.App.RobloxTextOutputWidget.OpenLink,,,Open link,Open link,링크 열기,Открыть ссылку,打开链接
Studio.App.RobloxTutorials.CopyText,,,Build amazing games with Roblox Studio. No experience necessary!,Build amazing games with Roblox Studio. No experience necessary!,Roblox Studio에서 멋진 게임을 만드세요. 초보도 가능하답니다!,Создавайте удивительные игры с помощью Roblox Studio. Опыт не требуется!,用 Roblox Studio 创作精彩游戏，没有经验也可以加入！
Studio.App.RobloxTutorials.LearnNow,,,Learn now,Learn now,지금 배우기,Узнать сейчас,现在学习
Studio.App.RobloxViewStudio.ExitUiLayer,,,Exit UI Layer,Exit UI Layer,UI 레이어에서 나가기,Выход из слоя пользовательского интерфейса,退出 UI 层面
Studio.App.RobloxViewStudio.SelectUILayer1,,,"Select UI Layer ""%1""","Select UI Layer ""%1""","UI 레이어 ""%1""을(를) 선택","Выбрать слой пользовательского интерфейса ""%1""",选择 UI 层面 “%1”
Studio.App.RobloxViewStudio.SelectUiLayer,,,Select UI Layer,Select UI Layer,UI 레이어 선택,Выбрать слой пользовательского интерфейса,选择 UI 层面
Studio.App.RobloxWebDocWidget.Address,,,Address,Address,주소,Адрес,地址
Studio.App.SandboxWidget.Revert,,,Revert,Revert,되돌리기,Восстановить,还原
Studio.App.SandboxWidget.SelectAndOpenScript,,,Select and open script,Select and open script,스크립트 선택 및 열기,Выбрать и открыть скрипт,选择并打开脚本
Studio.App.SandboxWidget.Submit,,,Submit,Submit,제출,Завершить,提交
Studio.App.SandboxWidget.Update,,,Update,Update,업데이트,Обновить,更新
Studio.App.SandboxWidget.ViewDiff,,,View Diff,View Diff,차이 보기,Просмотр различий,查看差异
Studio.App.ScriptComboBox.RunACommand,,,Run a command,Run a command,명령 실행,Выполнить команду,运行指令
Studio.App.ScriptPickerDialog.CreateNewLinkedsource,,,Create new LinkedSource,Create new LinkedSource,새 LinkedSource 만들기,Создать новый LinkedSource,创建新 LinkedSource
Studio.App.ScriptResourceController.ConfirmPublishChanges,,,Are you sure you want to publish your changes?,Are you sure you want to publish your changes?,변경 사항을 게시할까요?,Опубликовать ваши изменения?,确定要发布你的更改？
Studio.App.ScriptResourceController.ConfirmWillDestroyChanges,,,This will destroy all local changes you have made. Are you sure?,This will destroy all local changes you have made. Are you sure?,모든 로컬 변경 사항이 소멸됩니다. 진행할까요?,Все ваши локальные изменения будут потеряны! Продолжить?,这将毁掉你在本地作出的所有更改。确定吗？
Studio.App.ShareModalController.CheckOutMyGame,,,Check out my game!,Check out my game!,내 게임을 확인해 보세요!,Оцените мою игру!,来看看我的游戏吧！
Studio.App.ShareModalController.CheckOutThisGame,,,Check out this game!,Check out this game!,이 게임을 한번 해 보세요!,Оцените эту игру!,来看看这个游戏吧！
Studio.App.SplineEditor.Envelope,,,Envelope,Envelope,봉투,Конверт,信封
Studio.App.SplineEditor.Time,,,Time,Time,시간,Время,时间
Studio.App.StudioDataModelLoadUtil.ErrorCannotOpenTCPlaceDueToCancellation,,,Failed to open the team create place due to cancellation,Failed to open the team create place due to cancellation,취소되었기 때문에 팀 만들기 장소를 열지 못했어요,Не удалось открыть место совместной разработки из-за отмены,操作取消，无法打开组队创作场景
Studio.App.StudioDataModelLoadUtil.ErrorCannotOpenTCPlaceDueToTimeout,,,Failed to open the team create place due to timeout,Failed to open the team create place due to timeout,시간이 초과되었기 때문에 팀 만들기 장소를 열지 못했어요,Не удалось открыть место совместной разработки: превышено время ожидания,操作超时，无法打开组队创作场景
Studio.App.StudioDataModelLoadUtil.ErrorCannotOpenTCPlaceGeneral,,,"Failed to open the team create place, please try again","Failed to open the team create place, please try again",팀 만들기 장소를 열지 못했어요. 다시 시도하세요,"Не удалось открыть место совместной разработки , попробуйте еще раз",无法打开组队创作场景，请重试
