Key,Source,de-de,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.Tutorials.StudioTour2.focus_Description,"With the car selected, press F to move the camera to look at it.","Wenn das Auto ausgewählt ist, drücke F, um die Kamera auf das Auto zu richten.","With the car selected, press F to move the camera to look at it.","Con el coche seleccionado, presiona F para mover la cámara y observarlo.","Lorsque la voiture est sélectionnée, appuyez sur F pour déplacer la caméra pour la regarder.",Premi F per mettere a fuoco la fotocamera sulla parte mentre è selezionata.,Fを押して、カメラを選択済みのパーツにフォーカスします。,자동차를 선택한 상태에서 F를 누르면 카메라가 이동해 자동차를 볼 수 있습니다.,"Com o carro selecionado, pressione F para mover a câmera para olhar para ele.",选中汽车后，按 F 键调整镜头以朝向汽车。,选中汽车后，按 F 键调整镜头以朝向汽车。,選中車子之後，按下 F 鍵使攝影機轉向它。
Studio.Tutorials.StudioTour2.properties_Description,This is the Properties window. You can see and edit the properties of the selected object.,Dies ist das Fenster "Eigenschaften". Du kannst die Eigenschaften des ausgewählten Objekts sehen und bearbeiten.,This is the Properties window. You can see and edit the properties of the selected object.,Esta es la ventana de Propiedades. Puedes ver y editar las propiedades del objeto seleccionado.,Ceci est la fenêtre Propriétés. Tu peux voir et modifier les propriétés de l'objet sélectionné.,Questa è la finestra Proprietà. Puoi vedere e modificare le proprietà di qualsiasi oggetto che selezioni.,これはプロパティウィンドウです。選択したオブジェクトのプロパティを表示したり編集したりできます。,이것은 속성 창입니다. 선택한 개체의 속성을 확인하고 편집할 수 있습니다.,Esta é a janela Propriedades. Você pode ver e editar as propriedades do objeto selecionado.,这是属性窗口。你可以在这里查看并编辑选中对象的属性。,这是属性窗口。你可以在这里查看并编辑选中对象的属性。,這是屬性視窗，您可以檢視與編輯選定的物件屬性。
Studio.Tutorials.StudioTour2.maxSpeed_Title,Change Max Speed,Maximale Geschwindigkeit ändern,Change Max Speed,Cambia la velocidad máxima,Modifier la vitesse maximale,Cambia Velocità Max,最高速度を変更,최고 속도 변경,Mudar velocidade máxima,更改最高速度,更改最高速度,變更最高速度
Studio.Tutorials.StudioTour2.maxSpeed_Description,You can add custom data to objects using attributes.<br/><br/>Search for the MaxSpeed attribute and update it to a new value to change the speed of the car.,"Mithilfe von Attributen kannst du Objekten benutzerdefinierte Daten hinzufügen.<br/><br/>Suche nach dem Attribut MaxSpeed und setze es auf einen neuen Wert, um die Geschwindigkeit des Autos zu ändern.",You can add custom data to objects using attributes.<br/><br/>Search for the MaxSpeed attribute and update it to a new value to change the speed of the car.,Puedes agregar datos personalizados a los objetos usando atributos.<br/><br/>Busca el atributo MaxSpeed y actualízalo a un nuevo valor para cambiar la velocidad del automóvil.,Vous pouvez ajouter des données personnalisées aux objets en utilisant des attributs.<br/><br/>Rechercher l'attribut MaxSpeed et le mettre à jour sur une nouvelle valeur pour modifier la vitesse de la voiture.,Puoi aggiungere dati personalizzati agli oggetti utilizzando gli attributi.<br><br>Aggiorna MaxSpeed o un altro attributo dell'auto per cambiare il modo in cui guida.,属性を使用してオブジェクトにカスタムデータを追加できます。<br><br>車の MaxSpeed または別の属性を更新して、走行状態を変更します。,특성을 사용해 개체에 사용자 정의 데이터를 추가할 수 있습니다.<br/><br/>MaxSpeed ​​특성을 찾고 새 값으로 업데이트해 자동차 속도를 변경하세요.,Você pode adicionar dados personalizados a objetos usando atributos.<br/><br/>Procure o atributo MaxSpeed e atualize-o para um novo valor para alterar a velocidade do carro.,你可以使用特性为对象添加定制数据。<br/><br/>搜索最高速度特性并将其更新为新数值以改变汽车速度。,你可以使用特性为对象添加定制数据。<br/><br/>搜索最高速度特性并将其更新为新数值以改变汽车速度。,您可以使用屬性為物件新增自訂資料。<br/><br/>搜尋 MaxSpeed 屬性，並將它的值更新以改變車子的速度。
Studio.Tutorials.StudioTour2.playtest_Description,"Finally, playtest your place by clicking the Play button.",Schließlich kannst du durch Klicken auf die Schaltfläche "Spielen" deinen Ort testen.,"Finally, playtest your place by clicking the Play button.","Por último, prueba tu lugar haciendo clic en el botón Jugar.","Enfin, teste ton emplacement en cliquant sur le bouton Jouer.","Infine, prova il tuo posto facendo clic sul pulsante Gioca.",最後にプレイボタンをクリックしてプレースのプレイテストをします。,마지막으로 플레이 버튼을 클릭해 플레이스를 플레이테스트하세요.,"Por fim, teste seu local clicando no botão Jogar.",最后，点击“游玩”按钮开始对你的场景进行游戏测试。,最后，点击“游玩”按钮开始对你的场景进行游戏测试。,最後，透過按下遊玩按鈕試玩您的空間。
Studio.Tutorials.StudioTour2.avatar_Title,Control your avatar,Steuere deinen Avatar,Control your avatar,Controla tu avatar,Contrôler ton avatar,Controlla il tuo avatar,アバター操作,아바타 제어,Controle seu avatar,控制你的虚拟形象,控制你的虚拟形象,控制您的虛擬人偶
Studio.Tutorials.StudioTour2.avatar_Description,"Control your avatar with the <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b> keys. Press <b>E</b> to enter the car when you are near it. Can you drive into the boxes?","Steuere deinen Avatar mit den Tasten <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b>. Drücke <b>E</b>, um in das Auto einzusteigen, wenn du in der Nähe bist. Kannst du in die Kisten fahren?","Control your avatar with the <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b> keys. Press <b>E</b> to enter the car when you are near it. Can you drive into the boxes?","Controla tu avatar con las teclas <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b>. Presiona <b>E</b> para entrar en el coche cuando estés cerca de él. ¿Puedes conducir hacia las cajas?","Contrôle ton avatar avec les touches <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b>. Appuie sur <b>E</b> pour rentrer dans la voiture lorsque tu te trouves à proximité. Peut-on conduire dans les boîtes ?",Premere <b>E</b> per entrare nell'auto quando sei vicino. Puoi guidare nelle scatole?,<b>W</b>、 <b>A</b>、 <b>S</b> と <b>D</b> キーを押してアバターを操作します。 そばにいるときに車の中に入るには<b>E</b> を押します。箱の中へ運転できますか？,"<b>W</b>, <b>A</b>, <b>S</b>, <b>D</b> 키로 아바타를 제어하세요. 차량이 근처에 있을 때 <b>E</b> 키를 눌러 차량에 탑승하세요. 상자 안으로 운전해서 들어갈 수 있나요?","Controle seu avatar com as teclas <b>W</b>, <b>A</b>, <b>S</b> & <b>D</b>. Pressione <b>E</b> para entrar no carro quando você estiver perto dele. Você consegue dirigir para entrar nas caixas?",通过 <b>W</b>，<b>A</b>，<b>S</b> 和 <b>D</b> 键控制你的虚拟形象。当你靠近汽车时点击<b>E</b> 键进入汽车。你可以把车开进盒子里吗？,通过 <b>W</b>，<b>A</b>，<b>S</b> 和 <b>D</b> 键控制你的虚拟形象。当你靠近汽车时点击<b>E</b> 键进入汽车。你可以把车开进盒子里吗？,運用 <b>W</b>、<b>A</b>、<b>S</b> 與 <b>D</b> 鍵控制您的虛擬人偶。按下 <b>E</b> 鍵便可在靠近車子時進入其中。您能開進方塊內嗎？
Studio.Tutorials.StudioTour2.stopPlaytest_Title,Complete the tour,Die Tour abschließen,Complete the tour,Completa el tour,Terminer la visite,Completa il tour,ツアーを終了する,투어 완료,Completar a tour,完成教程,完成教程,完成導覽
Studio.Tutorials.StudioTour2.stopPlaytest_Description,"When you're ready, press Stop to go back to editing your place and complete the tour.","Wenn du fertig bist, drückst du auf \"Anhalten\", um zum Bearbeiten deines Ortes zurückzukehren und die Tour zu abzuschließen.","When you're ready, press Stop to go back to editing your place and complete the tour.","Cuando termines, presiona Detener para volver a editar tu lugar y completar el tour.","Lorsque tu es prêt, appuie sur Arrêter pour revenir à l'édition de ton lieu et terminer la visite.","Quando sei pronto, premi Stop per tornare a modificare il tuo posto e completare il tour.",準備ができたら、停止を押してプレースの編集に戻り、ツアーを終了します。,이제 '중지'를 눌러 플레이스 편집으로 돌아가 투어를 완료하세요.,"Quando você estiver pronto, pressione Parar para voltar a editar seu lugar e completar o passeio.",当你准备好后，按“停止”继续返回编辑场景并完成教程。,当你准备好后，按“停止”继续返回编辑场景并完成教程。,您準備好之後，按下停止以返回編輯自己的空間並完成導覽。
Studio.Tutorials.Tutorial.TopicNumber,Topic %d of %d,Thema %d von %d,Topic %d of %d,Tema %d de %d,Sujet %d de %d, , ,토픽 %d/%d,Tópico %d de %d,主题 %d/%d,主题 %d/%d,主題 %d/%d
Studio.Tutorials.StudioTour2.topic_navigation,Navigation,Navigation,Navigation,Navegación,Navigation, ,ナビゲーション,탐색,Navegação,导航,导航,導覽
Studio.Tutorials.StudioTour2.topic_selection,Selection,Auswahl,Selection,Selección,Sélection , ,選択肢,선택 항목,Seleção,选择,选择,選項
Studio.Tutorials.StudioTour2.topic_attributes,Attributes,Attribute,Attributes,Atributos,Attributs, ,属性,특성,Atributos,特性,特性,屬性
Studio.Tutorials.Tutorial.Back,Back,Zurück,Back,Atrás,Retour, ,戻る,뒤로,Voltar,背面,背面,返回
Studio.Tutorials.StudioTour2.welcome_Compliment,Well done!,Gut gemacht!,Well done!,¡Bien hecho!,Bien joué !, ,よくできました！,참 잘했어요!,Muito bem!,干得漂亮！,干得漂亮！,做得好！
Studio.Tutorials.Tutorial.Skip,Skip,Überspringen,Skip,Saltar,Passer, ,スキップ,건너뛰기,Pular,跳过,跳过,跳過
Studio.Tutorials.SkipDialog.Title,Skip forward to this step?,Zu diesem Schritt vorwärts springen?,Skip forward to this step?,¿Saltar a este paso?,Passer à l'étape suivante ?, ,前にスキップしてこの段階に進みますか？,이 단계로 건너뛸까요?,Pular para esta etapa?,快进至此步骤？,快进至此步骤？,跳到此步驟？
Studio.Tutorials.SkipDialog.Text,Skipping forward will complete the previous steps for you. This will insert any parts or models required to complete the rest of the tour.,"Wenn du vorwärts springst, werden die vorherigen Schritte für dich abgeschlossen. Dadurch werden alle Teile oder Modelle eingefügt, die du für den Rest der Tour benötigst.",Skipping forward will complete the previous steps for you. This will insert any parts or models required to complete the rest of the tour.,Saltar un paso completará los pasos anteriores por ti. Esto insertará todas las piezas o modelos necesarios para completar el resto del tour.,Le fait de sauter en avant complétera les étapes précédentes. Cela permettra d'insérer toutes les pièces ou tous les modèles nécessaires pour compléter le reste de la visite., ,前方にスキップすると、前のステップが完了します。これで残りのツアーを完了するために必要な部品やモデルが挿入されます。,앞으로 건너뛰면 이전 단계가 완료됩니다. 이렇게 하면 나머지 투어를 완료하는 데 필요한 파트나 모델이 삽입됩니다.,Pular para frente completará os passos anteriores para você. Isso inserirá quaisquer partes ou modelos necessários para completar o resto do tour.,快进将为你完成前序步骤。该操作将自动为你插入完成剩余教程所需的所有部件或模型。,快进将为你完成前序步骤。该操作将自动为你插入完成剩余教程所需的所有部件或模型。,選擇跳過會自動完成之前的所有步驟。若在後續導覽中需要特定的零件或模型，會自動將它們插入。
Studio.Tutorials.StudioTour2.moveCamera_Compliment,Nice 👍,Toll 👍,Nice 👍,Bien 👍,Bien 👍, ,ナイス 👍,멋져요 👍,Bom 👍,很棒👍,很棒👍,很棒 👍
Studio.Tutorials.StudioTour2.panCamera_Compliment,Keep it up!,Weiter so!,Keep it up!,¡Sigue así!,Continue comme ça !, ,その調子！,계속 전진하세요!,Continue assim!,继续加油！,继续加油！,繼續加油！
Studio.Tutorials.StudioTour2.focus_Compliment,Just like that!,Genau so!,Just like that!,¡Justo así!,C'est comme ça !, ,できました！,잘하고 있어요!,Assim mesmo!,就是这样！,就是这样！,就是這樣！
Studio.Tutorials.StudioTour2.zoomCamera_Compliment,Just like that!,Genau so!,Just like that!,¡Justo así!,C'est comme ça !, ,できました！,잘하고 있어요!,Assim mesmo!,就是这样！,就是这样！,就是這樣！
Studio.Tutorials.StudioTour2.rotateCamera_Compliment,Got it 💪,Geschafft 💪,Got it 💪,¡Entendido! 💪,J'ai compris 💪, ,了解 💪,그렇죠 💪,Entendi 💪,搞定💪,搞定💪,搞定 💪
Studio.Tutorials.StudioTour2.select_Compliment,Got it 💪,Geschafft 💪,Got it 💪,¡Entendido! 💪,J'ai compris 💪, ,了解 💪,그렇죠 💪,Entendi 💪,搞定💪,搞定💪,搞定 💪
Studio.Tutorials.StudioTour2.color_Compliment,Awesome pick 🎉,Tolle Wahl 🎉,Awesome pick 🎉,Impresionante elección 🎉,Bon choix 🎉, ,ナイスチョイス 🎉,멋진 선택이에요 🎉,Ótimo escolha 🎉,很赞的选择🎉,很赞的选择🎉,選得好！ 🎉
Studio.Tutorials.StudioTour2.insertMarketplace_Compliment,Great Job 🎉,Gute Arbeit 🎉,Great Job 🎉,Gran trabajo 🎉,Excellent travail 🎉, ,素晴らしい 🎉,훌륭해요 🎉,Ótimo trabalho 🎉,干得好🎉,干得好🎉,做得好 🎉
Studio.Tutorials.StudioTour2.wedge_Compliment,Perfect! 😊,Perfekt! 😊,Perfect! 😊,¡Perfecto! 😊,Parfait ! 😊, ,カンペキです！ 😊,완벽해요! 😊,Perfeito! 😊,完美！😊,完美！😊,完美！ 😊
Studio.Tutorials.StudioTour2.move_Compliment,Great!,Großartig!,Great!,¡Genial!,Génial !, ,すばらしい！,대단해요!,Ótimo!,太棒了！,太棒了！,好棒！
Studio.Tutorials.StudioTour2.rotate_Compliment,Yep!,Ja!,Yep!,¡Sí!,Ouais !, ,やりました！,바로 그거죠!,Sim!,耶！,耶！,好耶！
Studio.Tutorials.StudioTour2.scale_Compliment,Fantastic! ✨,Fantastisch! ✨,Fantastic! ✨,¡Fantástico! ✨,Fantastique ! ✨, ,素晴らしい！ ✨,환상이에요! ✨,Fantástico! ✨,非常精彩！✨,非常精彩！✨,太棒了！ ✨
Studio.Tutorials.StudioTour2.anchor_Compliment,That's right 💪,So ist es richtig 💪,That's right 💪,Eso es correcto 💪,C'est juste 💪, ,その通り 💪,이거죠 💪,Isso mesmo 💪,这就对了 💪,这就对了 💪,這就對了 💪
Studio.Tutorials.StudioTour2.maxSpeed_Compliment,"Woah, that's fast 🏎","Woah, das ist schnell 🏎","Woah, that's fast 🏎",¡Qué rápido! 🏎,"Woah, c'est rapide 🏎", ,速い 🏎,"우와, 정말 빠르네요 🏎","Uau, isso é rápido 🏎",哇，太快了🏎,哇，太快了🏎,哇，速度真快 🏎
Studio.Tutorials.StudioTour2.avatar_Compliment,Go for it! 🏎,Auf geht's! 🏎,Go for it! 🏎,¡Ve por ello! 🏎,Vas-y ! 🏎, ,がんばって！ 🏎,힘내세요! 🏎,Vá em frente! 🏎,冲啊！🏎,冲啊！🏎,加油！ 🏎
